Time (s),Gyroscope (deg/s),Accelerometer (g),Magnetometer (uT)
0.000000000,0.1707183,0.9917302,22.97663
0.998839378,0.1624485,0.9912298,22.65085
2.000150204,0.08287371,0.9830827,23.01154
2.998989582,2.026272,0.9928582,23.33787
4.000300884,14.47238,0.9974317,23.26724
4.999140263,15.26908,0.9922473,23.60497
6.000452042,15.21931,0.9921871,23.57054
6.999291420,15.10181,1.003146,23.11446
7.998130798,14.9667,1.010844,22.8442
8.999442577,15.21165,1.020423,21.83015
9.998281956,14.65639,0.9584087,21.10628
10.999594212,14.51141,0.9896966,19.70492
11.998433590,14.90732,1.006874,19.3345
12.999745369,14.47574,0.9869919,17.16596
13.998585224,14.53349,0.9917787,16.45739
14.999897480,12.46185,0.9893163,15.09664
15.998737335,0.754992,0.9983469,15.77446
17.000049591,0.162356,0.9960214,15.7206
17.998889923,0.3428217,0.9878457,15.71675
19.000201702,0.1745636,0.989406,15.18818
19.999041557,10.07298,1.000329,15.15929
21.000354290,14.17029,0.9937409,15.68557
21.999194145,14.48894,1.00412,15.83712
22.998034477,14.78723,0.9788157,16.88841
23.999347210,14.84663,1.002684,16.95014
24.998187065,14.4947,0.9982818,18.47039
25.999499798,14.61902,0.9853924,19.6309
26.998339653,15.04995,0.9863392,21.48595
27.999652386,14.98653,1.015088,21.2364
28.998492718,14.89792,0.9736692,21.80776
29.999805450,14.80361,0.9960626,22.70265
30.998645782,14.71626,0.9946603,23.14852
31.999958515,11.97479,0.9865257,23.29998
32.998798370,0.3113062,0.9925804,23.5604
34.000111580,0.07110497,0.9927199,22.94066
34.998952389,0.1085995,0.9892991,22.70715
35.997792244,0.09118611,0.9931142,23.20181
36.999104977,13.56135,0.9998558,22.71304
37.997945309,14.1669,0.9911836,23.43002
38.999258041,15.15064,0.9825857,24.23739
39.998097897,15.0511,1.010829,23.65344
40.999410629,14.8777,0.9964672,22.27164
41.998250484,14.78057,0.9645265,22.77199
42.999563217,15.18157,0.9937027,21.62532
43.998403549,14.9721,0.9698725,20.36628
44.999715328,14.91334,1.006289,20.25737
45.998555183,14.79586,0.9884781,19.00267
46.999867916,14.97419,0.9942034,17.27584
47.998707771,12.64467,0.9904342,16.34233
49.000020504,1.353409,0.9937435,15.57279
49.998860359,0.2224809,0.9979547,15.75398
50.997700214,0.2218367,0.9940884,16.17851
51.999012947,0.1711631,0.9883637,15.75398
52.997852325,2.371971,0.9960661,15.57668
53.999164581,14.97331,0.9984424,15.09585
54.998004436,14.65785,0.9893481,15.9841
55.999316692,14.78464,1.0066,16.59266
56.998156548,14.89813,0.9768261,16.64956
57.999469280,14.96765,0.9903958,18.04071
58.998309135,15.08549,1.017529,19.64109
59.999621391,14.79729,1.01566,19.76238
60.998461723,14.85806,0.9923161,21.40443
61.999773502,14.66094,0.9698021,21.95863
62.998613358,14.53806,0.9864596,22.04257
63.999926090,14.59734,0.9820893,22.82986
