Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,0.0509076,0.08777647,-0.1372897,0.01996134,-0.02897915,0.9911057,1.184252,19.0381,-12.80913,1008.005
0.998839378,0.05168953,0.1471779,0.04534718,0.01991454,-0.02607444,0.9906867,0.8215275,18.66626,-12.80457,1008.01
2.000150204,-0.0109625,-0.03008552,-0.07643779,0.01882978,-0.02217563,0.9826521,0.4329948,19.40135,-12.36652,1007.999
2.998989582,-1.125186,0.0292377,1.684898,0.02643998,-0.03372126,0.991933,0.7957191,19.77319,-12.37109,1008
4.000300884,0.1717882,-0.1486537,14.4706,0.02086387,-0.02174015,0.9969764,3.725271,19.05634,-12.81964,1007.987
4.999140263,-0.32284,0.2659995,15.26334,0.02242522,-0.02894334,0.9915715,7.468123,18.03762,-13.269,1007.995
6.000452042,0.6664164,-0.2671261,15.20236,0.02131485,-0.02073616,0.9917414,10.79852,16.21533,-13.26746,1008.002
6.999291420,0.7900735,0.1475271,15.0804,0.01898281,-0.02567193,1.002638,13.48234,12.91196,-13.63033,1008.008
7.998130798,0.4191023,-0.2671261,14.95844,0.02057225,-0.03052777,1.010173,16.15228,10.4063,-12.35598,1008.007
8.999442577,0.1717882,0.5029442,15.20236,0.02211214,-0.0315247,1.019696,16.98868,6.719423,-11.94947,1008.002
9.998281956,0.1099597,-0.2671261,14.65354,0.02471555,-0.02871804,0.9576595,17.06934,3.458405,-11.92275,1008.004
10.999594212,0.6664164,-0.8594878,14.4706,0.008591937,-0.02672706,0.9892984,16.03755,0.1272717,-11.44836,1008.001
11.998433590,-0.199183,-0.5040708,14.89746,0.0105961,-0.02340529,1.006546,14.25439,-3.145423,-12.67839,1007.998
12.999745369,-0.0136974,-0.3855984,14.4706,0.01512528,-0.03628492,0.9862087,11.03653,-5.75428,-11.82174,1007.998
13.998585224,0.2336167,0.0290548,14.53158,0.0229151,-0.02893302,0.9910917,8.499048,-8.357744,-11.34724,1007.99
14.999897480,-0.2610115,0.1475271,12.45824,0.01798011,-0.02899675,0.9887277,4.789612,-8.753601,-11.32884,1007.997
15.998737335,0.2954452,-0.08941755,0.6890062,0.01457985,-0.02910057,0.9978161,2.653866,-10.18374,-11.75083,1007.994
17.000049591,0.1099597,-0.08941755,0.07920124,0.02093063,-0.02656906,0.9954469,3.389969,-9.870763,-11.75642,1007.993
17.998889923,-0.07552592,-0.2671261,0.2011622,0.0169365,-0.02561847,0.9873682,2.282009,-10.18641,-11.74929,1007.994
19.000201702,-0.1373544,0.0290548,-0.1037403,0.02388025,-0.0284208,0.9887093,2.275988,-9.879351,-11.30926,1007.994
19.999041557,1.037387,-0.08941755,10.01902,0.02049702,-0.02901884,0.9996978,3.382425,-9.502173,-11.31689,1007.995
20.997882366,0.9137305,0.0290548,13.98275,0.02588749,-0.0270048,1.000666,-1.073673,-9.902285,-12.1173,1008.002
21.999194145,0.7282449,-0.03018137,14.4706,0.01950952,-0.02760423,1.003551,-5.129517,-8.823678,-12.10972,1007.997
22.998034477,-0.5701541,0.1475271,14.7755,0.01792708,-0.02893885,0.9782236,-8.875483,-7.742848,-12.10341,1008.004
23.999347210,-0.5083256,0.2067633,14.83648,0.01514563,-0.03250233,1.002043,-12.23787,-4.445539,-10.85261,1008.014
24.998187065,0.6664164,-0.5040708,14.4706,0.0110376,-0.02286655,0.9979589,-14.55126,-1.19995,-11.31266,1008.002
25.999499798,0.7900735,-0.3855984,14.59256,0.01001013,-0.02426191,0.9850428,-15.76728,2.852933,-11.34133,1008.007
26.998339653,0.7282449,-0.6225431,15.01942,0.008045774,-0.02429793,0.986007,-16.25792,7.588552,-11.82117,1008.008
27.999652386,-0.32284,0.8583612,14.95844,0.02001286,-0.02475499,1.014589,-14.4701,10.55469,-11.4105,1008.011
28.998492718,-0.07552592,-0.08941755,14.89746,0.01898874,-0.03566604,0.9728305,-11.94936,13.83497,-11.89054,1008.015
29.999805450,0.8519019,0.3252357,14.7755,0.0243175,-0.0226458,0.9955083,-8.368778,16.81566,-12.75175,1008.01
30.998645782,0.1717882,0.1475271,14.71452,0.02391416,-0.02893343,0.9939517,-5.066204,18.62401,-12.78022,1008.01
31.999958515,-0.32284,-0.03018137,11.9704,0.02047891,-0.03232827,0.9857832,-1.799734,19.38592,-12.79985,1008.008
32.998798370,0.2954452,0.08829096,-0.04275976,0.01491744,-0.02083874,0.9922494,-0.6932964,19.7631,-12.80749,1007.997
34.000111580,0.04813112,-0.03018137,-0.04275976,0.02383792,-0.02456979,0.9921294,-0.6750317,19.02476,-12.80144,1007.994
34.998952389,-0.0136974,0.0290548,-0.1037403,0.01980871,-0.01977607,0.988903,-1.0453,19.02151,-12.35735,1007.999
35.997792244,-0.0136974,0.08829096,0.01822074,0.01890999,-0.02416562,0.9926401,-1.048477,19.02267,-13.24246,1007.997
36.999104977,-0.0136974,0.3844718,13.55589,0.0219345,-0.02657474,0.9992619,0.8139839,19.03485,-12.36504,1007.992
37.997945309,0.1099597,-0.1486537,14.1657,0.01787877,-0.02175207,0.9907836,4.848384,18.69575,-13.26378,1007.992
