Time (s),Humidity (%)
0.000000000,39.27637
1.001033306,39.63379
2.002066612,37.11523
3.000629425,38.09473
4.001663685,38.91211
5.000226498,37.92383
6.001260757,38.07422
7.002296448,38.64941
8.000859261,37.9834
9.001894951,38.09863
10.000459194,38.16797
11.001495361,38.87207
12.000059605,39.40039
13.001096249,38.18164
14.002132893,38.16016
15.000698090,38.75879
16.001735687,38.14941
17.000301361,37.17285
18.001339436,37.79395
18.999905109,38.12793
20.000943661,39.23438
21.001982212,39.43066
22.000549793,38.82129
23.001588345,40.00684
24.000155926,39.7998
25.001195431,39.2832
25.999763489,37.82227
27.000803471,38.73242
28.001843929,38.33008
29.000412464,38.5498
30.001452923,38.11328
31.000022411,38.24023
32.001063347,36.96387
32.999632835,39.05957
34.000674725,38.84082
35.001716614,36.9541
36.000286579,38.53125
37.001328945,38.77441
37.999899864,38.26855
39.000942707,38.28027
40.001985550,38.35059
41.000557423,37.83301
42.001600742,38.04102
43.000172615,36.83203
44.001216412,38.57129
44.999789238,38.89453
46.000833511,38.95215
47.001877785,37.70996
48.000450611,37.19238
49.001495838,38.29785
50.000069141,38.62207
51.001114368,38.15039
51.999688625,37.98926
53.000734329,38.6582
54.001780987,38.11719
55.000355721,38.25586
56.001401901,37.37012
56.999977589,38.25781
58.001023769,38.59277
58.999599934,38.61621
60.000647068,37.77637
61.001695156,38.00684
62.000271797,38.28418
63.001319408,37.89258
63.999896049,37.28223
65.000944614,37.21387
65.999522209,37.01953
67.000570774,37.1123
68.001619816,37.36523
69.000197887,38.08008
70.001247406,36.83789
70.999825478,36.37695
72.000875473,37.875
72.999454021,37.46094
74.000504494,38.06152
75.001555920,37.41699
76.000134945,38.16602
77.001186371,39.03027
77.999765873,38.9502
79.000817776,38.04102
79.999397278,37.66113
81.000449181,38.03027
82.001502037,37.7666
83.000082493,36.69531
84.001135349,36.91504
84.999716282,38.70215
86.000769615,37.80371
86.999351025,37.46973
88.000404835,37.08984
88.998986721,38.43945
90.000040531,36.5957
91.001094341,37.23047
91.999677181,36.5166
93.000731945,38.40723
93.999314785,37.64648
95.000369549,38.08496
95.998953342,37.17578
97.000008583,36.56445
98.001063824,37.77539
98.999648094,36.94629
100.000703812,36.24414
100.999288559,37.1543
102.000344753,37.08594
102.998929501,36.37207
103.999986172,37.70996
105.001043320,37.12207
105.999628544,37.41016
107.000685692,37.28418
107.999270916,38.02344
109.000329018,37.30859
109.998915195,37.93164
110.999973774,36.70996
112.001031399,37.49512
112.999618053,37.16113
114.000677109,37.29883
114.999263763,37.6123
116.000323296,36.93164
