Time (s),X (g),Y (g),Z (g)
0.000000000,-0.0009059305,0.004296685,-0.01255476
1.001033306,-0.001824957,0.002312977,0.001258612
2.002066612,-0.002338175,0.003615402,-0.005875349
3.000629425,0.007304014,-0.001102805,-0.00576973
4.001663685,0.03025665,0.002716685,-0.002512157
5.000226498,0.03378838,0.00471871,-0.00496769
6.001260757,0.01637693,0.00490327,-0.005695999
6.999824047,0.01117656,-0.005195687,0.0001978874
8.000859261,0.009368814,-0.001152603,-0.004546225
9.001894951,0.003671014,0.03574038,-0.006180763
10.000459194,0.01611595,-0.001352534,0.002439499
11.001495361,0.02224313,-0.007765959,-0.01116663
12.000059605,0.02861549,-0.0256055,-0.009937286
13.001096249,0.02441378,-0.02509836,-0.007593393
13.999660969,0.02892596,-0.01356132,-0.004917264
15.000698090,0.01052236,-0.007902334,-0.005938649
16.001735687,0.006683671,-0.007866392,-0.004609346
17.000301361,0.0008330992,-0.00514763,-0.009829581
18.001339436,0.003980716,0.009458916,0.0009272695
18.999905109,0.006703787,0.00488694,-0.005595922
20.000943661,0.02190605,-0.005381183,-0.01260763
21.001982212,0.03394995,-0.01824342,0.003999531
22.000549793,0.02835851,-0.02562425,-0.005702853
23.001588345,0.03719171,-0.02243355,0.00114572
24.000155926,0.01846404,-0.01010736,-0.006486058
25.001195431,0.009091079,-0.00317567,-0.006914079
25.999763489,0.003452037,-0.002820767,0.0007052422
27.000803471,0.006005405,-0.0006373916,-0.003588796
28.001843929,0.002312038,0.01179123,-0.003625751
29.000412464,0.02219722,-0.008774908,-0.007034063
30.001452923,0.03508351,-0.006818861,0.0004028082
31.000022411,0.03082415,-0.0225913,0.003503025
32.001063347,0.02145784,-0.02009013,-0.002397597
32.999632835,0.01495074,-0.009493804,-0.0006443858
34.000674725,0.01490445,-0.006830124,-0.001241744
35.001716614,0.007358063,-0.002579734,-0.00119257
36.000286579,0.005201404,-0.0007025525,-0.00786525
37.001328945,-0.006711679,0.007293327,-0.01088041
37.999899864,0.0217314,-0.002819511,0.001635015
39.000942707,0.02543068,-0.01441304,-0.01548892
39.999514103,0.03162982,-0.02479723,0.00200057
41.000557423,0.02331572,-0.03168065,-0.001660645
42.001600742,0.02190955,-0.006100601,-0.007275283
43.000172615,0.009551546,-0.005007414,-0.006428778
44.001216412,0.006356368,-0.001769213,0.0002544522
44.999789238,0.007523708,-0.006078707,0.004422903
46.000833511,0.01039003,-0.003835887,0.001618087
46.999406338,0.0196432,-0.006271614,0.004325867
48.000450611,0.02637308,-0.01258418,-0.0145604
49.001495838,0.01973,-0.02099311,-0.01120174
50.000069141,0.04391143,-0.01607171,0.006293058
51.001114368,0.03311253,-0.01203819,-0.004485846
51.999688625,0.0151039,-0.003958799,-0.00112766
53.000734329,0.008969469,0.00144239,-0.001570642
53.999309063,0.001991854,-0.003002876,-0.008357942
55.000355721,0.02935456,0.1200892,0.04983526
56.001401901,0.01296261,-0.006749928,-0.01195008
56.999977589,0.02078227,0.001898602,-0.0009182692
58.001023769,0.03809079,-0.003121858,-0.00475812
58.999599934,0.03330741,-0.02679002,-0.005305648
60.000647068,0.01866328,-0.008274911,-0.0004824996
60.999223232,0.01335465,-0.005791636,-0.005930543
62.000271797,0.008294838,-0.002338273,0.0002577305
63.001319408,0.003103704,-0.007026346,-0.004634917
63.999896049,0.002405887,0.0007135551,-0.003067076
65.000944614,0.01114478,-0.007374598,0.0118109
65.999522209,0.03062375,0.002653037,-0.003403902
67.000570774,0.02760513,-0.02185613,-0.006022811
67.999148369,0.03168853,-0.0248952,-0.005635798
69.000197887,0.02047698,-0.02204993,0.0008192062
70.001247406,0.009965707,-0.003850863,0.0008832216
70.999825478,0.01081016,-0.006287679,-0.005999446
72.000875473,0.005838478,0.0001306962,0.008418143
72.999454021,0.000650241,0.002783744,-0.002043366
74.000504494,0.02556077,0.004453039,0.006649435
74.999083996,0.02507072,-0.004192209,-0.006431758
76.000134945,0.02857108,-0.01630746,-0.001172066
77.001186371,0.0278938,-0.01910197,0.004523158
77.999765873,0.01670871,-0.02475137,0.01132667
79.000817776,0.01786013,-0.006855485,-0.001598537
79.999397278,0.009728939,-0.001362661,-0.005426943
81.000449181,0.009586826,-0.006538656,-0.001778662
81.999030113,0.002188806,-0.006545743,-0.005114615
83.000082493,0.009928712,0.0005893335,-0.00204891
84.001135349,0.02568573,-0.005451572,0.002034664
84.999716282,0.03690373,-0.007765698,-0.01207882
86.000769615,0.02859085,-0.02534751,-0.001290441
86.999351025,0.02636296,-0.03634972,0.01118034
88.000404835,0.01588994,-0.01461115,-0.007858336
88.998986721,0.0130221,-0.008450045,-0.008874953
90.000040531,0.0110878,-0.007136153,-0.001284778
91.001094341,0.0008807969,0.002313456,0.002258539
91.999677181,0.007807231,-0.0007139621,-0.005440176
93.000731945,0.009612981,0.001738245,-0.003048897
93.999314785,0.02448453,-0.01149618,0.004136503
95.000369549,0.03266392,-0.02524528,0.00107193
95.998953342,0.03971529,-0.02399522,0.008521497
97.000008583,0.01394258,-0.006438516,-0.0004903674
98.001063824,0.01023018,-0.005058395,0.003144145
98.999648094,0.00567759,-0.006134,-0.002204895
100.000703812,0.009004183,-0.00312018,-0.006501317
100.999288559,0.01238856,0.06466107,-0.02617061
102.000344753,0.02122813,0.003538438,0.005385876
102.998929501,0.01964509,-0.01159387,0.003127515
103.999986172,0.02342829,-0.01861512,-0.005896807
