Time (s),X (g),Y (g),Z (g)
0.002472401,-0.0007062671,0.0033359,-0.005829452
1.001222134,-0.003725626,-0.001358452,-0.003017571
2.002443790,0.02688335,0.003546572,0.02299372
3.001194000,0.01340195,-0.005367602,-0.005966318
4.002415657,0.01830225,-0.001715583,0.0002213603
5.001165867,0.01672761,0.01104289,-0.006386459
6.002387524,0.01216839,0.01334715,-0.010543
7.001137733,0.02493463,0.03341337,0.005815493
8.002359390,-0.013088,0.01522161,0.001589894
9.001109600,-0.001065244,0.01107,0.001185092
10.002331257,0.001904633,0.00876621,-0.006392365
11.001081944,0.0004523277,0.007008988,0.0002429065
12.002304077,-0.006820751,-0.02042739,-0.006412449
13.001053810,0.007299485,0.03133819,-0.0132234
14.002276421,-0.02061337,-0.04129476,-0.001780926
15.001026154,-0.03485202,-0.04414278,0.002121342
16.002248764,-0.0006378778,-0.01670545,0.003940294
17.000998974,-0.00623815,-0.004415018,-0.001993901
18.002221584,4.283123E-05,-0.00523106,-0.0001873422
19.000971317,0.0002266636,-0.003751469,0.004552155
20.002193928,-0.01518962,-0.01808865,-0.02803655
21.000943661,0.09174494,0.001295527,-0.009678541
22.002166271,0.01601563,0.02516243,-0.01427138
23.000916481,0.002813464,0.02453845,0.0004193927
24.002138138,0.003623533,0.01638586,0.001540256
25.000888824,0.002312326,0.008723668,-0.0007101553
26.002110481,0.005858675,-0.0005563438,0.005104505
27.000860691,-0.02630745,-0.01432578,-0.04629613
28.002082348,-0.02498904,0.01272803,0.00660128
29.000832558,-0.007787563,-0.03010708,-0.00624599
30.002055168,0.001748453,-0.02262136,-0.002313797
31.000804901,-0.006469144,-0.01560775,0.0006336708
32.002027035,-0.00433165,-0.01222344,-0.003127627
33.000776768,-0.004149677,-0.008925337,-0.003564697
34.001998901,0.04614279,-0.006805004,-0.06719074
35.000748634,-0.009222257,-0.03225745,0.001672513
36.001970291,0.06852652,0.02135236,0.001419751
37.000720501,0.01887904,0.01995101,-0.001780304
38.001942158,0.006924953,0.01427127,-0.001677727
39.000692368,0.004051762,0.009260627,-0.0006890657
40.001914024,-0.002834033,0.01016974,-0.000274275
41.000663280,0.002673346,0.008691253,0.006852853
42.001885414,-0.02084113,-0.01773072,-0.01389948
43.000635147,-0.02869974,0.02763874,0.0013731
44.001856327,-0.01766064,-0.03134475,-0.01124597
45.000606537,-0.009858586,-0.0234107,-0.004285506
46.001827717,-0.005315277,-0.01189105,-0.006870896
47.000576973,-0.007715589,-0.01077534,0.0002180523
48.001798630,-0.002815992,-0.002226335,0.00412901
49.000547886,0.02006411,-0.001229418,-0.03575801
50.001769543,-0.03076479,-0.00441571,0.02578064
51.000518799,0.04763395,0.02566901,-0.005780457
52.001739979,0.0232945,0.02800743,-0.003610188
53.000489235,0.00690805,0.01509135,0.000186998
54.001710415,0.00201596,0.008872276,0.003114563
55.000458717,0.001976718,0.003651598,0.00553067
56.001680374,-0.004673371,0.002634596,-0.004922636
