Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.968561172,100.0117,15372286728.0913,4.155625,0.3125,1
1.847450256,100.0117,15372286728.0913,4.155,0.9375,1
2.902222633,100.0117,15372286728.0913,4.155625,-0.625,1
3.957152843,100.0117,15372286728.0913,4.155625,0,1
4.835987568,100.0117,15372286728.0913,4.155,0.625,1
5.890890121,100.0117,15372286728.0913,4.15375,0,1
6.945625305,100.0117,15372286728.0913,4.154375,0.3125,1
8.000398159,100.0117,15372286728.0913,4.15625,0.3125,1
8.879501343,100.0117,15372286728.0913,4.154375,-0.9375,1
9.934149265,100.0117,15372286728.0913,4.155,0,1
10.988932610,100.0117,15372286728.0913,4.15625,-1.5625,1
11.867930412,100.0117,15372286728.0913,4.155,-0.625,1
12.922700405,100.0117,15372286728.0913,4.15625,-1.5625,1
13.977634907,100.0117,15372286728.0913,4.15625,-0.625,1
14.856489658,100.0117,15372286728.0913,4.15375,-0.625,1
15.911265850,100.0117,15372286728.0913,4.155,0.625,1
16.966198921,100.0117,15372286728.0913,4.155625,1.25,1
17.845067501,100.0117,15372286728.0913,4.155,0.9375,1
18.899952412,100.0117,15372286728.0913,4.154375,0.625,1
19.954684734,100.0117,15372286728.0913,4.15625,-0.625,1
20.833643436,100.0117,15372286728.0913,4.154375,0.9375,1
21.888542175,100.0117,15372286728.0913,4.155,0.9375,1
22.943220615,100.0117,15372286728.0913,4.155,0.625,1
23.997986317,100.0117,15372286728.0913,4.155,-0.3125,1
24.876991272,100.0117,15372286728.0913,4.154375,1.5625,1
25.931763172,100.0117,15372286728.0913,4.155625,-0.3125,1
26.986671448,100.0117,15372286728.0913,4.155625,0.625,1
27.865567684,100.0117,15372286728.0913,4.154375,-0.625,1
28.920351982,100.0117,15372286728.0913,4.154375,-0.9375,1
29.975257397,100.0117,15372286728.0913,4.15375,0.625,1
30.854103088,100.0117,15372286728.0913,4.155625,0,1
31.908995628,100.0117,15372286728.0913,4.15375,0.3125,1
32.963697910,100.0117,15372286728.0913,4.154375,0.625,1
33.842716694,100.0117,15372286728.0913,4.155,0.625,1
34.897615433,100.0117,15372286728.0913,4.155,-0.625,1
35.952263355,100.0117,15372286728.0913,4.155625,0,1
36.831394196,100.0117,15372286728.0913,4.15375,0.625,1
37.886073589,100.0117,15372286728.0913,4.155,0,1
38.940817356,100.0117,15372286728.0913,4.155625,-0.9375,1
39.995702267,100.0117,15372286728.0913,4.156875,0.625,1
40.874605179,100.0117,15372286728.0913,4.154375,1.5625,1
41.929421902,100.0117,15372286728.0913,4.154375,0.625,1
42.984288216,100.0117,15372286728.0913,4.155,0,1
43.863211632,100.0117,15372286728.0913,4.155,-0.3125,1
44.918082714,100.0117,15372286728.0913,4.15625,0.3125,1
45.972801208,100.0117,15372286728.0913,4.15625,-2.5,1
46.851735592,100.0117,15372286728.0913,4.15375,0,1
47.906702518,100.0117,15372286728.0913,4.155625,-3.4375,1
48.961320877,100.0117,15372286728.0913,4.155,-1.25,1
49.840439796,100.0117,15372286728.0913,4.155625,0.625,1
50.895138264,100.0117,15372286728.0913,4.15625,1.5625,1
51.949930191,100.0117,15372286728.0913,4.15625,-1.25,1
52.829008103,100.0117,15372286728.0913,4.155,0,1
53.883675575,100.0117,15372286728.0913,4.15625,0,1
54.938470840,100.0117,15372286728.0913,4.155,0,1
55.993329525,100.0117,15372286728.0913,4.154375,0.3125,1
56.872274876,100.0117,15372286728.0913,4.155625,0,1
57.927177429,100.0117,15372286728.0913,4.155625,-0.625,1
58.981855869,100.0117,15372286728.0913,4.154375,0.9375,1
59.860805035,100.0117,15372286728.0913,4.155625,0.625,1
60.915718079,100.0117,15372286728.0913,4.154375,-0.625,1
61.970385075,100.0117,15372286728.0913,4.154375,0.9375,1
62.849499702,100.0117,15372286728.0913,4.155,0.625,1
63.904210567,100.0117,15372286728.0913,4.155625,0,1
64.958945274,100.0117,15372286728.0913,4.155625,0,1
65.838043690,100.0117,15372286728.0913,4.155,0.625,1
66.892737389,100.0117,15372286728.0913,4.15625,0,1
67.947506905,100.0117,15372286728.0913,4.156875,0,1
68.826524735,100.0117,15372286728.0913,4.155,-0.3125,1
69.881294250,100.0117,15372286728.0913,4.15375,-0.3125,1
70.936236858,100.0117,15372286728.0913,4.155,-0.3125,1
71.990892887,100.0117,15372286728.0913,4.155,-0.3125,1
72.869857311,100.0117,15372286728.0913,4.15625,0.9375,1
73.924763203,100.0117,15372286728.0913,4.155,0.625,1
74.979426861,100.0117,15372286728.0913,4.155625,0.3125,1
75.858582020,100.0117,15372286728.0913,4.156875,-0.3125,1
76.913225174,100.0117,15372286728.0913,4.155625,0.9375,1
77.968014717,100.0117,15372286728.0913,4.156875,0.3125,1
78.847131729,100.0117,15372286728.0913,4.15375,0,1
