Time (s),Roll (deg),Pitch (deg),Yaw (deg)
0.000000000,-3.390271,-1.111646,61.14875
0.998791218,-3.396392,-1.113525,61.15893
2.000055313,-3.404996,-1.081047,61.17811
2.998847961,-3.573196,-0.5837155,72.48997
4.000112534,-3.560978,-0.4395375,86.19305
4.998905182,-3.501068,-0.3528969,100.1187
6.000170231,-3.45546,-0.3370153,114.1434
6.998963356,-3.415949,-0.3085898,128.0992
8.000229359,-3.393804,-0.3030124,141.8924
8.999023437,-3.167484,-0.8037085,152.2794
10.000289440,-3.246345,-0.8812634,152.0422
10.999083042,-3.291429,-0.9801289,152.0011
12.000350475,-3.435176,-0.7726853,152.7047
12.999145031,-3.470306,-0.5344655,165.9205
14.000411510,-3.465161,-0.4386703,179.8394
14.999207020,-3.44125,-0.4019367,-166.1215
15.998002052,-3.43157,-0.3668444,-152.0435
16.999270439,-3.409723,-0.3611896,-137.8973
17.998067379,-3.365908,-0.4521733,-125.008
18.999336720,-3.239997,-0.8849878,-121.3344
19.998133659,-3.294218,-0.9937957,-121.4287
20.999403000,-3.318815,-1.055058,-121.4665
21.998200417,-3.513333,-0.6854866,-115.9206
22.999469280,-3.521077,-0.5436135,-101.7844
23.998266697,-3.507192,-0.4606752,-87.82957
24.999535084,-3.485977,-0.4021671,-73.75437
25.998332500,-3.489221,-0.3540432,-59.63316
26.999601364,-3.465219,-0.3735458,-45.39273
27.998396873,-3.382523,-0.5267479,-33.77336
28.999665737,-3.348029,-0.8827941,-33.70361
29.998461723,-3.384675,-0.9751915,-33.73058
30.999730110,-3.391412,-1.029794,-33.76558
31.998525620,-3.61215,-0.5662505,-25.34394
32.999793530,-3.575779,-0.4475794,-11.19788
33.998588562,-3.533949,-0.3574632,3.024795
34.999856472,-3.505214,-0.3044709,17.17696
35.998651505,-3.471866,-0.2759143,31.40157
36.999918938,-3.410377,-0.3330124,45.00997
37.998714924,-3.252869,-0.6948098,54.53993
38.999982834,-3.30637,-0.8565221,54.13577
39.998777866,-3.335567,-0.9430242,54.07565
41.000045776,-3.378416,-0.9381881,54.12064
41.998841763,-3.55086,-0.4803135,65.2112
43.000110626,-3.518528,-0.3719824,79.48598
43.998905659,-3.467208,-0.3136077,93.59294
44.997701645,-3.426878,-0.2749924,107.7614
45.998969555,-3.386861,-0.2674055,122.0043
46.997765541,-3.350235,-0.3520995,135.4894
47.999033451,-3.170483,-0.768439,143.7133
48.997828484,-3.23039,-0.8827778,143.4689
49.999096394,-3.265178,-0.9574275,143.4372
50.997891903,-3.304256,-0.9670616,143.4506
51.999159813,-3.484674,-0.5176508,154.5204
52.997954845,-3.466312,-0.4189455,168.5068
53.999222755,-3.426846,-0.3721667,-177.4506
54.998018265,-3.401761,-0.3450836,-163.5154
55.999286175,-3.378525,-0.3573537,-149.4472
56.998082161,-3.34388,-0.4226423,-136.1983
57.999350071,-3.207741,-0.8604427,-128.6072
58.998145103,-3.27882,-0.9530471,-128.7046
59.999413013,-3.301703,-1.035816,-128.7289
60.998208523,-3.441515,-0.8029982,-128.2528
61.999476433,-3.533673,-0.5680417,-114.9918
62.998271465,-3.508123,-0.4546372,-100.8956
63.999538898,-3.493606,-0.3785883,-86.63378
64.998333454,-3.461923,-0.3489912,-72.23847
65.999599934,-3.459371,-0.3327379,-57.90016
66.998394012,-3.435542,-0.3970762,-44.99279
67.999659538,-3.304213,-0.8192342,-40.33303
68.998453617,-3.350309,-0.9326845,-40.36658
69.999719620,-3.368858,-1.003842,-40.39682
70.998512268,-3.534947,-0.6830767,-37.48266
71.999777317,-3.568795,-0.4710851,-23.5278
72.998570442,-3.536754,-0.3800491,-9.715241
73.997363091,-3.499975,-0.300888,4.445813
74.998627663,-3.461207,-0.2808363,18.74078
75.997419834,-3.437543,-0.244928,32.89838
76.998684406,-3.367653,-0.3728661,45.33586
77.997477055,-3.265686,-0.7798623,47.94057
78.998741627,-3.320868,-0.8877154,47.84776
79.997534275,-3.337625,-0.9640357,47.8199
80.998798847,-3.540764,-0.5610077,53.46
81.997590542,-3.523001,-0.4094204,67.57206
82.998855114,-3.47589,-0.3076667,81.73891
83.997647285,-3.433424,-0.2713782,95.79708
84.998911858,-3.399384,-0.2601428,109.9501
85.997703552,-3.376207,-0.2541696,123.8454
86.998968124,-3.294866,-0.4128823,135.7819
87.997760296,-3.219888,-0.8145253,136.6566
88.999024868,-3.258546,-0.9063619,136.6376
89.997816563,-3.286962,-0.9789886,136.5998
90.999080658,-3.505653,-0.5404218,144.6271
91.997872353,-3.468271,-0.4223669,158.8284
92.999136448,-3.441679,-0.3525243,173.192
93.997928143,-3.419798,-0.3270925,-172.416
94.999192238,-3.393977,-0.3305511,-158.1003
95.997984886,-3.347618,-0.4049652,-144.5056
96.999248505,-3.171235,-0.8573804,-136.2469
97.998040676,-3.273215,-0.9214454,-136.41
98.999305248,-3.30142,-1.004127,-136.4373
99.998096943,-3.442157,-0.7884926,-135.9473
100.999361038,-3.527286,-0.5345873,-122.902
101.998152733,-3.504583,-0.438276,-108.7312
102.999416828,-3.4884,-0.3823591,-94.62057
103.998208046,-3.473193,-0.3337205,-80.65703
104.999471188,-3.455464,-0.3057319,-66.4439
105.998262405,-3.411296,-0.3473792,-53.07546
106.997053146,-3.301644,-0.7711605,-48.20862
107.998316288,-3.341504,-0.9048652,-48.27569
108.997107029,-3.366895,-0.9743174,-48.30352
109.998368740,-3.577722,-0.6595284,-45.46496
110.997159481,-3.560786,-0.4448297,-31.18274
111.998421192,-3.52301,-0.3156399,-16.45759
112.997211456,-3.481109,-0.2899077,-2.063462
113.998473167,-3.445683,-0.26105,12.34766
114.997262955,-3.41507,-0.2628683,26.68196
115.998525143,-3.340942,-0.4119367,38.52309
116.997314453,-3.284074,-0.781726,39.60104
117.998576164,-3.317273,-0.8912914,39.56741
118.997365952,-3.334556,-0.9586394,39.54486
119.998628139,-3.525912,-0.574031,44.90871
120.997417927,-3.508175,-0.4173738,58.95459
121.998680115,-3.462652,-0.3250694,72.87073
122.997469902,-3.421134,-0.2759001,86.99292
123.998731613,-3.388424,-0.252766,101.3522
124.997520924,-3.359586,-0.2605693,115.6824
125.998783112,-3.301182,-0.4204805,127.7216
126.997572899,-3.238548,-0.8070751,129.1291
127.998834610,-3.265506,-0.9143226,129.1124
128.997624874,-3.288075,-0.9770568,129.0798
129.998886585,-3.505059,-0.6075771,134.4082
130.997675896,-3.487985,-0.4532362,148.4444
131.998937607,-3.460684,-0.3773981,162.392
132.997727871,-3.413127,-0.3520883,176.3586
133.998989582,-3.38237,-0.355104,-169.6276
134.997779369,-3.35035,-0.3937036,-155.9329
135.999042034,-3.29794,-0.5410302,-144.7965
136.997831821,-3.243154,-0.9001977,-144.005
137.999095440,-3.278204,-0.9949761,-144.0257
138.997885704,-3.287755,-1.05532,-144.0621
139.996676445,-3.523426,-0.623344,-136.4752
140.997939110,-3.499921,-0.496404,-122.0529
141.996729374,-3.481757,-0.4200109,-107.6875
142.997992992,-3.464203,-0.3729385,-93.30545
143.996782780,-3.452618,-0.3434179,-78.99644
144.998045444,-3.423006,-0.383598,-65.20798
145.996835232,-3.261251,-0.7925376,-55.8369
146.998096943,-3.325233,-0.8989241,-56.09937
147.996886253,-3.350073,-0.9958584,-56.13103
148.998148441,-3.378186,-1.032564,-56.15645
149.996937752,-3.594078,-0.5236091,-45.13332
150.998198986,-3.56059,-0.4062794,-30.89548
151.996988297,-3.51782,-0.3529067,-16.78064
152.998249531,-3.470645,-0.3197348,-2.601025
153.997038364,-3.453455,-0.2969322,11.54109
154.998300552,-3.407259,-0.3314615,24.90851
155.997089863,-3.288652,-0.722682,30.88168
156.998351097,-3.312289,-0.8648333,30.85232
157.997140408,-3.337658,-0.931997,30.81435
158.998402119,-3.510517,-0.671192,33.34592
159.997191906,-3.517009,-0.4702879,46.99547
160.998455524,-3.476616,-0.3645416,61.17553
161.997245789,-3.435458,-0.3016969,75.41187
162.998508930,-3.413085,-0.2800389,89.64263
163.997299671,-3.392999,-0.2784499,103.7074
164.998562336,-3.356055,-0.3401811,116.3319
165.997353554,-3.21662,-0.7816178,119.8007
166.998616219,-3.26238,-0.8965892,119.7321
167.997407436,-3.2768,-0.9585268,119.7029
168.998670101,-3.468555,-0.584636,125.2035
169.997461319,-3.457624,-0.443321,138.997
170.998724461,-3.423525,-0.3665574,153.0103
171.997515678,-3.389888,-0.3437038,167.1156
172.998778820,-3.367547,-0.3285658,-178.8843
173.997570038,-3.349126,-0.3518788,-164.8586
174.996362686,-3.282842,-0.548613,-153.4769
175.997628212,-3.233973,-0.8912942,-153.0083
176.996421337,-3.272596,-0.9947818,-153.0367
177.997688770,-3.287122,-1.046237,-153.0719
178.996483326,-3.498532,-0.5977933,-144.7184
179.997750282,-3.476777,-0.4819821,-130.6809
180.996545792,-3.459571,-0.4236878,-116.7024
181.997813702,-3.436911,-0.3826707,-102.765
182.996608734,-3.435031,-0.3561426,-88.87234
183.997875214,-3.399416,-0.3885837,-74.97897
184.996669769,-3.290255,-0.6883954,-64.50706
185.997937202,-3.312612,-0.8956289,-64.9084
186.996731281,-3.343276,-0.9768276,-64.95348
187.997997761,-3.357239,-1.034589,-64.99724
188.996791840,-3.362508,-1.074796,-65.03999
189.998058319,-3.371997,-1.087255,-65.09284
190.996851921,-3.37789,-1.100321,-65.12311
191.998117924,-3.383761,-1.113207,-65.16696
192.996911526,-3.386895,-1.118447,-65.20045
193.998177052,-3.386919,-1.121153,-65.22557
194.996971130,-3.386559,-1.124545,-65.25314
195.998237133,-3.391644,-1.129435,-65.28076
