Time (s),XX,XY,XZ,YX,YY,YZ,ZX,ZY,ZZ
0.000000000,0.4800315,-0.8694229,-0.06075874,0.8713274,0.4802825,0.01156056,0.01940066,-0.0587272,0.9913346
0.998791218,0.4798766,-0.8695011,-0.06086922,0.8714124,0.4801287,0.01157262,0.01943346,-0.05883306,0.9913275
2.000055313,0.4795906,-0.86967,-0.06072906,0.8715835,0.479807,0.01211946,0.01886672,-0.0589826,0.9913298
2.998847961,0.2995355,-0.9474502,-0.06206544,0.9494262,0.2995692,0.009128679,0.01018758,-0.06190045,0.9912792
4.000112534,0.06615373,-0.9922599,-0.06207614,0.9941701,0.06649616,-0.003334083,0.0076713,-0.06169047,0.9913149
4.998905182,-0.1751951,-0.9799488,-0.05868748,0.9816852,-0.1745107,-0.0165132,0.006159173,-0.06065451,0.9913892
6.000170231,-0.408197,-0.9092008,-0.05232001,0.910686,-0.4071501,-0.029683,0.005881993,-0.0598654,0.9914381
6.998963356,-0.6162175,-0.7847338,-0.04336442,0.7859125,-0.6148927,-0.04063281,0.005385881,-0.05918185,0.9914819
8.000229359,-0.7862753,-0.6158657,-0.03223679,0.6166861,-0.7847294,-0.04945746,0.00528854,-0.05879866,0.9915052
8.999023437,-0.8847957,-0.4649568,-0.01321767,0.464933,-0.883185,-0.05507753,0.0140269,-0.05487702,0.9916444
10.000289440,-0.88284,-0.4686544,-0.01289646,0.4685795,-0.8811347,-0.05686173,0.01538034,-0.05624073,0.9915482
10.999083042,-0.8824776,-0.4693632,-0.01178583,0.4691995,-0.8807056,-0.05835152,0.01710564,-0.05701932,0.9914757
12.000350475,-0.8882391,-0.4583008,-0.01542145,0.4583619,-0.8863704,-0.05903791,0.01348549,-0.05950998,0.9913856
12.999145031,-0.9698182,-0.2433458,-0.005644598,0.2432325,-0.9679629,-0.06057765,0.009328047,-0.06012072,0.9913968
14.000411510,-0.9999667,-0.003258346,0.007473433,0.002802165,-0.998185,-0.06005557,0.007656167,-0.06003254,0.991416
14.999207020,-0.9706869,0.2390023,0.02114443,-0.2398332,-0.9690794,-0.05618325,0.007015061,-0.05961907,0.9914458
15.998002052,-0.8829373,0.4674436,0.03359548,-0.4686055,-0.8815686,-0.0494657,0.0064026,-0.05945182,0.99146
16.999270439,-0.7412822,0.6684217,0.04436617,-0.6698628,-0.7402506,-0.03951072,0.006303906,-0.05907381,0.9914833
17.998067379,-0.5728461,0.8162259,0.05235995,-0.8178655,-0.5722672,-0.02685787,0.007891832,-0.0583149,0.9915164
18.999336720,-0.5191257,0.8509568,0.05601511,-0.8526585,-0.5191131,-0.01585982,0.01544534,-0.05613082,0.9915534
19.998133659,-0.5205146,0.8499956,0.05777442,-0.8517803,-0.5205931,-0.01481947,0.01734414,-0.05706734,0.9914688
20.999403000,-0.5210679,0.8495966,0.05868262,-0.8514217,-0.5212015,-0.01416729,0.0184132,-0.05749188,0.9914255
21.998200417,-0.4362615,0.8956965,0.06001251,-0.897625,-0.4361427,-0.01568418,0.01196371,-0.06086349,0.9913232
22.999469280,-0.2036712,0.9743433,0.06166039,-0.9762464,-0.2038736,-0.002983829,0.009487703,-0.0609991,0.9913415
23.998266697,0.037738,0.9939473,0.06037887,-0.995747,0.03717308,0.01052488,0.008040212,-0.06075966,0.9913692
24.999535084,0.2785399,0.9542861,0.05594596,-0.9558989,0.2776208,0.02380402,0.007019082,-0.060393,0.9913988
25.998332500,0.502956,0.8570322,0.04893422,-0.8584058,0.5017106,0.03602452,0.00617918,-0.0604495,0.9914014
26.999601364,0.6981953,0.7068392,0.03805854,-0.7078331,0.6966574,0.04688432,0.006519558,-0.06003405,0.9914246
27.998396873,0.8260729,0.5519691,0.02484869,-0.5524516,0.8243732,0.05386306,0.009193355,-0.05860178,0.9914885
28.999665737,0.826679,0.5512795,0.01928567,-0.5514016,0.8248747,0.05682852,0.01540705,-0.05800035,0.9914466
29.998461723,0.8263986,0.5517352,0.01832369,-0.5517769,0.8245273,0.05823855,0.01701948,-0.05863296,0.9913839
30.999730110,0.8260484,0.552284,0.01763213,-0.552273,0.8241531,0.05885153,0.01797233,-0.05874853,0.9913603
31.998525620,0.8979074,0.4250246,0.01778441,-0.4252816,0.8959084,0.06080265,0.009882775,-0.06257458,0.9912401
32.999793530,0.9743786,0.1930039,0.004341196,-0.1928947,0.972424,0.06228595,0.007811654,-0.06194646,0.9912975
