Time (s),W,X,Y,Z
0.000000000,-0.859999,-0.02043251,-0.02330218,0.5060326
0.998791218,-0.8599531,-0.02046788,-0.02334507,0.5061071
2.000055313,-0.8598651,-0.02067244,-0.02314194,0.5062578
2.998847961,-0.8057804,-0.02203737,-0.0224171,0.5885215
4.000112534,-0.7298474,-0.01998924,-0.0238911,0.6804265
4.998905182,-0.6419556,-0.01719018,-0.02525356,0.7639291
6.000170231,-0.5437913,-0.01387591,-0.02675751,0.836666
6.998963356,-0.437926,-0.01058914,-0.02783022,0.8966392
8.000229359,-0.32682,-0.007145524,-0.02870489,0.9428368
8.999023437,-0.2400044,0.0002088615,-0.02837924,0.9686176
10.000289440,-0.2420322,0.0006414401,-0.02920769,0.9680881
10.999083042,-0.2424033,0.001373951,-0.02979691,0.9679765
12.000350475,-0.2363899,-0.0004992453,-0.03057125,0.9694393
12.999145031,-0.1228414,0.0009299226,-0.03047149,0.9902567
13.997939587,-0.001820722,0.003764868,-0.03009013,0.9978501
14.999207020,0.1208554,0.007107297,-0.02922785,0.9905134
15.998002052,0.2417119,0.01032853,-0.0281253,0.9681453
16.999270439,0.3594075,0.01360787,-0.0264757,0.9308963
17.998067379,0.46183,0.01702847,-0.02407169,0.8845741
18.999336720,0.4899131,0.02055007,-0.02070254,0.8693457
19.998133659,0.4891589,0.0215921,-0.02066316,0.8697459
20.999403000,0.4888508,0.02215635,-0.02059392,0.8699067
21.998200417,0.5304865,0.02129145,-0.02264374,0.8451306
22.999469280,0.6305833,0.02300064,-0.02068429,0.7733275
23.998266697,0.7199001,0.02475501,-0.01817567,0.690962
24.999535084,0.7991096,0.02634089,-0.01530669,0.597598
25.998332500,0.8664312,0.0278366,-0.01233654,0.4949723
26.999601364,0.9210078,0.02902211,-0.008560998,0.3840012
27.998396873,0.9550758,0.02943872,-0.00409793,0.2890924
28.999665737,0.9552153,0.03005314,-0.001015117,0.2885949
29.998461723,0.9551249,0.03059064,-0.0003413717,0.2888398
30.999730110,0.955027,0.03078449,8.905483E-05,0.2891429
31.998525620,0.9736273,0.03167979,-0.002028916,0.2183346
32.999793530,0.9930817,0.03127447,0.0008736588,0.09714674
33.998588562,0.9974933,0.03058561,0.003929131,-0.02615109
34.999856472,0.986742,0.02969415,0.007159765,-0.1484415
35.998651505,0.9608799,0.02837193,0.01045202,-0.269116
