Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.000000000,37.72,31.59
0.998852253,37.756,31.59
2.000176430,37.72,31.59
2.999029160,37.75,31.59
4.000353813,37.79,31.59
4.999205589,37.784,31.59
6.000530243,37.736,31.59
6.999382019,37.724,31.588
8.000706673,37.782,31.588
8.999558926,37.766,31.588
10.000883102,37.738,31.588
10.999735355,37.72,31.588
12.001060009,37.744,31.588
12.999911785,37.7,31.588
13.998763561,37.766,31.588
15.000088215,37.728,31.588
15.998939991,37.718,31.588
17.000264168,37.748,31.588
17.999115944,37.71,31.588
19.000440598,37.78,31.588
19.999292374,37.75,31.588
21.000616550,37.706,31.586
21.999468327,37.764,31.586
23.000792980,37.726,31.586
23.999644279,37.684,31.586
24.998496056,37.726,31.586
25.999820709,37.698,31.586
26.998672485,37.71,31.586
27.999996662,37.684,31.586
28.998848438,37.792,31.586
30.000173092,37.724,31.586
30.999024868,37.722,31.586
32.000348568,37.698,31.588
32.999200821,37.756,31.588
34.000525951,37.782,31.588
34.999377251,37.698,31.588
36.000701904,37.74,31.588
36.999553680,37.756,31.588
37.998406410,37.726,31.588
38.999730110,37.766,31.588
39.998582840,37.69,31.588
40.999907494,37.772,31.588
41.998759270,37.764,31.588
43.000083923,37.71,31.588
43.998935699,37.76,31.588
45.000260353,37.764,31.588
45.999113083,37.738,31.588
47.000437737,37.716,31.588
47.999289513,37.754,31.588
49.000614166,37.762,31.588
49.999466419,37.712,31.588
50.998318672,37.772,31.588
51.999643326,37.772,31.588
52.998495102,37.756,31.588
53.999819756,37.756,31.588
54.998671532,37.744,31.588
55.999996185,37.74,31.588
56.998847961,37.74,31.588
58.000172615,37.716,31.588
58.999024391,37.728,31.586
60.000348568,37.752,31.586
60.999200344,37.708,31.586
61.998052120,37.726,31.586
62.999376297,37.752,31.586
63.998228073,37.722,31.586
64.999552250,37.76,31.586
65.998404026,37.752,31.586
66.999727726,37.722,31.586
67.998579979,37.754,31.584
68.999903679,37.638,31.584
69.998755455,37.722,31.584
71.000079632,37.702,31.584
71.998930931,37.746,31.584
73.000254631,37.694,31.584
73.999106407,37.73,31.584
74.997957706,37.686,31.584
75.999281883,37.72,31.584
76.998133183,37.682,31.584
77.999456882,37.688,31.582
78.998308182,37.726,31.582
79.999632359,37.718,31.582
80.998482704,37.716,31.582
81.999806404,37.708,31.582
82.998657703,37.708,31.582
83.999980927,37.704,31.58
84.998832226,37.744,31.58
86.000155449,37.7,31.58
86.999006748,37.688,31.58
87.997857571,37.682,31.58
88.999180794,37.7,31.58
89.998032093,37.638,31.58
90.999355316,37.694,31.58
91.998205662,37.652,31.58
92.999528885,37.72,31.578
93.998380184,37.704,31.578
94.999702930,37.68,31.578
95.998553276,37.682,31.578
96.999876499,37.678,31.578
97.998727322,37.7,31.578
99.000050545,37.668,31.578
99.998900890,37.7,31.576
100.997751713,37.676,31.576
101.999074459,37.67,31.576
102.997924805,37.668,31.576
103.999248028,37.674,31.576
104.998097897,37.632,31.576
105.999421120,37.7,31.576
106.998270988,37.72,31.576
107.999593735,37.662,31.574
108.998444557,37.702,31.574
109.999766827,37.646,31.574
110.998616695,37.662,31.574
111.999939442,37.674,31.574
112.998790264,37.638,31.574
113.997640133,37.674,31.574
114.998962402,37.628,31.574
115.997812271,37.702,31.574
116.999135017,37.664,31.574
117.997984886,37.71,31.574
118.999307632,37.682,31.574
119.998157501,37.63,31.572
120.999480247,37.664,31.572
121.998330116,37.622,31.572
122.999651909,37.624,31.572
123.998501778,37.648,31.572
124.999824524,37.652,31.572
125.998674393,37.668,31.572
126.997524261,37.662,31.572
127.998846054,37.65,31.572
128.997695923,37.658,31.572
129.999017715,37.694,31.572
130.997868061,37.658,31.572
131.999190331,37.644,31.572
132.998039722,37.652,31.572
133.999362469,37.624,31.57
134.998211384,37.65,31.57
135.999534130,37.66,31.57
136.998383522,37.61,31.57
137.999705315,37.666,31.57
138.998555183,37.718,31.57
139.997404575,37.658,31.57
140.998726368,37.654,31.57
141.997576237,37.704,31.568
142.998897552,37.636,31.57
143.997747421,37.656,31.568
144.999068737,37.652,31.568
145.997918606,37.618,31.568
146.999239922,37.628,31.568
147.998089314,37.64,31.568
148.999411106,37.662,31.568
149.998260498,37.634,31.568
150.997109413,37.67,31.568
151.998430729,37.582,31.566
152.997280121,37.606,31.566
153.998601437,37.612,31.566
154.997450352,37.618,31.566
155.998771667,37.626,31.566
156.997621059,37.638,31.566
157.998942375,37.654,31.566
158.997791767,37.63,31.566
159.999112606,37.658,31.566
160.997961998,37.594,31.566
161.999283314,37.656,31.566
162.998131752,37.638,31.566
163.996981144,37.624,31.564
164.998302460,37.632,31.566
165.997150898,37.628,31.564
166.998472214,37.666,31.564
167.997320652,37.596,31.564
