Time (s),Gyroscope (deg/s),Accelerometer (g),Magnetometer (uT),,,,,,
0,0.1035123,0.9889191,33.99333,,,,,,
1.001061916,0.1344212,0.9934797,33.56561,,,,,,
1.999652863,0.07207581,0.997057,34.93365,,0.08016159,,0.1840199,,0.9640057
3.000715256,0.2331171,0.9972796,33.87044,,54.92052,,54.61628,,53.45345
3.999306679,0.1988683,0.9924438,34.49981,,29.3703,,27.87222,,24.56619
5.000370026,0.2055123,0.9920141,34.14509,,28.12366053,,27.55750663,,26.3278819
5.998960972,0.8820966,0.9935924,33.6256,,,,,,
7.000024796,34.21765,0.99071,28.56493,,AVE =,27.33634969,,,
8.001089096,33.23317,0.9920287,27.09541,,,,,,
8.999680996,14.61564,0.9844338,29.75183,,,,,,
10.0007453,0.4405857,0.9927859,30.41825,,,,,,
10.99933815,0.1010926,0.9933783,30.11281,,,,,,
12.0004034,0.1633178,0.9983884,30.05218,,,,,,
12.99899626,0.08016159,0.999481,30.4418,,,,,,
14.00006151,54.92052,0.9952084,34.32145,,,,,,
15.00112677,29.3703,0.992099,43.99432,,,,,,
15.99972105,1.980917,0.9893922,46.945,,,,,,
17.00078726,0.4205649,0.9960939,47.36684,,,,,,
17.99938202,0.190826,0.9966457,46.9848,,,,,,
19.0004487,0.1274944,0.9957577,46.80531,,,,,,
19.99904394,0.1840199,0.9956189,47.39761,,,,,,
21.0001111,54.61628,0.9944108,50.12463,,,,,,
21.99870682,27.87222,0.9936864,51.31169,,,,,,
22.99977493,2.11426,0.9941025,49.35187,,,,,,
24.00084305,0.2231126,0.998616,48.75848,,,,,,
24.99944019,0.1849856,0.9997875,49.21479,,,,,,
26.00050926,0.1122117,0.9927016,49.86689,,,,,,
26.99910641,0.9640057,0.9856219,49.35187,,,,,,
28.00017643,53.45345,0.9879869,45.10661,,,,,,
28.99877501,24.56619,0.9742305,36.87234,,,,,,
29.99984551,0.5414619,0.9961791,35.37782,,,,,,
31.00091696,0.1709806,0.9981855,34.50985,,,,,,
31.99951601,0.1070751,0.9987055,35.15447,,,,,,
33.00058794,0.1849856,0.9910842,34.69563,,,,,,
33.99918795,23.55392,0.9773369,34.91803,,,,,,
35.00026083,51.42447,0.9960464,27.02463,,,,,,
35.99886131,14.81364,0.9943503,28.72472,,,,,,
36.99993467,0.192507,0.9974809,29.63602,,,,,,
37.99853563,0.2214135,0.9999375,29.04905,,,,,,
38.99960947,0.2103193,0.9968014,29.57661,,,,,,
40.00068283,0.1589783,0.9994344,29.04905,,,,,,
40.99928522,50.03978,0.9900194,30.75328,,,,,,
42.00036001,45.92384,0.9940357,41.47033,,,,,,
42.9989624,13.9972,0.9918826,45.91332,,,,,,
44.00003767,0.3065246,0.9992549,46.13079,,,,,,
44.99864101,0.09314901,0.9948146,46.77113,,,,,,
45.99971724,0.07039826,0.9921085,46.72649,,,,,,
47.00079298,0.1907918,0.9939542,46.55371,,,,,,
47.99939776,54.33692,0.9957756,48.97754,,,,,,
49.00047398,28.51935,1.009551,51.07595,,,,,,
49.99907875,1.852788,0.9803309,50.232,,,,,,
51.00015593,0.1477748,0.9838184,50.1628,,,,,,
51.99876165,0.177927,0.9958364,49.60336,,,,,,
52.99984026,0.1136302,0.9861382,49.54571,,,,,,
53.99844694,0.1728514,0.9941347,49.85727,,,,,,
54.99952555,55.04251,0.9891772,46.61631,,,,,,
56.00060463,27.54392,0.9850318,38.84565,,,,,,
56.99921227,1.137875,0.9936121,35.48252,,,,,,
58.00029182,0.09314901,0.9901971,35.60018,,,,,,
58.99889994,0.07891494,0.9981976,35.48189,,,,,,
59.99997997,0.1820066,0.9953565,35.71474,,,,,,
60.99858856,1.222849,0.9967226,35.37035,,,,,,
61.99966908,54.12759,0.9910209,27.82802,,,,,,
62.99827814,25.88394,0.9950923,27.75944,,,,,,
63.99935961,1.11107,0.9946845,29.43333,,,,,,
65.00044012,0.1648607,0.9989268,29.09987,,,,,,
65.99905014,0.1728514,0.9950279,29.26475,,,,,,
67.00013113,0.1729356,0.9989607,28.72323,,,,,,
67.99874115,23.06006,1.04025,30.18277,,,,,,
68.99982262,51.74337,0.9987605,39.03334,,,,,,
69.99843311,16.7348,1.002692,45.69447,,,,,,
70.99951506,0.3660548,0.9935871,45.91332,,,,,,
72.000597,0.2275801,0.997754,45.89335,,,,,,
72.9992075,0.1892577,1.002554,46.06345,,,,,,
74.00028992,0.18627,0.9920353,46.09105,,,,,,
74.99890041,0.2164219,0.9938616,46.06345,,,,,,
75.99998379,0.1891716,0.9926807,46.14973,,,,,,
76.99859428,0.2121491,0.9913645,45.68082,,,,,,
77.99967766,0.271262,0.9982711,45.6639,,,,,,
78.99828959,0.2205954,0.9979386,45.68391,,,,,,
79.99937296,0.1168179,1.003593,46.37683,,,,,,
81.00045681,0.2168919,0.9945254,46.14973,,,,,,
