Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.003048897,100,15372286728.0913,4.1675,0.3125,1
0.882068634,100,15372286728.0913,4.1675,-1.25,1
1.936925888,100,15372286728.0913,4.1675,-0.9375,1
2.991610527,100,15372286728.0913,4.16875,0.625,1
3.870705128,100,15372286728.0913,4.166875,0.9375,1
4.925553799,100,15372286728.0913,4.1675,-1.25,1
5.980186462,100,15372286728.0913,4.1675,0.9375,1
6.859336376,100,15372286728.0913,4.1675,-0.625,1
7.913959026,100,15372286728.0913,4.1675,0.625,1
8.968794823,100,15372286728.0913,4.169375,0,1
9.847852230,100,15372286728.0913,4.1675,0,1
10.902525425,100,15372286728.0913,4.168125,-1.25,1
11.957322121,100,15372286728.0913,4.1675,0,1
12.836439609,100,15372286728.0913,4.168125,0,1
13.891113281,100,15372286728.0913,4.166875,0.3125,1
14.945895195,100,15372286728.0913,4.16625,0,1
16.000748634,100,15372286728.0913,4.1675,0.9375,1
16.879670143,100,15372286728.0913,4.168125,-0.3125,1
17.934482574,100,15372286728.0913,4.16875,0.9375,1
18.989323139,100,15372286728.0913,4.1675,-1.25,1
19.868230343,100,15372286728.0913,4.16625,-0.3125,1
20.923004627,100,15372286728.0913,4.1675,-0.3125,1
21.977915287,100,15372286728.0913,4.16875,-0.625,1
22.856821537,100,15372286728.0913,4.16875,0.3125,1
23.911575794,100,15372286728.0913,4.1675,-0.9375,1
24.966480255,100,15372286728.0913,4.166875,0.9375,1
25.845366955,100,15372286728.0913,4.16875,-0.625,1
26.900200844,100,15372286728.0913,4.16625,-0.3125,1
27.955074310,100,15372286728.0913,4.1675,-0.625,1
28.833933830,100,15372286728.0913,4.168125,-1.5625,1
29.888718128,100,15372286728.0913,4.1675,0.9375,1
30.943604946,100,15372286728.0913,4.16875,1.25,1
31.998290539,100,15372286728.0913,4.16625,-1.875,1
32.877288818,100,15372286728.0913,4.1675,0.3125,1
33.932180405,100,15372286728.0913,4.16625,0.3125,1
34.986910820,100,15372286728.0913,4.1675,0.3125,1
35.865883827,100,15372286728.0913,4.1675,-0.625,1
36.920798302,100,15372286728.0913,4.168125,-1.25,1
37.975438595,100,15372286728.0913,4.166875,-0.3125,1
38.854416847,100,15372286728.0913,4.1675,-0.625,1
39.909367561,100,15372286728.0913,4.166875,-0.3125,1
40.963999748,100,15372286728.0913,4.16625,0.9375,1
41.843019009,100,15372286728.0913,4.1675,-1.5625,1
42.897886753,100,15372286728.0913,4.165,0,1
43.952565670,100,15372286728.0913,4.1675,-0.9375,1
44.831677914,100,15372286728.0913,4.168125,0.3125,1
45.886455536,100,15372286728.0913,4.1675,0.625,1
46.941148281,100,15372286728.0913,4.166875,0,1
47.995912075,100,15372286728.0913,4.166875,-1.5625,1
48.874914646,100,15372286728.0913,4.168125,0.3125,1
49.929716110,100,15372286728.0913,4.166875,-1.875,1
50.984489441,100,15372286728.0913,4.1675,0.3125,1
51.863502502,100,15372286728.0913,4.1675,0.3125,1
52.918264389,100,15372286728.0913,4.1675,-0.3125,1
53.973134041,100,15372286728.0913,4.1675,0.3125,1
54.852046490,100,15372286728.0913,4.16875,0.625,1
55.906839848,100,15372286728.0913,4.16625,0.625,1
56.961725235,100,15372286728.0913,4.16875,-0.3125,1
57.840625763,100,15372286728.0913,4.168125,1.25,1
58.895448208,100,15372286728.0913,4.168125,-0.625,1
59.950318813,100,15372286728.0913,4.1675,-0.3125,1
60.829196930,100,15372286728.0913,4.16625,-0.3125,1
61.884002686,100,15372286728.0913,4.16875,-0.3125,1
62.938848019,100,15372286728.0913,4.16875,1.875,1
63.993556023,100,15372286728.0913,4.1675,0.625,1
64.872578144,100,15372286728.0913,4.16625,-0.625,1
65.927462578,100,15372286728.0913,4.1675,0.9375,1
66.982163429,100,15372286728.0913,4.16875,-0.3125,1
67.861157417,100,15372286728.0913,4.166875,-0.3125,1
68.916011810,100,15372286728.0913,4.168125,-1.25,1
69.970735073,100,15372286728.0913,4.16875,-0.3125,1
70.849670887,100,15372286728.0913,4.16625,0,1
71.904563904,100,15372286728.0913,4.1675,-0.3125,1
72.959319592,100,15372286728.0913,4.1675,0.9375,1
73.838237762,100,15372286728.0913,4.16875,0.3125,1
74.893175602,100,15372286728.0913,4.1675,1.875,1
75.947858810,100,15372286728.0913,4.165625,0,1
77.002645016,100,15372286728.0913,4.16625,-0.9375,1
77.881753921,100,15372286728.0913,4.166875,0.3125,1
78.936443329,100,15372286728.0913,4.166875,-0.625,1
79.991178036,100,15372286728.0913,4.16625,-1.25,1
80.870336533,100,15372286728.0913,4.1675,-1.25,1
81.924952030,100,15372286728.0913,4.1675,0.3125,1
82.979791164,100,15372286728.0913,4.168125,0,1
83.858756542,100,15372286728.0913,4.168125,0.625,1
84.913562298,100,15372286728.0913,4.1675,-0.625,1
85.968358994,100,15372286728.0913,4.1675,0,1
86.847300529,100,15372286728.0913,4.16875,-1.25,1
87.902100563,100,15372286728.0913,4.168125,0.625,1
88.957011700,100,15372286728.0913,4.1675,0.625,1
89.835918426,100,15372286728.0913,4.166875,0.9375,1
90.890660286,100,15372286728.0913,4.166875,0.3125,1
91.945569038,100,15372286728.0913,4.168125,0.625,1
93.000236034,100,15372286728.0913,4.1675,0,1
93.879241943,100,15372286728.0913,4.1675,1.5625,1
94.934126854,100,15372286728.0913,4.1675,0.9375,1
95.988803387,100,15372286728.0913,4.16875,-0.3125,1
96.867819309,100,15372286728.0913,4.166875,0.625,1
97.922699928,100,15372286728.0913,4.168125,0,1
98.977394104,100,15372286728.0913,4.166875,-0.625,1
99.856359005,100,15372286728.0913,4.16875,0.625,1
100.911254406,100,15372286728.0913,4.166875,-1.25,1
101.965970993,100,15372286728.0913,4.1675,0.625,1
102.844970226,100,15372286728.0913,4.1675,-1.25,1
103.899859905,100,15372286728.0913,4.169375,-0.9375,1
104.954504490,100,15372286728.0913,4.166875,0.3125,1
105.833529472,100,15372286728.0913,4.1675,1.25,1
106.888431072,100,15372286728.0913,4.16875,-0.625,1
107.943070412,100,15372286728.0913,4.1675,-0.3125,1
108.997860432,100,15372286728.0913,4.166875,-1.25,1
109.876962185,100,15372286728.0913,4.168125,0.3125,1
110.931658268,100,15372286728.0913,4.16625,-0.3125,1
111.986461639,100,15372286728.0913,4.1675,0.9375,1
112.865532875,100,15372286728.0913,4.165625,-0.3125,1
113.920217991,100,15372286728.0913,4.1675,-0.625,1
114.975018024,100,15372286728.0913,4.166875,0.625,1
115.854041100,100,15372286728.0913,4.168125,0.625,1
116.908787250,100,15372286728.0913,4.1675,-0.625,1
117.963615894,100,15372286728.0913,4.1675,-0.3125,1
118.842556000,100,15372286728.0913,4.16875,0.9375,1
119.897346497,100,15372286728.0913,4.1675,-1.875,1
120.952279091,100,15372286728.0913,4.1675,-1.25,1
121.831121445,100,15372286728.0913,4.1675,0,1
122.885952949,100,15372286728.0913,4.168125,-0.3125,1
123.940807819,100,15372286728.0913,4.1675,-0.625,1
124.995508194,100,15372286728.0913,4.1675,-0.625,1
125.874511719,100,15372286728.0913,4.166875,0.625,1
126.929394722,100,15372286728.0913,4.168125,-0.3125,1
127.984087944,100,15372286728.0913,4.168125,-0.3125,1
128.863093853,100,15372286728.0913,4.168125,-0.3125,1
129.917950153,100,15372286728.0913,4.16875,-1.875,1
130.972623348,100,15372286728.0913,4.16875,-0.9375,1
131.851645470,100,15372286728.0913,4.16625,-0.3125,1
132.906536579,100,15372286728.0913,4.16625,0,1
133.961202145,100,15372286728.0913,4.166875,0.3125,1
134.840181828,100,15372286728.0913,4.1675,0.9375,1
135.895124435,100,15372286728.0913,4.1675,-0.3125,1
136.949769020,100,15372286728.0913,4.1675,0.625,1
137.828796864,100,15372286728.0913,4.166875,-1.5625,1
138.883670330,100,15372286728.0913,4.1675,0.3125,1
139.938382149,100,15372286728.0913,4.16875,-0.625,1
140.993141651,100,15372286728.0913,4.166875,-0.625,1
141.872244358,100,15372286728.0913,4.1675,0.3125,1
142.926910400,100,15372286728.0913,4.168125,-1.25,1
143.981683731,100,15372286728.0913,4.16875,-0.3125,1
144.860855579,100,15372286728.0913,4.166875,0,1
145.915507317,100,15372286728.0913,4.166875,0,1
146.970302582,100,15372286728.0913,4.1675,0.625,1
147.849289894,100,15372286728.0913,4.1675,0.3125,1
148.904030800,100,15372286728.0913,4.166875,-0.625,1
149.958963871,100,15372286728.0913,4.168125,-0.625,1
150.837830067,100,15372286728.0913,4.168125,-0.9375,1
151.892639160,100,15372286728.0913,4.1675,0.625,1
152.947516441,100,15372286728.0913,4.165625,0.625,1
154.002235889,100,15372286728.0913,4.166875,-0.625,1
154.881170273,100,15372286728.0913,4.1675,0.625,1
155.936119556,100,15372286728.0913,4.166875,0.3125,1
156.990751743,100,15372286728.0913,4.1675,0,1
157.869749069,100,15372286728.0913,4.165625,0,1
158.924662113,100,15372286728.0913,4.16625,0.625,1
