Time (s),X (g),Y (g),Z (g)
0.002471924,-0.002335151,-0.000619124,-0.01019485
1.001154423,0.0003801045,-0.001821205,-0.00544539
2.002309322,-0.003819593,0.001620844,0.000242855
3.000992298,0.03262335,0.02114709,-0.02121246
4.002147198,0.02635777,-0.001876112,-0.003345513
5.000830173,0.01776321,0.01212712,0.005802374
6.001985550,0.02541677,0.02072116,0.004006018
7.000669003,0.0127712,0.0122468,-0.001314632
8.001824856,0.008432356,0.006005521,-0.004545385
9.000508785,-0.008797476,0.0008125512,-0.00967834
10.001664639,-0.02225004,-0.004653555,0.006693226
11.000348568,-0.013158,-0.005957521,0.001160082
12.001504421,-0.01478819,-0.008025143,0.002939406
13.002660275,-0.01018942,-0.005649089,0.000167067
14.001344681,-0.0051822,-0.0003005117,-0.005918269
15.002500534,-0.002220025,0.0009800335,0.0002661278
16.001185417,0.00168347,0.004089048,0.00125079
17.002341747,0.0003029196,-0.002901941,-0.003548419
18.001026630,0.006750732,0.003965742,0.001279703
19.002183914,0.02058291,-0.000970849,0.0005125454
20.000868797,0.02097971,0.00595686,-0.0009250453
21.002025604,0.01573921,0.009916084,-0.002307073
22.000711441,0.006939068,0.007127815,-0.004053199
23.001868725,0.004848111,0.005196854,-0.007351889
24.000554085,-0.001987871,-0.003377058,0.001659768
25.001711845,-0.02651995,-0.01628219,-0.0001558251
26.000397682,-0.02142303,0.004370592,-0.01732893
27.001555920,-0.01071653,-0.01143312,-0.001295445
28.000242233,-0.01377501,-0.006059225,-0.003669422
29.001400471,-0.002255977,5.871253E-05,-0.004932695
30.000086784,-0.00997938,0.007024068,0.000209091
31.001245499,-0.0111034,0.0211597,-0.0008673718
32.002404213,-0.008958925,0.01602365,-0.0007594798
33.001090527,-0.01411634,0.02398637,0.001274964
34.002249241,-0.002647123,0.01078392,-0.005463985
35.000936508,-0.005553917,0.006178449,-0.001208472
36.002095699,-0.007368523,0.002495445,-0.002158124
37.000782967,-0.02648208,0.04968114,0.03542198
38.001942158,0.004027644,-0.006216947,0.01189802
39.000629425,0.009257624,0.005760379,-0.005878335
40.001789570,0.003661545,0.002433461,-0.006347953
41.000477314,-0.002764305,0.003556845,-0.003549763
42.001636505,0.02082518,0.004864684,0.01444788
43.000325203,0.00588469,-0.01398861,-0.02881984
44.001484871,0.004169197,0.002908709,-0.002579149
45.000173092,0.003232375,0.0002151163,0.006923927
46.001333714,0.0002713783,0.003481747,-0.004025429
47.000021935,-0.002706628,-5.957682E-05,-0.00162525
48.001182556,0.001430106,0.00267907,0.003565066
48.999871254,0.00432861,-0.01498196,0.004260834
50.001032352,0.003931012,0.003244316,-0.002130112
51.002193928,0.003810715,0.002081328,0.00262019
52.000882149,0.001685609,-0.002124378,-0.00350864
53.002043724,-0.001668624,-0.003611561,0.001718764
54.000733376,0.02077982,-0.0143216,-0.00791314
55.001894951,0.02358316,-0.02171007,-0.003838138
56.000584126,0.0251889,-0.001244852,-0.00150233
57.001745701,0.01049105,-0.0001501585,-0.001198948
58.000435829,0.007800926,-0.004970408,-0.005466535
59.001598358,-0.0006164015,0.001087333,-0.0030074
60.000288486,-0.01887947,-0.001493333,-0.005140891
61.001451015,-0.01146756,0.01022967,0.007286145
62.000140667,-0.0154183,0.009496496,0.004915003
63.001303196,-0.03566721,0.0170012,-0.009434543
63.999993801,-0.01598995,-0.006391979,-0.001283631
65.001157284,-0.01265853,-0.001048539,-0.00125303
65.999847889,-0.001130419,-0.002955969,-0.003498474
67.001010418,-0.006407228,-0.004519063,-0.002109046
67.999701500,-0.01755101,-0.02331235,-0.00635744
69.000864983,-0.003394437,-0.02762888,-0.003956548
70.002027988,0.004206811,-0.01117331,-0.005013431
71.000719547,0.001843055,-0.01305758,0.0006354937
72.001882553,0.002241756,-0.005951811,-0.0002354968
73.000574589,-0.0006116265,-0.006318579,0.00116922
74.001738071,-0.004592127,0.01700344,-0.00131407
75.000429630,0.004435802,0.01904169,-0.02116869
76.001593590,0.003222216,0.02248906,-0.002361063
77.000285625,-0.0002258485,0.01123679,-0.00593549
78.001449585,0.002457279,0.008723936,-0.004040309
79.000141621,-0.0007628669,0.0120144,-0.001264843
80.001305103,0.0007107747,-0.0003998924,-0.003970452
80.999997139,0.006547912,0.0003171853,-0.003509895
82.001162052,0.005468585,0.006016241,-0.0116237
82.999854565,-0.002556614,0.007501419,-0.001674237
84.001018524,0.004792642,-0.0427411,0.08243287
84.999711037,-0.0102835,-0.01303024,0.004894686
86.000875473,-0.003193478,-0.01231473,-0.003539199
86.999568939,0.0006049299,-0.01046336,-0.004499691
88.000733376,0.0008062035,-0.008927007,0.002135275
88.999425888,-0.000705294,-0.01080479,-0.008318235
90.000591278,-0.0009118543,-0.006530112,-0.002129706
91.001755714,-0.002166503,-0.002148483,-0.005450125
92.000449181,-0.0003314157,-0.00273782,0.002625558
93.001614094,0.02583309,-0.004612127,0.001483381
94.000307560,-0.008090212,-0.02068015,-0.005165924
95.001472950,0.009116289,-0.006662632,0.003544654
96.000165939,-0.001317093,-0.004255279,-0.002147408
97.001331329,0.003786972,-0.001047231,-0.003053114
98.000024319,-0.003618468,0.001042045,0.001183945
99.001190186,0.005392577,0.01173152,-0.009223928
99.999883652,0.002017138,0.02123062,0.0005638837
101.001049519,-0.003338713,0.02217758,-0.01089772
101.999743462,0.0004442051,0.01449541,-0.001734492
103.000909328,0.00109351,0.004456316,-0.002068251
103.999602795,-9.877636E-05,0.005331337,-0.006389657
105.000768661,0.001771374,0.006669682,0.004966713
105.999462605,-0.003784938,0.0001003594,0.006910081
107.000628948,-0.01401237,-0.0005529522,-0.008865522
107.999322891,-0.007325049,-0.02487174,-0.006250879
109.000488758,0.001148209,-0.02464975,0.006097517
109.999182701,0.002660001,-0.01690641,0.002952976
111.000349522,0.004726523,-0.007846964,-0.006397404
112.001515388,-0.004156108,0.01201295,-0.003146368
113.000209808,0.005988147,0.01385774,-0.01397468
114.001376629,-0.009943731,0.01398346,-0.002269754
115.000070572,-0.0004052815,0.01007368,-0.00548909
116.001236916,-0.004478435,-6.970292E-06,-0.0006661974
116.999931812,-0.002824225,0.002372913,-0.006391363
118.001098156,-0.03665569,0.03502741,0.007975117
118.999792576,0.01068255,-0.0007672454,-0.0005921231
120.000959873,0.005455111,0.006778107,-0.01400011
120.999654770,0.0004314414,0.003672479,-0.004967296
122.000822067,-0.00536548,0.003082172,0.0007108931
122.999516487,0.0001539441,0.001562179,0.0007321579
124.000683784,0.001417659,-0.0008441758,0.003598387
124.999379158,-0.003699527,0.004718701,-0.01865716
126.000545502,0.01778107,-0.02341738,-0.003653023
126.999240875,0.006173428,-0.0322699,-0.005017908
128.000408649,0.004023482,-0.01516285,0.0001256678
128.999104023,0.007481113,-0.007129148,0.002147363
130.000271320,0.007725341,-0.006997856,-0.002111493
130.998966217,0.00431672,-0.002092172,0.00359441
132.000134468,0.002010969,0.001492541,0.002172488
133.001302242,0.0002114803,0.001190921,0.005951033
133.999997616,0.0003342809,0.03666951,-0.003989872
135.001165390,0.004735182,-0.001564694,0.005617117
135.999861240,0.004138327,0.01800792,-0.0008080515
137.001029015,-0.001808895,0.01381942,0.0006284078
137.999725342,0.0006912224,0.004129985,0.00408502
139.000893593,0.001768533,0.001766142,-0.006346617
139.999589443,0.001815,0.002877873,0.00310881
141.000758171,0.005505577,-0.007710961,0.007518514
141.999454975,-0.008048838,-0.0257243,-0.001083326
143.000622749,-0.02040922,-0.0386375,-0.001767974
143.999319553,0.01107134,-0.01111736,-0.001228555
145.000487804,0.005770666,-0.007497151,0.003549426
145.999184608,0.003907409,-0.004272812,-0.004014931
147.000353813,0.0002127441,-0.0007898348,-0.004958822
147.999050140,-0.001137237,-0.0001566289,-0.004492095
149.000219822,-0.004136778,0.01776925,-0.005541658
149.998916149,-0.002471894,0.002819171,0.008044552
151.000085354,-0.007188424,0.01891567,-0.003750161
151.998782635,-0.003881756,0.01030373,0.003038074
152.999951839,-0.004257183,0.007311585,-0.00358856
154.001121044,-0.06347924,0.05185717,-0.005180668
154.999818325,0.003188551,0.009591076,-0.003571701
156.000987530,-0.0018975,0.007937434,-0.001687286
156.999685764,-0.0009371486,0.00777154,-0.003585368
158.000854969,-0.002807093,0.003290762,-0.004979808
158.999552727,-0.002273555,-0.00101003,0.0007432728
160.000722885,-0.005538793,0.01265302,0.0007306468
160.999420643,-0.002069227,-0.009919566,0.000664538
162.000590324,0.0006051519,-0.007261821,0.001660108
162.999288559,-0.005287674,-0.005488768,-0.000739154
164.000458241,-0.0001620022,-0.002103512,-0.0006960904
164.999156952,0.004238087,-0.004306994,-0.002426976
166.000326633,0.003115756,-0.001031788,0.001390836
166.999025345,0.003192528,0.003076169,-0.0001728554
168.000195980,0.003022809,0.002895516,0.0007548159
168.998894691,0.00746792,-0.01193029,-0.01908168
170.000065327,0.008569162,-0.03304774,-0.01075601
170.998763561,0.009867451,-0.01766922,0.00431543
171.999934196,0.01033719,-0.00765368,-0.001674294
172.998632908,0.0009808872,-0.0092543,0.002087296
173.999804020,0.005079187,-0.001285077,-0.004467464
174.998502731,0.003598154,-0.001387016,-0.00589691
175.999673843,0.002138225,-0.001521697,-0.002111764
177.000844479,-0.01496243,-0.02143325,-0.00748874
177.999543667,-0.002809373,0.0331973,0.002223731
179.000715256,0.004095996,0.01318243,-0.008131207
179.999414444,-0.005549288,0.02140444,-0.001425772
181.000585556,-0.003338684,0.01227428,-0.0007772775
181.999284744,-0.0008654716,0.006813206,0.002139217
183.000456810,-0.002014408,0.004320404,-0.00686884
183.999155998,0.0004537728,0.00124637,-0.0006736469
185.000328064,0.0135362,-0.01412655,0.002917745
185.999027252,0.001130177,-0.01079609,-0.01295201
187.000198841,0.001786787,-0.03892747,-0.002868044
187.998898983,0.009680662,-0.01820146,-0.001378437
189.000071049,0.004642203,-0.00792346,0.0006969966
189.998770714,0.003629515,-0.007788498,-0.0102162
190.999942780,-0.02271712,0.004059915,0.0001852912
191.998642445,-0.00042675,0.02943313,-0.01668333
192.999815464,0.001271326,0.02991478,0.002214323
193.998515129,-0.003230696,0.01587944,-0.00223904
194.999687672,-0.008864662,0.01227867,0.0001291873
195.998388290,0.01280933,-0.004175326,-0.011271
196.999560356,-0.01384185,-0.01429458,-0.001339739
197.998260975,0.01257429,-0.01812805,-0.004204286
198.999433517,0.007911975,-0.01709584,-0.005616785
200.000606060,0.003673715,-0.006328732,0.003553844
200.999306679,0.0009028382,0.0002585784,-0.001141988
202.000479698,0.002600143,-0.002444147,0.003104915
202.999180317,8.763649E-06,-0.002815482,-0.0007044317
204.000353813,0.00105052,-0.002012511,0.002625164
