Time (s),Roll (deg),Pitch (deg),Yaw (deg)
0.002471924,-0.7438684,-0.3446711,-36.49127
1.001154423,-0.7489213,-0.3461605,-36.49425
2.002309322,-0.7390413,-0.3477564,-36.48897
3.000992298,-0.6313583,-0.3200814,-35.99694
4.002147198,-0.6041799,0.5955648,-2.588427
5.000830173,-0.3481585,1.150843,31.80483
6.001985550,-0.3598864,1.064498,52.96755
7.000669003,-0.5152705,0.5272275,52.93484
8.001824856,-0.5842268,0.2024255,52.94844
9.000508785,-0.676051,-0.5555071,29.99789
10.001664639,0.06413332,-1.164061,-11.83577
11.000348568,0.2505471,-1.069498,-32.71713
12.001504421,-0.05253502,-0.8209967,-35.64469
13.000188351,-0.3192219,-0.6298907,-35.65072
14.001344681,-0.4925808,-0.5167113,-35.66668
15.000028610,-0.5961227,-0.4472432,-35.69113
16.001185417,-0.6504599,-0.3935448,-35.71151
17.002341747,-0.6923935,-0.370737,-35.72842
18.001026630,-0.5626342,0.09078106,-20.89569
19.002183914,-0.3683754,1.082456,21.18795
20.000868797,-0.2549864,1.204034,50.11065
21.002025604,-0.4766608,0.6836159,53.95389
22.000711441,-0.5733045,0.3156774,53.87431
23.001868725,-0.6333096,0.07000586,53.84808
24.000554085,-0.8877844,-0.2535771,47.47034
25.001711845,-0.1865821,-1.085239,5.755024
26.000397682,0.2396294,-1.138092,-20.21837
27.001555920,-0.03566695,-0.8821369,-24.76761
28.000242233,-0.3084293,-0.6655507,-24.79392
29.001400471,-0.488354,-0.5424278,-24.79994
30.000086784,-0.7474564,-0.5888365,-30.25634
31.001245499,-0.02160309,-1.235259,-72.58598
31.999931812,0.5101361,-1.229186,-105.042
33.001090527,0.2110288,-0.9633104,-112.7076
34.002249241,-0.1309437,-0.7381637,-112.7927
35.000936508,-0.3566042,-0.601088,-112.7999
36.002095699,-0.5080087,-0.5092424,-112.8285
37.000782967,-0.7602758,-0.4595721,-112.9585
38.001942158,-0.3087886,-0.9184914,-136.4626
39.000629425,-0.3375453,-0.8157216,-141.394
40.001789570,-0.4790699,-0.6455695,-141.4244
41.000477314,-0.5574421,-0.5427829,-141.446
42.001636505,-0.6997999,-0.6029392,-146.4615
43.000325203,-0.3192715,-0.8414198,-160.7226
44.001484871,-0.492094,-0.6478208,-160.2133
45.000173092,-0.5619559,-0.5415385,-160.2523
46.001333714,-0.6082824,-0.4800059,-160.2766
47.000021935,-0.627299,-0.4460818,-160.2936
48.001182556,-0.6458414,-0.4124157,-160.3256
48.999871254,-0.5124528,-0.5932357,-168.6431
50.001032352,-0.602705,-0.4866927,-167.9442
50.999721050,-0.6376144,-0.4367123,-167.9473
52.000882149,-0.6540793,-0.4061,-167.9718
53.002043724,-0.6649917,-0.3969281,-168.0169
54.000733376,-0.266787,-1.140509,155.1877
55.001894951,0.5547556,-1.225113,115.6099
56.000584126,0.3855939,-0.9606602,103.9363
57.001745701,-0.03552071,-0.6947592,104.4294
58.000435829,-0.2898158,-0.5306315,104.4088
59.001598358,-0.4456841,-0.4356923,104.3981
60.000288486,-0.4148523,-0.3475296,104.9631
61.001451015,-0.4316538,0.6745284,143.6007
62.000140667,-0.06981378,1.247094,-174.9774
63.001303196,-0.1820419,1.109596,-149.2728
63.999993801,-0.3827091,0.5259806,-149.1646
65.001157284,-0.4951479,0.1720997,-149.1597
65.999847889,-0.5731291,-0.05139278,-149.173
67.001010418,-0.4296145,0.4570125,-126.1393
67.999701500,-0.2209515,1.130954,-84.91055
69.000864983,-0.2823887,1.060683,-60.61206
69.999556065,-0.4939643,0.5146874,-60.50864
71.000719547,-0.592492,0.1668572,-60.50381
72.001882553,-0.6506333,-0.03402296,-60.52327
73.000574589,-0.6901136,-0.1560693,-60.52919
74.001738071,-0.6570224,-0.8846239,-86.08759
75.000429630,0.3513678,-1.294034,-130.3018
76.001593590,0.3678695,-1.107211,-147.3183
77.000285625,0.02827442,-0.8564736,-149.2087
78.001449585,-0.2652525,-0.6605035,-149.1906
79.000141621,-0.4266813,-0.547203,-149.2052
80.001305103,-0.5247374,-0.4729995,-149.2174
80.999997139,-0.553171,-0.663755,-158.2738
82.001162052,-0.3789877,-0.7507385,-167.949
82.999854565,-0.5004786,-0.6022395,-167.7502
84.001018524,-0.4241344,-0.4666024,-167.3635
84.999711037,-0.4263476,0.7477491,-123.0118
86.000875473,-0.4082181,1.033714,-93.34061
86.999568939,-0.5402352,0.5797945,-88.73078
88.000733376,-0.6042199,0.2038068,-88.80029
88.999425888,-0.6522471,-0.02743423,-88.81134
90.000591278,-0.6731446,-0.1628839,-88.82491
90.999283791,-0.693185,-0.2479911,-88.83504
92.000449181,-0.7108094,-0.2957983,-88.84232
92.999142170,-0.5468144,-0.1775873,-83.98171
94.000307560,-0.8251612,0.3949249,-60.34354
95.001472950,-0.8017724,0.1150583,-60.0466
96.000165939,-0.7727503,-0.05550453,-60.07984
97.001331329,-0.7579587,-0.1765848,-60.11711
98.000024319,-0.7549739,-0.2444717,-60.15655
99.001190186,-0.6576177,-0.8863238,-83.10574
99.999883652,0.2231584,-1.318946,-124.4731
101.001049519,0.4110126,-1.168655,-145.386
101.999743462,0.04012707,-0.8943217,-147.3357
103.000909328,-0.243605,-0.69589,-147.3861
103.999602795,-0.4171742,-0.5855324,-147.4073
105.000768661,-0.5231327,-0.5182262,-147.4388
105.999462605,-0.579083,-0.4687307,-147.4747
107.000628948,-0.4987612,-0.02499076,-133.0302
107.999322891,-0.4163533,0.940964,-92.00104
109.000488758,-0.4559245,0.970735,-69.15454
109.999182701,-0.5798653,0.4507563,-68.92533
111.000349522,-0.6341709,0.1284844,-68.95512
111.999043465,-0.6564772,-0.6301967,-91.20175
113.000209808,-0.06522415,-1.089226,-120.6738
114.001376629,-0.1445251,-0.9413315,-127.8136
115.000070572,-0.3631498,-0.7293934,-127.6511
116.001236916,-0.4970872,-0.6055329,-127.6754
116.999931812,-0.5779335,-0.5201824,-127.7077
118.001098156,-0.7751322,-0.4950821,-128.7133
118.999792576,-0.4223943,-0.8387436,-145.6604
120.000959873,-0.5054184,-0.6786688,-146.4102
120.999654770,-0.5730733,-0.5629796,-146.441
122.000822067,-0.6069021,-0.4943024,-146.4673
122.999516487,-0.6367027,-0.4526559,-146.4907
124.000683784,-0.6522664,-0.4343926,-146.508
124.999379158,-0.4840169,0.3371283,-120.8554
126.000545502,-0.2838718,1.240196,-75.7391
126.999240875,-0.4312719,0.9557167,-58.88321
128.000408649,-0.5401937,0.4429787,-59.17072
128.999104023,-0.6154086,0.1238119,-59.1956
130.000271320,-0.6579705,-0.07209159,-59.22598
130.998966217,-0.6911001,-0.1913526,-59.26093
132.000134468,-0.7134653,-0.2676449,-59.30194
132.998830318,-0.7251074,-0.3072124,-59.33131
133.999997616,-0.3626037,-1.189191,-98.1445
134.998693466,0.4949385,-1.291384,-135.9651
135.999861240,0.3570271,-1.052166,-148.2539
137.001029015,-0.05836607,-0.7849755,-148.0202
137.999725342,-0.3015667,-0.6346689,-148.0526
139.000893593,-0.4522945,-0.5337296,-148.073
139.999589443,-0.5384894,-0.4849802,-148.0963
141.000758171,-0.5016682,0.3977348,-116.8293
141.999454975,-0.2451865,1.168135,-75.32031
143.000622749,-0.3478215,1.112166,-49.85822
143.999319553,-0.4564378,0.5384391,-50.38161
145.000487804,-0.5757278,0.1769929,-50.39215
145.999184608,-0.6420869,-0.03229664,-50.4296
147.000353813,-0.692545,-0.1549759,-50.46284
147.999050140,-0.7112216,-0.2338462,-50.51077
149.000219822,-0.6267164,-0.851419,-72.77345
149.998916149,0.004670256,-1.186589,-101.9622
151.000085354,-0.07573893,-0.9843301,-108.8745
151.998782635,-0.3322326,-0.7417832,-108.8705
152.999951839,-0.4792447,-0.6044474,-108.9051
153.998649120,-0.6956648,-0.5410143,-109.3248
154.999818325,-0.4227196,-0.8366588,-125.8315
155.998515606,-0.4819535,-0.6967154,-127.1439
156.999685764,-0.5634225,-0.5814152,-127.1606
158.000854969,-0.6032181,-0.5087309,-127.1792
158.999552727,-0.634541,-0.4682749,-127.1947
160.000722885,-0.6116161,0.04488929,-110.668
160.999420643,-0.8044791,0.2386804,-97.59734
162.000590324,-0.7707385,-0.01571747,-97.93078
162.999288559,-0.753649,-0.1590018,-97.94722
164.000458241,-0.7434192,-0.2471688,-97.95573
164.999156952,-0.5364944,-0.9047963,-122.5653
166.000326633,-0.2540768,-0.9519308,-135.7572
166.999025345,-0.4294272,-0.7306665,-135.4883
168.000195980,-0.515163,-0.6045964,-135.5229
168.998894691,-0.4540743,0.4525912,-100.4398
170.000065327,-0.2777184,1.163616,-58.93019
170.998763561,-0.465588,0.8460597,-47.49317
171.999934196,-0.5714982,0.3650568,-47.52392
172.998632908,-0.6381962,0.08744321,-47.5531
173.999804020,-0.6816221,-0.08357065,-47.57436
174.998502731,-0.6977979,-0.1949331,-47.61212
175.999673843,-0.7123295,-0.247664,-47.63895
176.998372555,-0.8196663,-0.2820545,-47.8091
177.999543667,-0.117247,-1.279342,-96.61675
179.000715256,0.4765463,-1.243474,-128.0168
179.999414444,0.2697176,-0.9866882,-136.4153
181.000585556,-0.1177706,-0.7459625,-136.2228
181.999284744,-0.3331726,-0.6007169,-136.2276
183.000456810,-0.4751182,-0.5140573,-136.2516
183.999155998,-0.5618784,-0.4626158,-136.2608
185.000328064,-0.4403433,-0.4132612,-135.3299
185.999027252,-0.3225564,0.9269813,-86.13663
187.000198841,-0.246473,1.181977,-52.45502
187.998898983,-0.4375419,0.6710395,-47.6446
189.000071049,-0.5433698,0.2632312,-47.71084
189.998770714,-0.6171391,0.02270906,-47.73038
190.999942780,-0.920572,-0.249827,-53.57999
191.998642445,0.065671,-1.282881,-107.202
192.999815464,0.3959287,-1.165963,-131.337
193.998515129,0.1162393,-0.9165857,-136.5775
194.999687672,-0.1999922,-0.7126713,-136.6466
195.998388290,-0.1436593,-0.4492107,-130.627
196.999560356,-0.2797796,0.9231597,-76.89762
197.998260975,-0.3095543,0.9944961,-51.10998
198.999433517,-0.5124032,0.5079073,-48.94198
199.998134136,-0.6002744,0.1584461,-48.97652
200.999306679,-0.6506606,-0.03263313,-49.01686
201.998007774,-0.6719744,-0.1632103,-49.04795
202.999180317,-0.6850237,-0.2461184,-49.0745
204.000353813,-0.7032896,-0.2972985,-49.10749
204.999054909,-0.7113173,-0.3245725,-49.13375
