Time (s),Humidity (%)
0.002471924,32.90625
1.001154423,33.90723
2.002309322,33.43066
3.000992298,32.66406
4.002147198,34.29102
5.000830173,33.33887
6.001985550,32.3623
7.000669003,33.35059
8.001824856,32.23438
9.000508785,34.29297
10.001664639,32.95703
11.000348568,33.09668
12.001504421,32.49219
13.002660275,32.37598
14.001344681,32.8418
15.002500534,35.33008
16.001185417,33.31934
17.002341747,32.74902
18.001026630,33.45801
19.002183914,32.75
20.000868797,32.80762
21.002025604,32.56445
22.000711441,33.64551
23.001868725,33.30957
24.000554085,32.86719
25.001711845,33.00781
26.000397682,33.07715
27.001555920,33.40332
28.000242233,32.77539
29.001400471,32.99707
30.000086784,33.03223
31.001245499,32.81152
32.002404213,32.26563
33.001090527,32.60254
34.002249241,33.37109
35.000936508,33.54492
36.002095699,33.62695
37.000782967,32.53418
38.001942158,34.1748
39.000629425,34.61719
40.001789570,33.80273
41.000477314,32.37207
42.001636505,33.24512
43.000325203,33.25781
44.001484871,33.4209
45.000173092,32.99023
46.001333714,34.16504
47.000021935,33.31738
48.001182556,32.84082
48.999871254,34.1543
50.001032352,33.0625
51.002193928,33.75977
52.000882149,31.29395
53.002043724,34.05176
54.000733376,32.48145
55.001894951,32.45898
56.000584126,32.31934
57.001745701,33.19238
58.000435829,32.99414
59.001598358,32.12207
60.000288486,34.03027
61.001451015,33.68164
62.000140667,32.98438
63.001303196,34.22852
63.999993801,33.4502
65.001157284,33.53223
65.999847889,33.75293
67.001010418,31.92773
67.999701500,33.3584
69.000864983,33.41602
70.002027988,33.25391
71.000719547,32.76563
72.001882553,32.31152
73.000574589,32.25488
74.001738071,33.40625
75.000429630,32.85938
76.001593590,32.0918
77.000285625,33.15039
78.001449585,32.70898
79.000141621,32.86035
80.001305103,32.87207
80.999997139,32.48828
82.001162052,32.87305
82.999854565,34.02441
84.001018524,33.9082
84.999711037,32.71094
86.000875473,32.99023
86.999568939,31.94238
88.000733376,34.12988
89.001897812,32.9209
90.000591278,33.0957
91.001755714,32.72363
92.000449181,33.81738
93.001614094,33.71289
94.000307560,32.72363
95.001472950,33.10742
96.000165939,32.1543
97.001331329,32.36328
98.000024319,31.74707
99.001190186,32.56152
99.999883652,32.20117
101.001049519,33.30664
101.999743462,33.10938
103.000909328,32.55078
103.999602795,33.80664
105.000768661,31.03711
105.999462605,32.74805
107.000628948,33.62109
107.999322891,34.34277
109.000488758,32.91211
110.001654625,32.93555
111.000349522,31.84082
112.001515388,31.94629
113.000209808,32.42383
114.001376629,31.88867
115.000070572,31.00391
116.001236916,31.07422
116.999931812,31.64453
118.001098156,33.05273
118.999792576,30.7832
120.000959873,32.99512
120.999654770,32.21582
122.000822067,31.54004
122.999516487,33.19434
124.000683784,33.6123
124.999379158,32.76367
126.000545502,33.05469
126.999240875,34.42676
128.000408649,33.74121
128.999104023,32.64648
130.000271320,31.19238
131.001438618,33.70605
132.000134468,31.54199
133.001302242,32.75293
133.999997616,33.14844
135.001165390,33.4043
135.999861240,32.59082
137.001029015,31.63574
137.999725342,33.62598
139.000893593,33.33594
139.999589443,31.7998
141.000758171,32.90527
141.999454975,32.68457
143.000622749,34.16309
143.999319553,33.06934
145.000487804,31.27637
145.999184608,33.87207
147.000353813,33.59375
147.999050140,33.65137
149.000219822,33.29102
149.998916149,33.33789
151.000085354,33.4082
151.998782635,32.23242
152.999951839,31.90723
154.001121044,32.82715
154.999818325,33.05957
156.000987530,33.49023
156.999685764,31.30176
158.000854969,32.79199
158.999552727,33.32715
160.000722885,32.25684
160.999420643,33.2002
162.000590324,31.01172
162.999288559,32.22266
164.000458241,31.87402
164.999156952,33.14355
166.000326633,33.16602
166.999025345,32.41016
168.000195980,33.3877
168.998894691,33.29395
170.000065327,31.60742
170.998763561,31.21094
171.999934196,33.2832
172.998632908,31.52637
173.999804020,32.15527
174.998502731,30.89746
175.999673843,32.50391
177.000844479,30.9668
177.999543667,32.09668
179.000715256,32.60938
179.999414444,32.71387
181.000585556,32.49414
181.999284744,32.76172
183.000456810,32.33105
183.999155998,32.27344
185.000328064,30.68945
185.999027252,31.81934
187.000198841,32.59961
187.998898983,32.25
189.000071049,31.98242
189.998770714,33.99609
190.999942780,31.90137
191.998642445,32.08789
192.999815464,32.49512
193.998515129,33.06641
194.999687672,32.86816
195.998388290,31.14453
196.999560356,31.79785
197.998260975,32.19336
198.999433517,32.8457
200.000606060,30.84277
200.999306679,31.65918
202.000479698,31.35547
202.999180317,32.68359
204.000353813,32.125
204.999054909,32.64941
