Time (s),X (g),Y (g),Z (g)
0.002471924,-0.001580749,-0.001764929,-0.01027846
1.001154423,0.001363726,-0.001173852,-0.005506575
2.002309322,-0.004057837,-0.0009775935,0.0002567172
3.000992298,0.01392986,0.0367395,-0.02103162
4.002147198,0.02662866,-0.0006558672,-0.003096819
5.000830173,0.02149971,0.0009125266,0.006283462
6.001985550,0.0319414,-0.007881524,0.004582047
7.000669003,0.01757634,-0.002814125,-0.001186132
8.001824856,0.00994375,-0.00308184,-0.00457257
9.000508785,-0.007352966,0.005248359,-0.009611487
10.001664639,-0.02082019,-0.009171389,0.00717628
11.000348568,-0.00787622,-0.01219401,0.001369536
12.001504421,-0.007342584,-0.01523538,0.003051639
13.000188351,-0.005570183,-0.006261372,-0.0007010102
14.001344681,-0.004113737,-0.003234921,-0.005949378
15.002500534,-0.002387235,-0.0005052667,0.0002814531
16.001185417,-0.00101739,0.004314651,0.001315415
17.002341747,0.001929026,-0.002148878,-0.003611386
18.001026630,0.004922371,0.0061398,0.001356602
19.002183914,0.01895095,-0.00840465,0.0008226037
20.000868797,0.01814106,-0.01234308,-0.000602603
21.002025604,0.01739889,-0.006910265,-0.002171457
22.000711441,0.009923983,-0.00136993,-0.004039645
23.001868725,0.007103643,-0.000771814,-0.007402062
24.000554085,-0.003846776,-0.0008485783,0.001675248
25.001711845,-0.02820661,-0.01363371,0.000336647
26.000397682,-0.02210004,-0.003395712,-0.016994
27.001555920,-0.004992599,-0.01496659,-0.00123632
28.000242233,-0.01007135,-0.01133101,-0.00363785
29.001400471,-0.00213326,-0.0008566482,-0.004953563
30.000086784,-0.01223328,0.001041036,0.0003507137
31.001245499,-0.0236298,-0.004280616,-0.0003620982
31.999931812,-0.02052001,-0.0187365,-0.006654084
33.001090527,-0.01668848,-0.02232194,0.001648545
34.002249241,-0.009005148,-0.006619778,-0.005399883
35.000936508,-0.003563441,-0.007522366,-0.001225948
36.002095699,0.0005405359,-0.00775614,-0.002246559
37.000782967,-0.03519998,-0.04432362,0.0353629
38.001942158,0.001556102,0.00722424,0.01199436
39.000629425,-0.01091996,0.001309406,-0.005754709
40.001789570,-0.004455048,0.000433513,-0.006337523
41.000477314,-8.905679E-05,-0.004473014,-0.003616869
42.001636505,-0.0199025,0.007275882,0.01484764
43.000325203,-0.00136294,0.01530977,-0.02891368
44.001484871,-0.004937753,-0.001304196,-0.002551913
45.000173092,-0.003049464,0.0008216845,0.007008672
46.001333714,-0.001464718,-0.003143775,-0.004074156
47.000021935,0.002555866,-0.0008387063,-0.001665652
48.001182556,-0.002223091,-0.002081809,0.003582239
48.999871254,-0.001249176,0.0155032,0.004441857
50.001032352,-0.004540341,-0.002329768,-0.002130449
50.999721050,-0.004691874,0.0002052998,-0.003997386
52.000882149,-0.001231023,0.002468969,-0.003495812
53.002043724,0.002394228,0.003166689,0.001750648
54.000733376,-0.02503297,0.0043154,-0.007446706
55.001894951,-0.02990405,-0.01193543,-0.003105819
56.000584126,-0.007317903,-0.02421842,-0.001226246
57.001745701,-0.002781129,-0.01014767,-0.001179516
58.000435829,-0.006823141,-0.006307151,-0.005472243
59.001598358,0.001186484,0.0003510886,-0.003034353
60.000288486,0.003409152,0.01870877,-0.005061388
61.001451015,0.01522314,-0.001485944,0.007505596
62.000140667,0.01441671,-0.01081642,0.005252361
63.001303196,0.02216336,-0.0328251,-0.009172559
63.999993801,0.01702529,-0.002701272,-0.001153111
65.001157284,0.01141531,-0.00558101,-0.001275301
65.999847889,0.002483457,0.001994932,-0.003504694
67.001010418,0.007455193,-0.002497244,-0.002082348
67.999701500,0.02186585,-0.01959854,-0.006042898
69.000864983,0.02259126,-0.01658127,-0.003644764
69.999556065,0.01886845,-0.004148786,0.002602398
71.000719547,0.01233284,-0.004856079,0.0006257892
72.001882553,0.006316142,-0.0009792857,-0.0002520084
73.000574589,0.005229648,-0.003673233,0.00111866
74.001738071,-0.01735815,-0.003421438,-0.001092613
75.000429630,-0.01788909,-0.009072737,-0.02085584
76.001593590,-0.01490664,-0.01721101,-0.001977026
77.000285625,-0.005649621,-0.009776141,-0.005886614
78.001449585,-0.006628408,-0.006218827,-0.004019916
79.000141621,-0.005510192,-0.01070682,-0.001300275
80.001305103,-0.0004392378,0.0007439135,-0.003987253
80.999997139,-0.006242242,0.002162751,-0.00344044
82.001162052,-0.006757471,-0.004665961,-0.01164562
82.999854565,0.0008890927,-0.007858684,-0.001763821
84.001018524,0.005350314,0.04214715,0.08326578
84.999711037,0.01648893,-0.00156488,0.00513351
86.000875473,0.01258207,-0.00245439,-0.003352821
86.999568939,0.01055579,0.0004160106,-0.004419208
88.000733376,0.008965221,0.0005982695,0.002188325
88.999425888,0.01082081,-0.0008373717,-0.008390009
90.000591278,0.006526327,-0.00102382,-0.002175033
90.999283791,0.0001519066,-0.001266016,0.003100276
92.000449181,0.002753775,-0.0004204316,0.002624094
93.001614094,0.007356603,0.02527808,0.001710773
94.000307560,0.0140745,-0.01727523,-0.005352795
95.001472950,0.01036987,0.004544658,0.003653646
96.000165939,0.003044403,-0.003251208,-0.002209008
97.001331329,0.002799327,0.002816191,-0.003045559
98.000024319,-0.00271308,-0.002648962,0.001168847
99.001190186,-0.01118435,0.006890846,-0.009034991
99.999883652,-0.01865341,-0.01036523,0.001040637
101.001049519,-0.01007768,-0.02023737,-0.01062214
101.999743462,-0.008228006,-0.01197074,-0.001608789
103.000909328,-0.003349774,-0.003157359,-0.00205493
103.999602795,-0.002855775,-0.004501056,-0.006436944
105.000768661,-0.005039728,-0.004715965,0.005003691
105.999462605,0.003195955,-0.002190199,0.006909132
107.000628948,0.009972643,-0.009798592,-0.009015739
107.999322891,0.02529459,-0.006430174,-0.005922794
109.000488758,0.02344491,-0.007785955,0.006478012
109.999182701,0.0167853,-0.00364504,0.003069341
111.000349522,0.009076698,0.001671623,-0.006402254
111.999043465,-0.009866091,-0.0082472,0.003511608
113.000209808,-0.01526373,-0.001907543,-0.01378214
114.001376629,-0.004994047,-0.01644486,-0.002244353
115.000070572,-0.007808309,-0.006448776,-0.005467713
116.001236916,0.002739022,-0.003538864,-0.0007306337
116.999931812,-0.0002087783,-0.003625995,-0.006470025
118.001098156,-0.004341719,-0.05067666,0.007382452
118.999792576,-0.008400641,0.006666707,-0.0004232526
120.000959873,-0.008465534,-0.002507301,-0.01401788
120.999654770,-0.002440147,-0.002773912,-0.005005121
122.000822067,0.002777519,-0.005543246,0.0006329417
122.999516487,-0.0009854785,-0.001226377,0.0007314086
124.000683784,-0.0006892658,0.001446047,0.003644884
124.999379158,-0.002046717,-0.005446746,-0.018843
126.000545502,0.02726375,0.01152832,-0.00302738
126.999240875,0.03105589,-0.01141542,-0.004617155
128.000408649,0.01515822,-0.004339981,0.0002036095
128.999104023,0.01000093,0.002765426,0.002213538
130.000271320,0.01001353,0.003097059,-0.00210309
130.998966217,0.004037412,0.002610834,0.003637016
132.000134468,-0.0002477267,0.002476529,0.002219439
132.998830318,0.000580397,0.0002776925,0.003124535
