Time (s),Gyroscope (deg/s),Accelerometer (g),Magnetometer (uT)
0.000000000,0.2513353,0.9868066,16.88075
1.001154423,0.1569291,0.9877752,18.00374
2.002309322,0.1701806,0.9935089,16.88075
3.000992298,11.39328,0.9726861,17.26618
4.002147198,35.22962,0.990245,18.47117
5.000830173,30.59635,0.9993321,20.86756
6.001985550,4.730389,0.9978341,22.57413
7.000669003,0.2809154,0.992092,22.44529
8.001824856,0.3457094,0.988734,22.06484
9.000508785,43.39103,0.9835519,21.15011
10.001664639,36.32012,1.000257,17.94454
11.000348568,10.72556,0.99453,17.62737
12.001504421,0.3376678,0.9963591,17.52389
13.000188351,0.242733,0.9925635,17.30692
14.001344681,0.1157397,0.9873112,17.30692
15.000028610,0.1708612,0.9930381,16.95584
16.001185417,0.1858627,0.9945249,17.07341
16.999869823,0.2075823,0.9892109,17.30692
18.001026630,42.24337,0.9945753,16.81677
19.002183914,39.24562,0.9939885,20.07631
20.000868797,14.49655,0.9925671,22.11454
21.002025604,0.230053,0.9911095,21.67934
22.000711441,0.3757199,0.9892253,22.19771
23.001868725,0.1921047,0.9858794,22.07576
24.000554085,36.31665,0.9949346,21.53736
25.001711845,40.17286,0.9935931,19.09454
26.000397682,10.80324,0.9760579,18.14176
27.001555920,0.5239256,0.9920769,17.19436
28.000242233,0.3137452,0.9896771,17.34744
29.001400471,0.2003985,0.9882919,17.6518
30.000086784,35.81799,0.9935421,17.7141
31.001245499,41.88813,0.9926727,17.69755
31.999931812,20.2924,0.9863815,20.52342
33.001090527,0.4226358,0.9949307,20.47544
33.999777317,0.5646169,0.9973184,20.75967
35.000936508,0.1746352,0.9920741,20.49915
35.999623775,0.2815292,0.9911321,21.04937
37.000782967,9.743925,1.030464,20.79186
38.001942158,13.40749,1.005262,22.96568
39.000629425,0.8298413,0.9873977,22.15607
40.001789570,0.3126778,0.9868746,22.73578
41.000477314,0.3548281,0.9896919,22.15607
42.001636505,25.09089,1.008029,23.03112
43.000325203,3.300947,0.9643599,23.3085
44.001484871,0.2844192,0.9906723,23.60252
45.000173092,0.2274624,1.000232,23.97819
46.001333714,0.1746352,0.9892093,23.47866
47.000021935,0.1158276,0.9916233,23.47866
48.001182556,0.2200129,0.9968498,23.45297
48.999871254,2.852878,0.9976674,24.14974
50.001032352,0.1862171,0.9911242,24.05128
50.999721050,0.3180636,0.9892313,23.91259
52.000882149,0.2337849,0.9897268,23.75021
52.999571800,0.9141657,0.9916448,23.57958
54.000733376,49.68411,0.9856126,24.55777
54.999422550,21.67744,0.9869046,24.49167
56.000584126,2.64248,0.9920657,23.98999
57.001745701,0.07531112,0.9921042,23.81316
58.000435829,0.2941073,0.9877958,23.62759
59.001598358,0.1151464,0.9902289,23.90097
60.000288486,11.09491,0.988262,24.58684
61.001451015,41.94551,1.000709,24.87944
62.000140667,38.39722,0.9983687,24.29825
63.001303196,7.025732,0.9845513,23.67607
63.999993801,0.16162,0.9921131,23.29406
65.001157284,0.2673441,0.9920753,23.19616
65.999847889,0.3632125,0.9897386,22.74193
67.001010418,42.06558,0.9911633,21.61557
67.999701500,36.87885,0.9872899,18.53895
69.000864983,8.149334,0.9896679,17.33898
69.999556065,0.3674843,0.9959106,17.75843
71.000719547,0.2786184,0.993984,17.13156
71.999410629,0.1890668,0.9930175,17.03003
73.000574589,0.2994049,0.9944537,17.63448
73.999265671,49.87832,0.9921098,18.22843
75.000429630,23.57853,0.9721408,21.90582
76.001593590,9.617684,0.9911395,23.19616
77.000285625,0.1499806,0.9873438,23.39738
78.001449585,0.2457499,0.9892294,22.85632
79.000141621,0.239447,0.9920553,22.46809
80.001305103,0.1257993,0.9892588,22.6336
80.999997139,17.9177,0.9897436,23.68666
82.001162052,2.181882,0.9815867,23.97621
82.999854565,0.2440875,0.9916017,23.50893
84.001018524,9.601146,1.077108,23.75021
84.999711037,46.01529,0.9983221,21.57292
86.000875473,14.80972,0.9897749,19.00303
86.999568939,0.3387463,0.9887812,18.80754
88.000733376,0.1799783,0.995446,18.5839
88.999425888,0.2568741,0.984941,18.53895
90.000591278,0.2568741,0.9911337,17.95748
90.999283791,0.156241,0.9963725,18.77049
92.000449181,0.1448414,0.9959027,18.53895
92.999142170,27.2246,0.9895384,18.61635
94.000307560,7.210142,0.9883066,17.62274
94.999000549,0.481476,0.9959627,16.85131
96.000165939,0.1071073,0.9911041,17.32423
97.001331329,0.2439064,0.9901894,17.23853
98.000024319,0.2250786,0.9944552,16.85131
99.001190186,42.51785,0.9840543,18.47938
99.999883652,34.90682,0.9940535,21.27299
101.001049519,7.856557,0.9825409,23.10375
101.999743462,0.4329633,0.9916156,22.7103
103.000909328,0.2358231,0.9911839,22.65022
103.999602795,0.1584046,0.9868369,22.3709
105.000768661,0.1318466,0.9982797,23.57408
105.999462605,0.1318466,1.00022,23.19616
107.000628948,42.17718,0.9844299,22.06362
107.999322891,36.61453,0.9873053,19.46736
109.000488758,6.902817,0.9997025,17.55221
109.999182701,0.4316312,0.9963771,17.56858
111.000349522,0.1708084,0.9868582,17.94869
111.999043465,40.26014,0.9968352,18.45495
113.000209808,14.52964,0.9793034,21.02829
113.998904705,1.651786,0.987771,21.57292
115.000070572,0.1589821,0.9877813,22.1749
115.998764992,0.02940399,0.9959441,21.57292
116.999931812,0.3492798,0.9868279,21.90582
118.001098156,15.42937,1.002571,22.44691
118.999792576,9.533641,0.9927174,22.91554
120.000959873,0.4905517,0.9791992,22.93217
