Time (s),XX,XY,XZ,YX,YY,YZ,ZX,ZY,ZZ
0.002471924,0.7990407,0.5910946,0.002804786,-0.5910707,0.798942,0.01394979,0.006015609,-0.0128948,0.9931541
1.001154423,0.7990097,0.5911362,0.002836537,-0.5911121,0.7989097,0.01403557,0.006041604,-0.01298238,0.9931526
2.002309322,0.7990637,0.591063,0.00271124,-0.5910381,0.7989661,0.01391446,0.006069457,-0.01281111,0.9931544
3.000992298,0.8040984,0.5841699,0.001889111,-0.5841463,0.8040265,0.0121418,0.005586445,-0.01094457,0.9931798
4.002147198,0.9921913,0.04474516,0.01085467,-0.04485432,0.9921954,0.00999519,-0.01039438,-0.01047304,0.9931462
5.000830173,0.8443732,-0.5238324,0.01391573,0.5236321,0.8444659,0.01568942,-0.02008464,-0.006034261,0.9930345
6.001985550,0.5989063,-0.7940326,0.006258452,0.79384,0.5989065,0.01857094,-0.01857792,-0.00623771,0.9930626
7.000669003,0.5994375,-0.7936531,-0.001547376,0.7936013,0.5993733,0.01273021,-0.009201726,-0.008932013,0.9931732
8.001824856,0.5992712,-0.7937583,-0.005930132,0.7937726,0.5992153,0.008937853,-0.003532985,-0.01012767,0.9931976
9.000508785,0.8605518,-0.4966879,-0.01424632,0.4967976,0.8605897,0.005326685,0.009695275,-0.01171891,0.9931393
10.001664639,0.9720056,0.203716,-0.02011354,-0.203696,0.9722123,0.003064699,0.0203153,0.001111556,0.9930477
11.000348568,0.8359761,0.5370609,-0.01806306,-0.5370402,0.8361592,0.006400963,0.01866517,0.004342598,0.9930709
12.001504421,0.8075938,0.579204,-0.01113126,-0.5791336,0.8076696,0.009068254,0.0143286,-0.0009106304,0.9931521
13.000188351,0.8075675,0.5793195,-0.005729092,-0.5792436,0.8075688,0.01089281,0.01099345,-0.00553353,0.9931797
14.001344681,0.8074226,0.5795456,-0.002371506,-0.5794802,0.8073811,0.01219071,0.009018191,-0.008538719,0.9931782
15.000028610,0.8071842,0.5798837,-0.0003358899,-0.5798312,0.8071184,0.0129461,0.007805788,-0.01033363,0.9931715
16.001185417,0.8069839,0.5801625,0.0009790515,-0.5801227,0.806906,0.01316655,0.006868598,-0.01127559,0.9931679
17.002341747,0.8068156,0.5803965,0.001729857,-0.580363,0.8067285,0.01352536,0.006470535,-0.0120025,0.9931625
18.001026630,0.9281357,0.3543097,0.004948569,-0.3543407,0.9280978,0.008552854,-0.001584428,-0.009753422,0.9932065
19.002183914,0.926156,-0.3591782,0.01532144,0.3590082,0.9262604,0.01276324,-0.0188913,-0.006384805,0.9930559
20.000868797,0.637613,-0.763087,0.01013308,0.7628649,0.6376778,0.01893117,-0.0210128,-0.004419337,0.9930239
21.002025604,0.5852398,-0.8042403,0.0003790515,0.8041518,0.5851819,0.01450778,-0.01193107,-0.008262501,0.9931497
22.000711441,0.5863869,-0.8033853,-0.004751245,0.8033804,0.5863223,0.0103223,-0.005509582,-0.009938247,0.9931904
23.001868725,0.5867624,-0.8030824,-0.008123532,0.8031226,0.5867162,0.007485303,-0.001221832,-0.01097855,0.9931939
24.000554085,0.6721424,-0.7326265,-0.01431452,0.732753,0.6721188,0.007177619,0.00442574,-0.01538949,0.9931267
25.001711845,0.9880868,-0.09953894,-0.01916819,0.09958265,0.9882668,0.001325512,0.01893986,-0.003233917,0.9930701
26.000397682,0.9320621,0.3432589,-0.02007724,-0.3432715,0.9322683,0.002942667,0.01986215,0.004153276,0.9930491
27.001555920,0.902063,0.4162514,-0.0137303,-0.4161931,0.9021669,0.006991782,0.01539559,-0.0006182331,0.9931363
28.000242233,0.9019188,0.4167078,-0.008316509,-0.4166289,0.9019412,0.009713205,0.01161579,-0.00534641,0.9931732
29.001400471,0.9018956,0.4168101,-0.005059185,-0.4167332,0.9018702,0.0116487,0.00946701,-0.008465412,0.9931743
30.000086784,0.8583036,0.500775,-0.002375434,-0.5006752,0.8582094,0.01636597,0.01027695,-0.01295653,0.993118
31.001245499,0.2978916,0.9499833,-0.006161077,-0.9497587,0.2979544,0.0206619,0.02155766,-0.000374414,0.9930217
31.999931812,-0.2588176,0.9633303,-0.003048493,-0.9630963,-0.2586827,0.02300111,0.02145169,0.008841334,0.9929855
33.001090527,-0.3851734,0.9205897,0.003062367,-0.9204413,-0.3851681,0.01693073,0.01681215,0.003657776,0.9931071
33.999777317,-0.3865654,0.9199893,0.007037023,-0.919926,-0.3866234,0.01102264,0.0128811,-0.002257352,0.9931696
35.000936508,-0.3866899,0.9199128,0.009741367,-0.9199046,-0.3867638,0.007305732,0.01049077,-0.006181557,0.9931812
36.002095699,-0.3871557,0.9196976,0.01154987,-0.9197272,-0.3872284,0.004810692,0.00888784,-0.00880616,0.9931769
37.000782967,-0.3892477,0.9187678,0.01525681,-0.9188595,-0.3893243,0.002291669,0.00802096,-0.01317901,0.9931362
38.001942158,-0.7241578,0.6881142,0.01529096,-0.6880974,-0.7243001,0.007196885,0.01603001,-0.005352308,0.993112
39.000629425,-0.7807984,0.6234238,0.01476702,-0.6234362,-0.7809166,0.004341395,0.01423655,-0.00585091,0.9931364
40.001789570,-0.7811595,0.6229915,0.01398545,-0.6230466,-0.7812408,0.0005621889,0.01126707,-0.008304326,0.9931573
41.000477314,-0.7814097,0.622691,0.0134341,-0.6227639,-0.7814657,-0.001624765,0.009473206,-0.00966299,0.9931633
42.001636505,-0.8329988,0.5520389,0.01548092,-0.5521556,-0.8330545,-0.004268998,0.01052308,-0.01213046,0.9931262
43.000325203,-0.9436502,0.3299972,0.01568909,-0.3300434,-0.9437648,-0.0003588116,0.01468502,-0.005534125,0.9931321
44.001484871,-0.9407112,0.3383482,0.01353103,-0.3384298,-0.94077,-0.004184199,0.01130637,-0.00853008,0.9931549
45.000173092,-0.9409605,0.3377075,0.01219354,-0.3377954,-0.9409892,-0.005961535,0.009451488,-0.009741236,0.993163
46.001333714,-0.9411129,0.3373102,0.01145238,-0.3374006,-0.9411235,-0.007085925,0.008377586,-0.01054436,0.9931646
47.000021935,-0.9412177,0.3370336,0.01100463,-0.3371233,-0.9412192,-0.007599821,0.007785518,-0.01087404,0.9931659
48.001182556,-0.9414109,0.33651,0.01055589,-0.3365985,-0.9414034,-0.008106976,0.007197951,-0.01119551,0.9931667
48.999871254,-0.9803019,0.1968086,0.01190439,-0.1968963,-0.980334,-0.006662897,0.01035373,-0.008883067,0.993162
50.001032352,-0.9778363,0.2087504,0.01049468,-0.2088413,-0.9778367,-0.008436138,0.008494288,-0.01044767,0.9931644
50.999721050,-0.9778545,0.2087001,0.009768056,-0.2087895,-0.9778408,-0.00921117,0.007621994,-0.01105286,0.9931649
52.000882149,-0.977948,0.2082846,0.00930132,-0.2083717,-0.9779264,-0.009606173,0.007087722,-0.01133831,0.9931656
52.999571800,-0.9781071,0.2075448,0.009168172,-0.207632,-0.9780819,-0.009844312,0.006916494,-0.01153811,0.9931645
54.000733376,-0.9072236,-0.4195952,0.01610804,0.4194322,-0.9073553,-0.01257353,0.01990432,-0.004623964,0.9930459
55.001894951,-0.4313127,-0.899897,0.017867,0.8998204,-0.4315776,-0.01517705,0.02138063,0.009614639,0.9929797
56.000584126,-0.2401919,-0.9680256,0.01047733,0.9679371,-0.2403293,-0.0146966,0.0167659,0.006683494,0.993092
57.001745701,-0.2485356,-0.966,0.002386168,0.9659268,-0.2485464,-0.01190437,0.01212554,-0.0006157262,0.9931813
58.000435829,-0.2481962,-0.9660857,-0.002595051,0.9660448,-0.2481584,-0.01021145,0.009261135,-0.005023886,0.9932
59.001598358,-0.2480193,-0.9661176,-0.005623068,0.966104,-0.2479619,-0.009267914,0.007604193,-0.00772589,0.9931967
60.000288486,-0.2575458,-0.9636562,-0.005406926,0.9636523,-0.2575016,-0.007698908,0.006065498,-0.007191507,0.9932109
61.001451015,-0.8043146,-0.5929289,-0.01391386,0.5929753,-0.8044005,0.0009906301,-0.01177247,-0.007482372,0.9931577
62.000140667,-0.9959106,0.08757354,-0.02157371,-0.08752639,-0.9961443,-0.003117422,-0.02176417,-0.001209972,0.9930169
63.001303196,-0.8590399,0.5107586,-0.01501188,-0.5106121,-0.8591658,-0.01263319,-0.01936488,-0.003155198,0.9930623
63.999993801,-0.8581966,0.5123693,-0.004463458,-0.5123065,-0.8581825,-0.01040967,-0.009179964,-0.006634153,0.9931912
65.001157284,-0.8581846,0.5124053,0.001836916,-0.5123999,-0.8581435,-0.008906454,-0.003003701,-0.008583529,0.9932138
65.999847889,-0.8583077,0.5121697,0.005875549,-0.5122026,-0.8582702,-0.008061873,0.0008969731,-0.009935357,0.9932057
67.001010418,-0.5889136,0.8064777,0.001340239,-0.8064393,-0.5888678,-0.01082993,-0.007976289,-0.007447307,0.9931957
67.999701500,0.08836725,0.9923804,0.00563123,-0.9922001,0.08846011,-0.01930096,-0.01973758,-0.003829558,0.9930525
69.000864983,0.4881667,0.8668775,0.01338961,-0.8667832,0.4883247,-0.0136874,-0.01851136,-0.004894503,0.9930712
69.999556065,0.4897927,0.8659756,0.01188613,-0.8660105,0.4898616,-0.003568153,-0.00898287,-0.008562702,0.993178
71.000719547,0.4898836,0.8659436,0.01036609,-0.8660007,0.4898856,0.002553019,-0.002912204,-0.01027097,0.9931985
71.999410629,0.4895951,0.8661176,0.009506837,-0.8661696,0.4895579,0.006087553,0.0005883132,-0.01127351,0.9931915
73.000574589,0.4895008,0.8661765,0.009050894,-0.8662195,0.4894387,0.008283662,0.00272392,-0.01196319,0.9931803
74.001738071,0.06797687,0.9940175,0.01025503,-0.9939505,0.06780478,0.01621384,0.01543899,-0.01138824,0.9930707
75.000429630,-0.6458761,0.761812,0.00990684,-0.7615416,-0.6459236,0.02118819,0.02258323,0.006089556,0.9929807
76.001593590,-0.8410746,0.539776,0.01279135,-0.5395817,-0.841148,0.01582478,0.01932328,0.006375982,0.9930475
77.000285625,-0.858532,0.5116743,0.01257574,-0.5116105,-0.8586243,0.008094778,0.01494773,0.000490098,0.993143
