Time (s),W,X,Y,Z
0.002471924,0.9484041,0.007076251,0.0008463754,0.3116196
1.001154423,0.9483956,0.007122015,0.0008448656,0.3116443
2.002309322,0.9484104,0.007044833,0.0008852226,0.3116006
3.000992298,0.9497433,0.006077001,0.0009732455,0.3075347
4.002147198,0.9980327,0.005127145,-0.005322734,0.02244402
5.000830173,0.9602888,0.005655506,-0.0088516,-0.2726952
6.001985550,0.8940945,0.00693681,-0.00694456,-0.443989
7.000669003,0.8942494,0.006055979,-0.002139881,-0.4437393
8.001824856,0.8942076,0.005330285,0.0006701874,-0.4438373
9.000508785,0.964498,0.004418255,0.006205714,-0.2575136
10.001664639,0.9929766,0.0004917394,0.0101787,0.1025734
11.000348568,0.9581168,0.000537086,0.009583443,0.2802636
12.001504421,0.9506787,0.002624148,0.006695181,0.304608
13.000188351,0.9506656,0.004319694,0.004397587,0.3046716
14.001344681,0.9506217,0.005451546,0.002995329,0.3048073
15.000028610,0.9505549,0.006122667,0.002141296,0.30501
16.001185417,0.9505002,0.006428757,0.001549065,0.3051775
16.999869823,0.950454,0.006716152,0.001245085,0.3053166
18.001026630,0.9818585,0.004661129,-0.001663426,0.180436
19.002183914,0.9813533,0.00487797,-0.008715705,-0.1829582
20.000868797,0.9048563,0.006451441,-0.008605202,-0.4216006
21.002025604,0.890269,0.006394212,-0.003456853,-0.451659
22.000711441,0.8905959,0.005687357,-0.0002128735,-0.4510367
23.001868725,0.8907044,0.005182375,0.001937147,-0.4508244
24.000554085,0.9143485,0.00617027,0.005123938,-0.4006622
25.001711845,0.9970166,0.001143268,0.009555522,-0.04992936
26.000397682,0.9828687,-0.0003079275,0.01015888,0.1746241
27.001555920,0.9752065,0.001950873,0.007466596,0.2134021
28.000242233,0.9751638,0.003860791,0.005109988,0.2136402
29.001400471,0.9751519,0.00515666,0.003724085,0.2136958
30.000086784,0.9638952,0.007605209,0.003281578,0.2597404
31.001245499,0.8055453,0.006528594,0.008602477,0.5895826
31.999931812,0.6087343,0.005815253,0.01006194,0.7911608
33.001090527,0.5544164,0.0059851,0.006200114,0.8301663
33.999777317,0.5537882,0.00599507,0.002638228,0.8306043
35.000936508,0.553731,0.006089279,0.0003383437,0.8306459
36.002095699,0.55352,0.006150118,-0.001202317,0.8307852
37.000782967,0.5525641,0.006999495,-0.003273762,0.831409
38.001942158,0.3712811,0.008449926,0.0004976392,0.9266641
39.000629425,0.3309706,0.007698799,-0.0004006908,0.9418209
40.001789570,0.3307195,0.006702444,-0.002054893,0.9419147
41.000477314,0.3305423,0.006079573,-0.002995757,0.9419785
42.001636505,0.2888846,0.00680329,-0.004290503,0.9555672
43.000325203,0.1676764,0.007716223,-0.001497039,0.9840989
44.001484871,0.1720597,0.006314498,-0.003232396,0.9833478
45.000173092,0.1717249,0.005502553,-0.003991925,0.9834084
46.001333714,0.1715171,0.005040945,-0.004481766,0.983445
47.000021935,0.1713719,0.004776489,-0.004696089,0.9834707
48.001182556,0.171097,0.004512838,-0.004906486,0.9835188
48.999871254,0.09908418,0.005601727,-0.003912471,0.9933596
50.001032352,0.1051619,0.004781981,-0.004755499,0.9927352
50.999721050,0.1051359,0.004379315,-0.005103067,0.9927381
52.000882149,0.1049237,0.004127138,-0.005274303,0.9927607
52.999571800,0.1045469,0.004050328,-0.005384372,0.9928002
54.000733376,-0.2151811,0.009235905,-0.004410554,0.9747923
54.999422550,-0.5327216,0.01164313,-0.001642238,0.8442138
56.000584126,-0.6163025,0.008672725,-0.002550925,0.7853134
57.001745701,-0.6129527,0.004604206,-0.003972317,0.7879592
58.000435829,-0.6131048,0.002115285,-0.004834486,0.7878468
59.001598358,-0.6131802,0.0006286997,-0.005392893,0.787787
60.000288486,-0.609284,0.0002081957,-0.004707338,0.7908087
61.001451015,-0.3127249,-0.006773528,-0.001711883,0.9480411
62.000140667,0.04389406,-0.01086394,-0.001084791,0.9972872
63.001303196,0.2653306,-0.008930358,-0.004101489,0.9623569
63.999993801,0.2662502,-0.003545085,-0.00442864,0.9621364
65.001157284,0.2662848,-0.0003031768,-0.004544587,0.9621327
65.999847889,0.2661636,0.001759711,-0.004676237,0.9621641
67.001010418,0.4533648,-0.001865286,-0.005137434,0.8894145
67.999701500,0.7376694,-0.005243338,-0.008597623,0.6725847
69.000864983,0.8625989,-0.002548373,-0.009245598,0.5024527
69.999556065,0.8630726,0.001446735,-0.006044973,0.5016919
71.000719547,0.8630921,0.003714548,-0.003846141,0.5016685
71.999410629,0.8630019,0.005029267,-0.002583576,0.5018202
73.000574589,0.8629693,0.005865462,-0.001832908,0.5018707
73.999265671,0.7314137,0.009392424,0.001778826,0.6793896
75.000429630,0.4206916,0.008972507,0.007533065,0.9052673
76.001593590,0.2817667,0.008383533,0.005795517,0.9576697
77.000285625,0.2658626,0.007150951,0.002230461,0.962231
78.001449585,0.2660032,0.0061786,-0.0006812119,0.9622013
79.000141621,0.2658755,0.005597188,-0.002296755,0.9622377
80.001305103,0.2657717,0.00519838,-0.003290684,0.9622657
80.999997139,0.1887256,0.006605488,-0.003619106,0.9802824
82.001162052,0.1051201,0.006872481,-0.002580991,0.9927354
82.999854565,0.1068466,0.005699266,-0.003756768,0.9925547
84.001018524,0.1102159,0.004460393,-0.003209598,0.9921946
84.999711037,0.4775156,-0.003969533,-0.006377147,0.8766699
86.000875473,0.686254,-0.004126061,-0.00878549,0.7249751
86.999568939,0.7148679,-0.0001789233,-0.006903232,0.6968097
88.000733376,0.7144411,0.002510048,-0.004939107,0.6972595
88.999425888,0.7143659,0.004219924,-0.003784188,0.6973357
90.000591278,0.714277,0.005176444,-0.003064283,0.6974238
90.999283791,0.7142104,0.005820422,-0.002654055,0.6974885
92.000449181,0.7141626,0.006221706,-0.00246238,0.6975346
92.999142170,0.7431057,0.004570638,-0.002014773,0.6666308
94.000307560,0.8637853,0.004468378,-0.006578594,0.500439
94.999000549,0.8650773,0.005526986,-0.00435586,0.4982164
96.000165939,0.8649266,0.006055277,-0.002929821,0.4984823
97.001331329,0.864761,0.006471856,-0.001950792,0.4987688
98.000024319,0.8645869,0.006745392,-0.001426119,0.4990689
99.001190186,0.7481282,0.009408299,0.002026421,0.660938
99.999883652,0.4662558,0.009289519,0.007097894,0.8826644
101.001049519,0.2979226,0.008685164,0.006454191,0.9527606
101.999743462,0.2815996,0.007401803,0.002539428,0.9577411
103.000909328,0.2811644,0.00643245,-0.0003160912,0.9578793
103.999602795,0.2809817,0.005930898,-0.00203488,0.957934
105.000768661,0.2807154,0.005624434,-0.003084815,0.9580111
105.999462605,0.2804141,0.005344689,-0.003674347,0.9580989
107.000628948,0.3989625,0.001930877,-0.003882299,0.9151163
107.999322891,0.6946862,-0.003391651,-0.008319709,0.7169087
109.000488758,0.8228498,-0.001541836,-0.009235463,0.5652064
109.999182701,0.8239888,0.001930988,-0.006094535,0.5635861
111.000349522,0.8238386,0.003909562,-0.004036596,0.5638141
111.999043465,0.6996328,0.007924033,-0.000204778,0.7120947
113.000209808,0.4952986,0.008547565,0.004232416,0.8667273
113.998904705,0.4402297,0.007931982,0.002516715,0.8959666
115.000070572,0.441532,0.007112837,-7.687532E-06,0.8953361
116.001236916,0.4413395,0.006655824,-0.001530959,0.8954331
116.999931812,0.4410868,0.006296258,-0.002492207,0.8955581
118.001098156,0.433185,0.006819379,-0.004185221,0.8993968
118.999792576,0.2955809,0.008088815,-0.001331803,0.9535158
120.000959873,0.2893204,0.006949648,-0.00248034,0.9554407
120.999654770,0.2890651,0.006151143,-0.003337315,0.9555209
122.000822067,0.2888476,0.005660725,-0.003793598,0.9555879
122.999516487,0.2886527,0.005386275,-0.004147719,0.9556469
124.000683784,0.2885077,0.005271867,-0.004324045,0.9556907
124.999379158,0.4939535,-0.0004816511,-0.005110067,0.8675316
126.000545502,0.7890497,-0.004692737,-0.01007846,0.6114774
126.999240875,0.8700762,-0.0008323644,-0.009116967,0.489399
128.000408649,0.8688616,0.002175123,-0.005679811,0.4915999
128.999104023,0.868752,0.004116659,-0.003574135,0.4918007
130.000271320,0.8686157,0.005281268,-0.002267362,0.492038
130.998966217,0.8684602,0.006044896,-0.001503902,0.4923066
132.000134468,0.8682798,0.006542319,-0.001021836,0.4926195
132.998830318,0.8681513,0.0068007,-0.0007726256,0.492843
133.999997616,0.6552003,0.00990868,0.004447906,0.7531416
134.998693466,0.375362,0.008844352,0.008225816,0.9249786
135.999861240,0.2739147,0.00799385,0.005504162,0.9599501
136.998557091,0.2758521,0.006740765,0.001418341,0.9594196
137.999725342,0.275571,0.006055061,-0.0009850322,0.9595055
139.000893593,0.2753964,0.005567817,-0.002487426,0.9595557
139.999589443,0.2751988,0.005363997,-0.003325421,0.9596112
141.000758171,0.5241723,-0.0006719703,-0.005532434,0.8496116
141.999454975,0.7912801,-0.004538093,-0.009391504,0.6086006
143.000622749,0.9058085,-0.00134617,-0.0100905,0.4195655
143.999319553,0.9039121,0.001590481,-0.005943726,0.4237132
145.000487804,0.9038733,0.00386905,-0.003522936,0.4238084
145.999184608,0.9037293,0.005166693,-0.00211281,0.4241106
147.000353813,0.9036006,0.006018473,-0.001329881,0.4243767
147.999050140,0.9034196,0.006457987,-0.0007774769,0.424757
149.000219822,0.8045704,0.008790979,0.002777663,0.5909392
149.998916149,0.6297634,0.00802221,0.006574924,0.7745438
151.000085354,0.5818856,0.007374709,0.004481109,0.8111487
151.998782635,0.5819102,0.006950004,0.001436012,0.8111461
152.999951839,0.5816638,0.006718525,-0.0003029469,0.811326
153.998649120,0.5786762,0.007354779,-0.00218012,0.8134511
154.999818325,0.4557112,0.008182365,7.338414E-05,0.8881937
155.998515606,0.445493,0.007317492,-0.001026695,0.8933694
156.999685764,0.4453637,0.006730922,-0.002110487,0.8934367
157.998383045,0.4452212,0.006318346,-0.002699374,0.8935091
158.999552727,0.4451,0.00612038,-0.003106179,0.8935695
160.000722885,0.5691242,0.002704981,-0.004586533,0.8201811
160.999420643,0.6588474,0.003042263,-0.006624538,0.7499965
162.000590324,0.6566523,0.004505229,-0.004950004,0.7519246
162.999288559,0.6565382,0.005350431,-0.004015158,0.7520244
164.000458241,0.6564782,0.00587232,-0.003441822,0.7520757
164.999156952,0.4808735,0.009174689,-0.0002717179,0.8748167
166.000326633,0.3769955,0.008537953,0.001100013,0.9243528
166.999025345,0.3791671,0.007324463,-0.00102293,0.9234747
168.000195980,0.3788889,0.006587148,-0.002132128,0.9235925
168.998894691,0.6400409,-0.0005086013,-0.005562006,0.7661228
170.000065327,0.8698614,-0.002889426,-0.01004604,0.4897547
170.998763561,0.9142709,0.0007323928,-0.008396374,0.4008307
171.999934196,0.9141746,0.003261654,-0.00491584,0.4010958
172.998632908,0.9140695,0.004766261,-0.002927538,0.4013394
173.999804020,0.9139898,0.005712151,-0.001711427,0.4015156
174.998502731,0.9138535,0.006231954,-0.0008787172,0.4018206
175.999673843,0.9137568,0.006532852,-0.0005090781,0.4020363
176.998372555,0.9131523,0.007506007,-0.0006203497,0.4033907
177.999543667,0.6652004,0.009016548,0.006693096,0.7443185
178.998243332,0.4390384,0.007940301,0.008504678,0.8965142
179.999414444,0.3717027,0.007132904,0.005384638,0.9264907
180.998113632,0.373247,0.006434456,0.001495181,0.9258891
181.999284744,0.3731983,0.00595174,-0.0007198463,0.925913
183.000456810,0.3730007,0.005709427,-0.002147309,0.925992
183.999155998,0.3729241,0.005573547,-0.003014504,0.9260211
185.000328064,0.3804603,0.004796908,-0.00215788,0.9229571
185.999027252,0.7304456,-0.003474202,-0.007837801,0.6804435
