Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-0.09053928,0.1141558,-0.2047939,0.005468328,-0.01660012,0.9866518,-1.31851,-10.21004,-13.3782,1007.199
1.001154423,0.03293334,0.05467752,-0.1433614,0.00740533,-0.01415623,0.987646,-1.675055,-10.94997,-14.1925,1007.19
2.002309322,0.09436005,0.1147476,-0.08300953,0.002011621,-0.01378871,0.9934111,-1.31851,-10.21004,-13.3782,1007.185
3.000992298,-2.379797,-0.4189806,11.13409,0.0195163,0.02579493,0.9721482,-1.691956,-10.21213,-13.81921,1007.194
4.002147198,-0.4012836,0.6472704,35.22139,0.01623428,-0.01112891,0.9900494,-9.520998,-7.006205,-14.19323,1007.195
5.000830173,-0.4012836,0.6472704,30.58687,0.001415068,-0.005121734,0.999318,-15.5961,0.5805941,-13.85207,1007.198
6.001985550,0.5879727,0.469562,4.670158,0.01336348,-0.01411923,0.9976447,-15.76944,7.533827,-14.28837,1007.189
7.000669003,0.1551731,-0.182036,-0.1473013,0.008374617,-0.01174614,0.9919871,-15.76031,7.164656,-14.28535,1007.189
8.001824856,-0.3394551,0.05490876,0.03564014,0.006410765,-0.01320951,0.988625,-15.02573,7.539165,-14.29145,1007.2
9.000508785,0.2170016,-0.8336338,-43.38248,0.002342309,-0.006470549,0.9835278,-15.92424,1.316713,-13.85684,1007.197
10.001664639,0.7734583,-0.4782168,-36.30874,-0.0005048933,-0.008059833,1.000224,-8.766792,-7.370539,-13.81395,1007.2
11.000348568,0.7734583,-0.1227998,-10.69693,0.01078895,-0.007851413,0.9944404,-2.798393,-10.5893,-13.81157,1007.196
12.001504421,-0.03031251,-0.06356359,-0.3302428,0.00698602,-0.01614601,0.9962038,-2.05468,-10.58397,-13.81465,1007.191
13.000188351,-0.2157981,0.05490876,0.09662064,0.005423263,-0.0117949,0.9924787,-2.063812,-10.2148,-13.81768,1007.206
14.001344681,0.09334454,-0.06356359,-0.02534036,0.004904454,-0.01177364,0.9872288,-2.063812,-10.2148,-13.81768,1007.209
15.000028610,0.09334454,0.1141449,-0.08632085,0.008893929,-0.01319475,0.9929106,-2.062223,-10.21538,-13.37512,1007.204
16.001185417,0.1551731,0.05490876,-0.08632085,0.005851208,-0.006960939,0.9944833,-1.67074,-10.95155,-12.99128,1007.195
16.999869823,-0.09169412,-0.1826493,0.03635665,0.005920881,-0.01321983,0.9891048,-2.063812,-10.2148,-13.81768,1007.203
18.001026630,-0.7161353,0.8828742,42.22807,0.003337943,-0.003613621,0.9945631,-5.433445,-9.193909,-12.99052,1007.197
19.002183914,0.149464,0.6459295,39.24002,5.965214E-05,-0.01478945,0.9938785,-14.41813,-1.934074,-13.83601,1007.197
20.000868797,0.5822636,0.2905125,14.48194,-0.002871748,-0.01676241,0.9924213,-16.10341,6.053973,-13.8954,1007.194
21.002025604,0.149464,0.1720402,-0.03141775,0.005467825,-0.01517277,0.9909782,-15.03191,7.907257,-13.47259,1007.206
22.000711441,-0.2215072,-0.3018492,-0.03141775,0.004414402,-0.01130818,0.9891508,-15.77563,7.901918,-13.46951,1007.207
23.001868725,-0.1596787,0.05356784,-0.09239825,0.005881811,-0.01175037,0.9857918,-15.39622,7.535997,-13.91058,1007.212
24.000554085,0.273121,-0.242613,-36.31482,0.0005789646,-0.01623807,0.9948019,-15.37637,6.797073,-13.46197,1007.205
25.001711845,-0.5306498,-1.012683,-40.15659,-0.009266751,-0.01686763,0.9934067,-12.50405,-4.135762,-13.82555,1007.213
26.000397682,-0.9016209,-0.1833769,-10.76399,-0.002237893,0.0007575643,0.9760551,-6.852716,-9.572227,-13.80349,1007.209
27.001555920,-0.2215072,-0.1241407,-0.4582812,0.01040299,-0.01558482,0.9919,-5.05382,-9.559912,-13.36836,1007.205
28.000242233,-0.2215072,-0.0649045,0.2125043,0.001544437,-0.01667742,0.9895354,-5.064541,-9.190158,-13.81394,1007.215
29.001400471,-0.09785013,0.1720402,-0.03141775,0.00733375,-0.00932206,0.9882207,-5.427265,-9.561998,-13.80938,1007.212
30.000086784,-2.63282,-1.071919,-35.70501,-0.001956329,-0.0119155,0.9934688,-4.294952,-10.23081,-13.80845,1007.2
31.001245499,-1.148935,-0.8349748,-41.86404,-0.002072137,-0.00465503,0.9926596,7.08437,-9.103569,-13.42163,1007.196
31.999931812,-0.1596787,-0.7757386,-20.27694,0.0009316821,-0.009895166,0.9863315,14.63236,-3.57179,-13.94084,1007.205
33.001090527,-0.2215072,0.2905125,0.2125043,0.0001236661,-0.01866416,0.9947557,15.69632,-1.34992,-13.07849,1007.211
33.999777317,-0.2833357,-0.4795577,-0.09239825,0.0020605,-0.01574448,0.997192,15.69473,-1.349338,-13.52105,1007.219
35.000936508,-0.09785013,0.112804,0.09054325,0.006927331,-0.01370392,0.9919553,14.94943,-1.354092,-13.96053,1007.22
35.999623775,0.2112925,-0.1833769,-0.03141775,0.01086826,-0.01412083,0.9909719,15.69314,-1.348755,-13.9636,1007.227
37.000782967,-7.393616,-0.6572663,-6.312409,-0.02717903,-0.05750263,1.028499,15.70386,-1.718509,-13.51802,1007.229
37.999470234,-0.1596787,-0.3610854,-13.75203,0.01019862,0.003662373,1.010432,17.79795,3.774133,-14.01468,1007.228
39.000629425,-0.09785013,0.05356784,0.8223092,0.003316585,-0.004541505,0.9873817,17.02219,5.182872,-13.20131,1007.228
40.001789570,0.2112925,0.1720402,-0.1533787,0.006812027,-0.007870813,0.9868197,17.0101,5.553126,-14.02622,1007.223
41.000477314,0.3349496,0.112804,-0.03141775,0.00938415,-0.014136,0.9895465,17.02219,5.182872,-13.20131,1007.229
42.001636505,1.509691,-0.7757386,-25.03342,-0.009379415,-0.004854578,1.007974,17.35615,6.662727,-13.59428,1007.232
43.000325203,-3.251105,-0.242613,0.5174068,0.01332208,0.00977564,0.9642184,15.80185,9.237339,-14.43119,1007.234
44.001484871,0.2112925,0.112804,-0.1533787,0.006368613,-0.009834277,0.990603,16.15833,9.916323,-14.05894,1007.233
45.000173092,-0.09785013,-0.1833769,-0.09239825,0.006402024,-0.008919552,1.000172,16.16299,9.60976,-14.87831,1007.218
46.001333714,-0.09785013,0.112804,0.09054325,0.006912868,-0.01368813,0.9890904,16.16594,9.608679,-14.05642,1007.219
47.000021935,0.02580692,-0.0649045,-0.09239825,0.01034138,-0.01171275,0.9915002,16.16594,9.608679,-14.05642,1007.227
48.001182556,-0.09767227,-0.1240043,-0.1532602,0.00497486,-0.01327732,0.996749,15.79272,9.60651,-14.43422,1007.213
48.999871254,1.016722,0.2908987,-2.649635,0.009104555,0.006620135,0.9976039,15.36759,11.75734,-14.45033,1007.21
50.001032352,0.1511223,0.05395406,0.0944871,0.003953947,-0.01277743,0.9910339,15.75771,11.02167,-14.44581,1007.213
50.999721050,0.2129509,-0.1829906,-0.1494349,0.00293012,-0.01084756,0.9891675,14.99574,11.75467,-14.44879,1007.221
52.000882149,0.02746526,0.1724264,0.1554676,0.0058567,-0.008869342,0.9896698,15.37809,11.38767,-14.06797,1007.227
52.999571800,0.707579,0.05395406,-0.5762984,0.007335825,-0.008373123,0.9915823,15.38722,11.0185,-14.06494,1007.214
54.000733376,0.8312361,-1.071533,-49.6656,-0.00512865,-0.0003085639,0.9855992,8.597738,17.18688,-15.28966,1007.215
54.999422550,-0.2198488,-0.1829906,-21.67555,0.01875287,-0.01590885,0.9865982,-2.431488,19.62976,-14.44308,1007.219
56.000584126,1.07855,0.05395406,2.411746,0.009447996,-0.01753492,0.9918658,-6.107506,17.81932,-14.85563,1007.227
