Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.002471924,31.846,30.45
1.001154423,31.87,30.45
2.002309322,31.86,30.45
3.000992298,31.856,30.452
4.002147198,31.882,30.454
5.000830173,31.842,30.454
6.001985550,31.87,30.454
7.000669003,31.852,30.454
8.001824856,31.882,30.456
9.000508785,31.894,30.458
10.001664639,31.888,30.458
11.000348568,31.924,30.46
12.001504421,31.868,30.46
13.002660275,31.93,30.462
14.001344681,31.892,30.462
15.002500534,31.92,30.462
16.001185417,31.898,30.464
17.002341747,31.932,30.464
18.001026630,31.912,30.464
19.002183914,31.888,30.466
20.000868797,31.86,30.466
21.002025604,31.898,30.468
22.000711441,31.91,30.468
23.001868725,31.932,30.468
24.000554085,31.912,30.47
25.001711845,31.924,30.47
26.000397682,31.98,30.47
27.001555920,31.924,30.472
28.000242233,31.986,30.474
29.001400471,31.936,30.474
30.000086784,31.988,30.474
31.001245499,32.004,30.476
32.002404213,32.008,30.476
33.001090527,31.95,30.478
34.002249241,32.002,30.478
35.000936508,31.984,30.478
36.002095699,32.03,30.48
37.000782967,31.992,30.48
38.001942158,32.002,30.482
39.000629425,32.028,30.484
40.001789570,31.974,30.484
41.000477314,32.028,30.486
42.001636505,32.008,30.486
43.000325203,32.06,30.488
44.001484871,32.048,30.488
45.000173092,32.026,30.488
46.001333714,32.052,30.49
47.000021935,32.096,30.49
48.001182556,32.072,30.492
48.999871254,32.038,30.492
50.001032352,32.094,30.492
51.002193928,32.06,30.494
52.000882149,32.068,30.494
53.002043724,32,30.496
54.000733376,32.028,30.496
55.001894951,32.098,30.496
56.000584126,32.1,30.498
57.001745701,32.122,30.498
58.000435829,32.132,30.5
59.001598358,32.112,30.5
60.000288486,32.104,30.5
61.001451015,32.096,30.502
62.000140667,32.102,30.504
63.001303196,32.128,30.504
63.999993801,32.126,30.504
65.001157284,32.144,30.506
65.999847889,32.114,30.506
67.001010418,32.174,30.508
67.999701500,32.124,30.508
69.000864983,32.148,30.508
70.002027988,32.174,30.508
71.000719547,32.132,30.51
72.001882553,32.164,30.51
73.000574589,32.16,30.51
74.001738071,32.128,30.51
75.000429630,32.128,30.512
76.001593590,32.144,30.512
77.000285625,32.212,30.514
78.001449585,32.158,30.514
79.000141621,32.192,30.514
80.001305103,32.146,30.516
80.999997139,32.2,30.516
82.001162052,32.166,30.516
82.999854565,32.208,30.518
84.001018524,32.206,30.518
84.999711037,32.178,30.518
86.000875473,32.192,30.52
86.999568939,32.166,30.52
88.000733376,32.24,30.52
89.001897812,32.224,30.52
90.000591278,32.188,30.522
91.001755714,32.186,30.522
92.000449181,32.198,30.522
93.001614094,32.228,30.522
94.000307560,32.192,30.524
95.001472950,32.184,30.524
96.000165939,32.216,30.524
