Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.908178329,100.0117,15372286728.0913,4.1675,-0.3125,1
1.962963581,100.0117,15372286728.0913,4.16875,-1.25,1
2.842050552,100.0117,15372286728.0913,4.165625,-1.25,1
3.896723270,100.0117,15372286728.0913,4.1675,-0.625,1
4.951557636,100.0117,15372286728.0913,4.166875,0,1
5.830653191,100.0117,15372286728.0913,4.1675,0.9375,1
6.885298729,100.0117,15372286728.0913,4.16625,1.25,1
7.940132141,100.0117,15372286728.0913,4.166875,1.5625,1
8.995022774,100.0117,15372286728.0913,4.166875,0.625,1
9.873876572,100.0117,15372286728.0913,4.1675,-1.25,1
10.928695202,100.0117,15372286728.0913,4.166875,0.3125,1
11.983577251,100.0117,15372286728.0913,4.166875,0.625,1
12.862437248,100.0117,15372286728.0913,4.16625,0.9375,1
13.917261124,100.0117,15372286728.0913,4.16625,-0.3125,1
14.972135544,100.0117,15372286728.0913,4.16875,0,1
15.851000309,100.0117,15372286728.0913,4.16625,-0.625,1
16.905828953,100.0117,15372286728.0913,4.165625,-0.3125,1
17.960712433,100.0117,15372286728.0913,4.16625,-0.9375,1
18.839620113,100.0117,15372286728.0913,4.1675,0.3125,1
19.894382000,100.0117,15372286728.0913,4.1675,0,1
20.949297428,100.0117,15372286728.0913,4.1675,-0.3125,1
21.828149319,100.0117,15372286728.0913,4.1675,0.625,1
22.882974148,100.0117,15372286728.0913,4.1675,0.3125,1
23.937880039,100.0117,15372286728.0913,4.16625,0.3125,1
24.992555141,100.0117,15372286728.0913,4.1675,-0.625,1
25.871595383,100.0117,15372286728.0913,4.1675,0.625,1
26.926393986,100.0117,15372286728.0913,4.166875,-0.3125,1
27.981081963,100.0117,15372286728.0913,4.166875,-0.3125,1
28.860223770,100.0117,15372286728.0913,4.1675,-0.9375,1
29.914870262,100.0117,15372286728.0913,4.16625,-0.3125,1
30.969655037,100.0117,15372286728.0913,4.166875,0.3125,1
31.848789692,100.0117,15372286728.0913,4.1675,-0.3125,1
32.903439522,100.0117,15372286728.0913,4.16875,1.25,1
33.958229542,100.0117,15372286728.0913,4.169375,-0.3125,1
34.837293625,100.0117,15372286728.0913,4.166875,-0.9375,1
35.892047405,100.0117,15372286728.0913,4.1675,-0.3125,1
36.946802616,100.0117,15372286728.0913,4.1675,-0.3125,1
38.001683235,100.0117,15372286728.0913,4.166875,0.9375,1
38.880598068,100.0117,15372286728.0913,4.1675,0.625,1
39.935382843,100.0117,15372286728.0913,4.1675,0.9375,1
40.990242004,100.0117,15372286728.0913,4.16625,-0.625,1
41.869119644,100.0117,15372286728.0913,4.1675,-0.3125,1
42.923933029,100.0117,15372286728.0913,4.1675,0,1
43.978809834,100.0117,15372286728.0913,4.16875,-0.3125,1
44.857685566,100.0117,15372286728.0913,4.166875,-1.25,1
45.912521839,100.0117,15372286728.0913,4.1675,0,1
46.967380524,100.0117,15372286728.0913,4.1675,0.625,1
47.846274376,100.0117,15372286728.0913,4.168125,0,1
48.901065826,100.0117,15372286728.0913,4.1675,0,1
49.955948353,100.0117,15372286728.0913,4.1675,-0.9375,1
50.834843636,100.0117,15372286728.0913,4.166875,-0.3125,1
51.889647961,100.0117,15372286728.0913,4.1675,-1.875,1
52.944512844,100.0117,15372286728.0913,4.1675,1.5625,1
53.999237537,100.0117,15372286728.0913,4.165625,0,1
54.878278732,100.0117,15372286728.0913,4.168125,-1.5625,1
55.933087349,100.0117,15372286728.0913,4.165625,0,1
56.987791538,100.0117,15372286728.0913,4.166875,0,1
57.866873264,100.0117,15372286728.0913,4.168125,0,1
58.921552658,100.0117,15372286728.0913,4.1675,-1.25,1
59.976359367,100.0117,15372286728.0913,4.166875,-1.875,1
60.855444431,100.0117,15372286728.0913,4.166875,0.625,1
61.910157204,100.0117,15372286728.0913,4.166875,0.9375,1
62.964907646,100.0117,15372286728.0913,4.166875,-0.3125,1
63.843978405,100.0117,15372286728.0913,4.168125,0,1
64.898698330,100.0117,15372286728.0913,4.1675,0,1
65.953511715,100.0117,15372286728.0913,4.165625,0,1
66.832557678,100.0117,15372286728.0913,4.16625,1.5625,1
67.887282371,100.0117,15372286728.0913,4.166875,1.5625,1
68.942058086,100.0117,15372286728.0913,4.165625,0.625,1
69.996950150,100.0117,15372286728.0913,4.16625,-0.3125,1
70.875811577,100.0117,15372286728.0913,4.1675,-0.625,1
71.930591583,100.0117,15372286728.0913,4.166875,0,1
72.985523224,100.0117,15372286728.0913,4.16625,-0.9375,1
73.864382744,100.0117,15372286728.0913,4.16625,0,1
74.919178009,100.0117,15372286728.0913,4.165625,0.9375,1
75.974107265,100.0117,15372286728.0913,4.166875,0.9375,1
76.852961063,100.0117,15372286728.0913,4.166875,-0.3125,1
77.907727718,100.0117,15372286728.0913,4.16625,1.5625,1
78.962671280,100.0117,15372286728.0913,4.16625,1.25,1
79.841509819,100.0117,15372286728.0913,4.166875,1.5625,1
80.896313190,100.0117,15372286728.0913,4.16625,-0.625,1
81.951198101,100.0117,15372286728.0913,4.16625,0.9375,1
82.830086231,100.0117,15372286728.0913,4.1675,0.625,1
83.885038853,100.0117,15372286728.0913,4.166875,-0.3125,1
84.939815998,100.0117,15372286728.0913,4.1675,0.625,1
85.994441509,100.0117,15372286728.0913,4.166875,-0.625,1
86.873546600,100.0117,15372286728.0913,4.1675,0,1
87.928245544,100.0117,15372286728.0913,4.16625,0.9375,1
88.983015537,100.0117,15372286728.0913,4.16625,1.5625,1
89.862136364,100.0117,15372286728.0913,4.1675,2.5,1
90.916812420,100.0117,15372286728.0913,4.1675,0.625,1
91.971582413,100.0117,15372286728.0913,4.166875,-0.3125,1
92.850701332,100.0117,15372286728.0913,4.166875,0.9375,1
93.905395031,100.0117,15372286728.0913,4.16625,0.3125,1
94.960141182,100.0117,15372286728.0913,4.166875,0.3125,1
95.839265823,100.0117,15372286728.0913,4.16625,0,1
96.893933773,100.0117,15372286728.0913,4.165625,0,1
97.948732376,100.0117,15372286728.0913,4.166875,-0.625,1
98.827831745,100.0117,15372286728.0913,4.166875,-0.3125,1
99.882493973,100.0117,15372286728.0913,4.1675,-1.5625,1
100.937337399,100.0117,15372286728.0913,4.16625,-0.3125,1
101.992189407,100.0117,15372286728.0913,4.1675,-0.625,1
102.871098042,100.0117,15372286728.0913,4.166875,0.3125,1
103.925862789,100.0117,15372286728.0913,4.168125,0.3125,1
104.980762005,100.0117,15372286728.0913,4.165625,-1.5625,1
105.859667778,100.0117,15372286728.0913,4.166875,-2.1875,1
106.914499283,100.0117,15372286728.0913,4.16625,-0.9375,1
107.969373703,100.0117,15372286728.0913,4.165625,-0.3125,1
108.848216534,100.0117,15372286728.0913,4.166875,-0.625,1
109.903126717,100.0117,15372286728.0913,4.1675,0.9375,1
110.957802296,100.0117,15372286728.0913,4.16625,0.625,1
111.836779118,100.0117,15372286728.0913,4.166875,1.5625,1
112.891695499,100.0117,15372286728.0913,4.166875,0,1
113.946369648,100.0117,15372286728.0913,4.166875,-0.625,1
115.001145840,100.0117,15372286728.0913,4.1675,-0.625,1
115.880285740,100.0117,15372286728.0913,4.16625,-0.3125,1
116.934920311,100.0117,15372286728.0913,4.166875,-0.625,1
117.989715099,100.0117,15372286728.0913,4.16625,-0.3125,1
