Time (s),XX,XY,XZ,YX,YY,YZ,ZX,ZY,ZZ
0.000000000,0.8010379,0.580058,0.09860995,-0.5808175,0.8061613,-0.02394261,-0.09403326,-0.03814334,0.9880761
0.998690128,0.7974839,0.5850284,0.09817173,-0.585719,0.8025951,-0.02482431,-0.09396303,-0.03774764,0.9880976
1.999851227,0.7985414,0.5833795,0.09934736,-0.5841653,0.8037415,-0.02419203,-0.09461682,-0.0387661,0.9879965
3.001012802,0.7994558,0.5822036,0.09885726,-0.5829731,0.804606,-0.02408245,-0.09421314,-0.03842665,0.9880478
3.999702930,0.8005179,0.5807086,0.09901821,-0.5815107,0.8056704,-0.02370617,-0.09419399,-0.03865333,0.9880409
5.000864983,0.8805562,0.4490764,0.10133,-0.4509576,0.8853793,-0.004964558,-0.0925989,-0.04144698,0.9880784
5.999554634,0.9676114,0.2082685,0.08414996,-0.2106949,0.9705065,0.02083172,-0.07787591,-0.03808567,0.9894777
7.000717163,0.9891793,-0.04289657,0.07916907,0.03980918,0.9916542,0.04004794,-0.08076563,-0.03672183,0.9892982
7.999407291,0.9541901,-0.2683576,0.0657715,0.2650926,0.9558231,0.0541982,-0.07789489,-0.03457921,0.9896051
9.000569820,0.8542793,-0.5043421,0.05779235,0.499968,0.8554761,0.0753567,-0.08793695,-0.03585637,0.9887207
9.999259949,0.709375,-0.6955386,0.03852841,0.6909767,0.7095271,0.08713688,-0.08837194,-0.0356044,0.9886912
11.000422478,0.516825,-0.8499313,0.01669041,0.8453812,0.5158985,0.09463289,-0.08939977,-0.03523683,0.9886121
11.999113083,0.2917117,-0.9519203,-0.006324429,0.9477182,0.2897731,0.0957232,-0.08956893,-0.03435601,0.9886277
13.000276089,0.2877129,-0.9531354,-0.008319005,0.9493647,0.2857626,0.09151249,-0.08510548,-0.03465255,0.9890103
13.998966694,0.3004146,-0.9491753,0.006789632,0.9456443,0.2998855,0.08401067,-0.08207666,-0.01916542,0.9896846
15.000130177,0.2869946,-0.9533159,-0.01194641,0.9502344,0.2849953,0.08464892,-0.07751361,-0.03605272,0.9895822
15.998821259,0.3007704,-0.9490163,-0.01149981,0.9464698,0.2990138,0.07761624,-0.07041916,-0.03460734,0.990162
16.999985218,0.1886594,-0.9776537,-0.02416221,0.9753851,0.1863138,0.07687549,-0.07081317,-0.03845969,0.9899923
17.998676300,-0.0565786,-0.9942762,-0.0430171,0.992366,-0.05962951,0.07288019,-0.07513645,-0.03894234,0.9896557
18.999840260,-0.2985855,-0.9500799,-0.05885472,0.9487152,-0.3020718,0.06312394,-0.07781509,-0.03732724,0.9895113
19.998532295,-0.5200517,-0.8491554,-0.07241759,0.8485353,-0.5238318,0.04874993,-0.0793543,-0.03638349,0.9894249
20.999696255,-0.7140874,-0.6938583,-0.08192311,0.6941441,-0.717896,0.02977858,-0.0794661,-0.03582315,0.9894364
21.998388767,-0.864355,-0.4943423,-0.08718568,0.4954963,-0.8680453,0.009528459,-0.08036844,-0.03511476,0.9893888
22.999553204,-0.9611102,-0.2617689,-0.08649763,0.2637785,-0.9643795,-0.01235704,-0.08016049,-0.03476827,0.9894177
24.000718117,-0.9966336,-0.01080613,-0.08112966,0.0135854,-0.9993386,-0.0336661,-0.08071079,-0.0346583,0.9893769
24.999410629,-0.9686342,0.2379656,-0.07006131,-0.2346697,-0.9705802,-0.05201747,-0.0804134,-0.03388348,0.9894279
26.000575066,-0.8788536,0.4730617,-0.05488138,-0.4694156,-0.8799348,-0.06748277,-0.08030127,-0.03343047,0.9894526
26.999268532,-0.7379046,0.6725964,-0.03664781,-0.6687933,-0.7380515,-0.07892278,-0.08027829,-0.03357475,0.9894491
28.000433445,-0.5527853,0.831349,-0.01646357,-0.8276263,-0.5520161,-0.08538991,-0.08029222,-0.03340129,0.9894543
28.999126911,-0.3695279,0.926928,0.001123387,-0.9234911,-0.3680658,-0.08619551,-0.0797563,-0.03270871,0.9895205
30.000292301,-0.3277836,0.9423315,0.005946897,-0.9393682,-0.3262506,-0.08126315,-0.07490932,-0.03205711,0.9899189
30.998985291,-0.3275967,0.9423789,0.008211266,-0.9396449,-0.3259663,-0.07916735,-0.07220021,-0.03349663,0.9900724
32.000150681,-0.3274552,0.9424129,0.009757711,-0.939896,-0.3257939,-0.07685611,-0.06951851,-0.03419431,0.9902399
32.998844624,-0.3274745,0.9423958,0.0107011,-0.9400066,-0.3257957,-0.07548089,-0.06791162,-0.03463944,0.9903352
34.000010490,-0.263844,0.9618215,0.01791089,-0.9594967,-0.2617897,-0.07650748,-0.06919137,-0.03723906,0.9901531
34.998704433,-0.04536645,0.9951588,0.03409314,-0.9930216,-0.04270622,-0.07501806,-0.07356193,-0.03713077,0.9898431
35.999870300,0.1967043,0.975016,0.05079289,-0.9733452,0.1998775,-0.0674943,-0.07638928,-0.03605658,0.9896691
36.998564243,0.4311413,0.8945235,0.06551791,-0.8935336,0.4346645,-0.05466748,-0.07786316,-0.03490641,0.9895959
37.999730587,0.6298063,0.7658531,0.07629053,-0.7656284,0.6334788,-0.03873273,-0.07851408,-0.03400011,0.9895757
38.998424530,0.7972617,0.5876356,0.08328306,-0.5882609,0.8008868,-0.01956657,-0.07874473,-0.03343928,0.9895766
39.999591351,0.914618,0.3786179,0.08491086,-0.3800518,0.9179462,0.0006609801,-0.07824352,-0.03298854,0.9896318
40.998285770,0.978924,0.1471219,0.08195271,-0.1492876,0.9817913,0.02081039,-0.07793798,-0.03278706,0.9896623
41.999452591,0.9854388,-0.1002042,0.07401951,0.09741679,0.987666,0.04025214,-0.07765146,-0.03270129,0.9896876
42.998147488,0.9315851,-0.3395077,0.06209961,0.3362142,0.9330592,0.05764705,-0.07798664,-0.03313048,0.9896472
43.999314308,0.8194934,-0.5604246,0.04563844,0.5568851,0.8200881,0.07112327,-0.07770273,-0.03322157,0.989666
45.000481606,0.6659167,-0.7379368,0.02771251,0.7343369,0.6656591,0.08007956,-0.07789689,-0.03335856,0.9896461
45.999176979,0.4667083,-0.8787709,0.007275436,0.8753401,0.4655725,0.08448357,-0.07791623,-0.03345843,0.9896416
47.000344753,0.328281,-0.9398108,-0.005292229,0.9367692,0.3267449,0.08217242,-0.07573488,-0.03231936,0.9898475
47.999040127,0.3369417,-0.9366957,-0.007372987,0.9340311,0.3353581,0.07819491,-0.07098676,-0.03361076,0.9901558
49.000207901,0.3384076,-0.9361468,-0.009073021,0.9337049,0.3367807,0.0758792,-0.06817778,-0.03452193,0.9903211
49.998903751,0.3383361,-0.9361634,-0.01003034,0.933834,0.3366853,0.07471444,-0.06675915,-0.03501529,0.9904006
51.000072479,0.3307617,-0.9388623,-0.0126163,0.9366653,0.3289866,0.07391094,-0.06541966,-0.03663694,0.9904312
51.998768330,0.1439704,-0.9852866,-0.02769677,0.9831964,0.1415567,0.07474706,-0.06986883,-0.03837422,0.9900624
52.999937057,-0.1065733,-0.9902352,-0.04528393,0.9885098,-0.1095738,0.06954538,-0.0739248,-0.03771363,0.9897942
53.998634338,-0.3442407,-0.9345689,-0.06046862,0.9334382,-0.3476277,0.05872088,-0.07595148,-0.03655089,0.9896846
54.999802589,-0.559713,-0.823689,-0.07271953,0.8233209,-0.5633013,0.0434609,-0.07677494,-0.03581322,0.9896481
55.998499870,-0.7432315,-0.6627623,-0.08136983,0.6632187,-0.7468539,0.02535531,-0.07756308,-0.03532576,0.9896043
56.999669075,-0.8833382,-0.4600753,-0.0851906,0.4613458,-0.8867733,0.005428222,-0.07801796,-0.03464251,0.9895929
57.998367310,-0.969238,-0.2309926,-0.08374086,0.2330141,-0.9722618,-0.01497454,-0.07793947,-0.03409117,0.989618
58.999536514,-0.9967827,0.01865061,-0.07781231,-0.01594879,-0.9992545,-0.03508601,-0.0784107,-0.03372753,0.9895934
59.998234272,-0.9629623,0.2607795,-0.06669258,-0.2575808,-0.9646906,-0.05278269,-0.07814096,-0.03358427,0.9896197
60.999404430,-0.8691441,0.4909216,-0.05198025,-0.4873908,-0.8700663,-0.06751624,-0.07846075,-0.03323103,0.9896066
61.998102188,-0.7215428,0.6901817,-0.03387058,-0.6865309,-0.7215821,-0.07820961,-0.07856999,-0.03302601,0.9896047
62.999272823,-0.5312753,0.8452164,-0.01394085,-0.8416902,-0.5304539,-0.08372207,-0.07837554,-0.0325731,0.9896346
63.997970581,-0.3671796,0.9278529,-0.0001660921,-0.9246076,-0.365922,-0.083218,-0.07753575,-0.03022367,0.9897749
64.999141216,-0.3782699,0.9234212,0.003465731,-0.9206385,-0.3768444,-0.07880548,-0.07171814,-0.03284544,0.990129
66.000311852,-0.3794691,0.9229259,0.005096279,-0.9203727,-0.3780071,-0.07635352,-0.06879137,-0.03351983,0.9903135
66.999010563,-0.3794994,0.9229057,0.006354317,-0.920487,-0.3779972,-0.07501221,-0.06707489,-0.03417846,0.9904085
68.000180721,-0.379279,0.9229904,0.007050466,-0.9206422,-0.377755,-0.0743122,-0.06617303,-0.0345419,0.990456
68.998879433,-0.2301873,0.970261,0.02038183,-0.9680003,-0.2280652,-0.07586399,-0.06926177,-0.03706171,0.9901549
70.000050545,0.009507793,0.9958346,0.03760951,-0.9938436,0.01223109,-0.07279004,-0.07332093,-0.03656373,0.9898821
70.998750210,0.2568836,0.9605381,0.05385482,-0.9590641,0.2600596,-0.06376963,-0.07569549,-0.03517241,0.9897541
71.999920845,0.480396,0.8687549,0.06708259,-0.8679703,0.4838368,-0.05021876,-0.07656925,-0.03404627,0.9897264
72.998620033,0.6798353,0.7214708,0.07729109,-0.721492,0.6833823,-0.03292329,-0.0770932,-0.03338404,0.9897081
73.999791622,0.8321962,0.5369486,0.08233017,-0.5377743,0.8356001,-0.01381885,-0.07675158,-0.0328392,0.9897529
74.998490810,0.9387254,0.314312,0.08322427,-0.315933,0.9418307,0.006622349,-0.0768415,-0.03264228,0.9897521
75.999662399,0.9870753,0.07770047,0.07901412,-0.08000027,0.9896925,0.02625442,-0.07668475,-0.03243416,0.9897715
76.998362064,0.9759041,-0.1715291,0.06972842,0.1686784,0.9778537,0.04483061,-0.07636662,-0.03224863,0.9898018
77.999534130,0.906506,-0.4027371,0.05648663,0.3994982,0.9076747,0.06050542,-0.07608635,-0.03259619,0.9898119
78.998234272,0.7790067,-0.616106,0.03953209,0.6126726,0.7793165,0.07277896,-0.07603731,-0.03283123,0.9898078
79.999405861,0.6110849,-0.7843994,0.02064445,0.7810164,0.6105391,0.07995281,-0.07564391,-0.03311562,0.9898283
80.998106480,0.4250041,-0.8998635,0.002498962,0.8966815,0.4237188,0.08259723,-0.07564862,-0.03325407,0.9898238
