Time (s),W,X,Y,Z
0.000000000,-0.9489494,-0.003741171,0.05075171,-0.3058318
0.998690128,-0.9480139,-0.003408001,0.0506677,-0.3087369
1.999851227,-0.9482911,-0.003842192,0.05113519,-0.3078023
2.998540878,-0.9485359,-0.003783131,0.05089002,-0.3070882
3.999702930,-0.9488116,-0.00393839,0.050909,-0.3062302
5.000864983,-0.9696338,-0.009406236,0.05000054,-0.2320551
5.999554634,-0.9917586,-0.01485174,0.04084307,-0.1056112
7.000717163,-0.9971054,-0.01924816,0.04009975,0.02073646
7.999407291,-0.988226,-0.02245878,0.03634452,0.1349515
9.000569820,-0.9624475,-0.02888809,0.03785383,0.260874
9.999259949,-0.9238963,-0.03321295,0.03433836,0.3751815
11.000422478,-0.870069,-0.03731592,0.03048327,0.4871202
11.999113083,-0.8026296,-0.04051658,0.02592868,0.5916921
13.000276089,-0.801441,-0.03935569,0.02395263,0.5934623
13.998966694,-0.8057186,-0.03201368,0.02757361,0.5879285
15.000130177,-0.8012984,-0.03765814,0.02045655,0.5938956
15.998821259,-0.8057125,-0.03482122,0.01828175,0.5881397
16.999985218,-0.7700179,-0.03744562,0.01514606,0.6340888
17.998676300,-0.6856005,-0.0407754,0.01171213,0.7244169
18.999840260,-0.5906773,-0.04251525,0.008024841,0.8036516
19.998532295,-0.4879257,-0.04362008,0.003554185,0.8698511
20.999696255,-0.3755653,-0.04366865,-0.00163554,0.923942
21.998388767,-0.2567748,-0.04346534,-0.006637362,0.9637225
22.999553204,-0.1329216,-0.04215122,-0.01191895,0.9884537
24.000718117,-0.006114257,-0.04056876,-0.01712697,0.997322
24.999410629,0.1193296,-0.03799141,-0.02168802,0.9901891
26.000575066,0.243623,-0.03494365,-0.02608528,0.9671474
26.999268532,0.3606376,-0.03143601,-0.03024538,0.9298737
28.000433445,0.4720692,-0.02753231,-0.03380259,0.8785658
28.999126911,0.5609526,-0.02383749,-0.03604569,0.8246772
30.000292301,0.5793595,-0.02123295,-0.03489035,0.8119742
30.998985291,0.5794941,-0.01970284,-0.03469038,0.8119254
32.000150681,0.5795979,-0.01840146,-0.03419449,0.8119028
32.998844624,0.579614,-0.0176158,-0.03390736,0.8119206
34.000010490,0.6064783,-0.01618707,-0.03590494,0.7919978
34.998704433,0.6907451,-0.01371247,-0.03896339,0.7195782
35.999870300,0.7734655,-0.01016132,-0.0411079,0.6297505
36.998564243,0.8458939,-0.00584029,-0.04237561,0.5284519
37.999730587,0.9027189,-0.001310658,-0.04287176,0.4241302
38.998424530,0.9479544,0.003658592,-0.04273091,0.3101142
39.999591351,0.9783839,0.00859824,-0.04168976,0.1938579
40.998285770,0.9946258,0.01347176,-0.04018866,0.07450277
41.999452591,0.9961848,0.01830821,-0.03806296,-0.04959447
42.998147488,0.9824759,0.02309917,-0.03564623,-0.1719436
43.999314308,0.9534139,0.02736084,-0.03234198,-0.292976
45.000481606,0.9121358,0.03109135,-0.02894563,-0.4035237
45.999176979,0.8556674,0.03445907,-0.02489042,-0.5124979
47.000344753,0.8141896,0.03515514,-0.02162969,-0.576211
47.999040127,0.8168843,0.0342171,-0.01946842,-0.5725189
49.000207901,0.8173515,0.03376795,-0.01807813,-0.571924
49.998903751,0.8173381,0.03356314,-0.01735169,-0.5719779
51.000072479,0.8150036,0.03391024,-0.01619728,-0.5753127
51.998768330,0.7553698,0.03743904,-0.01395742,-0.6514965
52.999937057,0.6671566,0.04019259,-0.01073244,-0.7414845
53.998634338,0.5710869,0.04170634,-0.006777804,-0.817742
54.999802589,0.4672736,0.04241312,-0.002169724,-0.8811807
55.998499870,0.355761,0.04264174,0.002675073,-0.931792
56.999669075,0.2378161,0.04212365,0.007540121,-0.9686279
57.998367310,0.1171141,0.04080769,0.01238406,-0.9905015
58.999536514,-0.00867277,0.03915924,0.01724897,-0.9973572
59.998234272,-0.1310642,0.03662026,0.02183735,-0.9887528
60.999404430,-0.253545,0.03380584,0.02611024,-0.9646337
61.998102188,-0.3718952,0.03037388,0.03004839,-0.9254708
62.999272823,-0.4833865,0.02645345,0.03332462,-0.8724418
63.997970581,-0.5620093,0.0235736,0.03441654,-0.8240346
64.999141216,-0.5571712,0.02062204,0.03373464,-0.8274205
66.000311852,-0.5566825,0.01923614,0.03318213,-0.8278051
66.999010563,-0.5566992,0.01833744,0.03297526,-0.8278226
68.000180721,-0.5568138,0.01785619,0.03287611,-0.8277599
68.998879433,-0.620211,0.01564076,0.03613432,-0.7812911
70.000050545,-0.7103459,0.01274953,0.03904099,-0.7002497
70.998750210,-0.7926919,0.00901902,0.04085771,-0.6054062
71.999920845,-0.8603348,0.004699476,0.04174301,-0.5046656
72.998620033,-0.9164702,-0.0001256868,0.04211383,-0.3936197
73.999791622,-0.9571173,-0.004968135,0.04155232,-0.2807187
74.998490810,-0.9845117,-0.009970584,0.04064598,-0.16004
75.999662399,-0.9966549,-0.01472139,0.03905536,-0.03955751
76.998362064,-0.9937686,-0.01939064,0.03675278,0.08558518
77.999534130,-0.9760555,-0.02384639,0.03395631,0.2054789
78.998234272,-0.9427189,-0.02800681,0.03064789,0.3258603
79.999405861,-0.8969668,-0.03151411,0.02683721,0.4363082
80.998106480,-0.8433995,-0.03434058,0.02316446,0.5325308
81.999279022,-0.832548,-0.03347822,0.02079022,0.5494893
82.997979641,-0.8322272,-0.03295479,0.01901175,0.5500712
83.999152184,-0.8321393,-0.03257548,0.01793301,0.5502629
84.997853756,-0.8321368,-0.03238682,0.0173806,0.5502955
85.999026775,-0.8132334,-0.03450909,0.01584853,0.5777864
86.997727871,-0.7418081,-0.03778045,0.01361033,0.6668853
87.998901367,-0.6516452,-0.04020824,0.01017004,0.7551596
89.000075340,-0.5546846,-0.04147497,0.006003761,0.8289732
89.998776913,-0.4467441,-0.04215531,0.001398225,0.8917782
90.999950886,-0.3293605,-0.04228708,-0.003657867,0.9414604
91.998653412,-0.2063103,-0.04151025,-0.008767034,0.97584
92.999828339,-0.07976414,-0.04015147,-0.01373038,0.9942156
93.998530865,0.04550326,-0.03818456,-0.01845049,0.9963727
94.999705315,0.1691053,-0.0356173,-0.02288563,0.9829744
95.998407841,0.2900757,-0.03242793,-0.02707165,0.9543056
96.999583244,0.4054376,-0.02903903,-0.03067933,0.9112978
97.998286247,0.508503,-0.02502237,-0.03358994,0.8580781
98.999461174,0.5449872,-0.0227557,-0.03292064,0.8354729
99.998165131,0.5457147,-0.02052754,-0.03288789,0.835057
100.999340057,0.5453851,-0.01914765,-0.03261389,0.8353159
101.998043537,0.5453961,-0.01843083,-0.03251597,0.8353285
102.999219418,0.5584405,-0.01742822,-0.03361322,0.8266428
103.997923374,0.6430253,-0.01513155,-0.03707055,0.7625896
104.999099255,0.7334582,-0.01186941,-0.03949991,0.6759924
