Time (s),X (g),Y (g),Z (g)
0.002472401,0.005373112,-0.0001746301,-0.004740749
1.001250744,0.001309536,-0.001792507,0.004296719
2.002501011,0.00169916,-0.002748919,-0.001433211
3.001278877,-0.0001289429,0.003860824,-0.004443569
4.002529621,0.001396782,0.002329596,0.001219095
5.001307487,-0.005808658,0.005365519,-0.008695095
6.002558231,0.006297795,-0.007539792,0.003264392
7.001336575,-0.005020235,0.04113369,-0.004720825
8.002587318,0.02179271,-0.02020047,-0.002715993
9.001365662,0.01577637,-0.0004352668,-0.01343119
10.002616882,0.008617506,-0.01118239,-0.003885228
11.001395702,0.01575701,-0.02364849,0.01416992
12.002646446,0.002702327,-0.03953432,-0.004182092
13.001425743,0.003922401,-0.02416494,-0.003316302
14.002676010,0.02278065,-0.01920929,0.001474307
15.001454830,0.02125025,-0.006021348,-0.006429299
16.002706051,0.01338329,-0.000789257,0.002545805
17.001485348,0.01163918,-0.00808119,0.001119159
18.002736568,0.003319079,-0.005054914,0.001468313
19.001514912,0.003485818,-0.002235416,-0.006394082
20.000294209,0.0248443,-0.04190457,0.01071982
21.001546383,0.02321404,0.04988824,0.01771078
22.000325680,0.009931657,0.03820641,-0.004210428
23.001576900,-0.01766293,0.0288883,-0.008769266
24.000356674,-0.02529907,0.008024378,0.003571833
25.001608372,-0.01034574,0.0005290677,4.617864E-05
26.000387669,-0.005361554,0.012793,0.003393537
27.001640320,-0.03082233,0.03019874,0.08416542
28.000420094,-0.01080778,0.03714324,-0.002751114
29.001672268,0.0005934137,-0.004578062,-0.004641375
30.000452042,-0.004450654,-0.03250269,0.00501878
31.001704216,-0.02070024,-0.03199389,-0.005122712
32.000483990,-0.003604606,-0.02793645,-0.02198876
33.001736641,0.03392598,-0.004989646,0.005207854
34.000516415,0.01776136,-0.01018827,-1.957023E-05
35.001769066,0.004651923,-0.005911287,0.006109629
36.000548840,0.004382019,-0.01238714,-0.008905845
37.001801491,0.001299985,-0.009085158,-0.0003018345
38.000582218,0.00779671,-0.006954172,-0.00140213
39.001834869,0.006822193,0.004154539,-0.003937854
40.000615120,0.007435871,0.02705945,5.705981E-06
41.001867771,-0.002519932,0.03190587,-0.007600299
42.000648499,-0.0228369,0.0171287,-0.0059612
43.001901627,-0.02278183,0.007920137,0.0001783366
44.000682354,-0.01314278,0.0126134,0.0005997593
45.001935482,-0.0149288,0.01935466,0.001340922
46.000716209,-0.001731481,0.002064324,0.003275276
47.001969337,-0.001257468,-0.008611004,0.00888765
48.000750542,-0.003730914,0.05403113,-0.009540671
49.002003670,-0.02672039,-0.0393711,0.002882753
50.000785828,0.002270991,-0.03218887,0.0122298
51.002038479,0.01265553,-0.02763378,0.005247708
52.000819683,0.02322186,-0.0294563,0.006302071
53.002072811,0.0164245,-0.02276807,-0.003712092
54.000854015,0.004963757,-0.006797941,0.003226672
55.002107143,0.00526849,-0.00479916,0.004895264
56.000888824,0.001655017,-0.00273076,-0.0002861123
57.002141953,0.003009844,-0.003747885,-0.003688451
58.000923157,0.01630134,0.0172864,0.003527522
59.002177238,0.01274924,0.0295355,-0.004972325
60.000958443,-0.00841233,0.02613241,0.001742873
61.002212048,-0.02436005,0.02064295,0.001270794
62.000993252,-0.0148316,0.00527874,-0.02025693
62.999775410,-0.05518386,0.006267777,0.1109868
64.001029491,-0.01290942,0.03091419,-0.1503567
64.999810696,-0.01597339,0.005019942,-0.006568199
66.001064301,-0.005508934,0.01023993,-0.005944886
66.999846458,-0.02035435,0.007269279,0.006086782
68.001100063,-0.009945919,-0.0304346,-0.003124865
68.999882221,0.0013316,-0.03234035,-0.002083109
70.001136303,0.0190674,-0.03117704,0.00311133
70.999917984,0.01813681,-0.008629777,0.00488659
72.001172066,0.007708189,-0.0114689,-0.003330742
72.999953747,0.005297569,-0.007464148,-0.005948347
74.001207829,0.004482131,-0.00224044,-5.945936E-05
74.999989510,-0.002251636,-0.007555873,-0.0002502329
76.001244068,0.01822417,-0.01937585,0.008231371
77.000026226,0.01172588,0.02038997,-0.001678951
78.001280308,-0.001878839,0.03211377,-0.005928507
79.000062943,-0.01884483,0.03489215,-0.006952768
80.001317501,-0.02345647,0.01690226,0.009355451
81.000099182,-0.01771289,0.01158953,0.002242134
82.001353741,-0.01179552,0.009422686,0.001917941
83.000136375,-0.003149627,0.005098252,0.006162257
84.001390934,-0.001944559,0.004870589,-0.00149168
85.000173569,-0.00397969,0.02448104,-0.004990276
86.001428604,-0.01314909,-0.02723169,0.01249861
87.000211239,-0.009031625,-0.03323717,0.001561356
88.001465797,0.008547764,-0.02770372,0.005459547
89.000248432,0.02882824,-0.01416347,0.003817844
90.001502991,0.001357596,0.05736465,0.0298296
91.000285625,0.009666033,-0.006702091,-0.001453619
92.001541138,0.003648769,-0.0103048,0.0008257497
93.000323772,0.001882786,-0.0009274119,0.0001439978
94.001578808,-0.001235796,-0.004481768,-0.001496125
95.000361443,0.01481388,0.0207329,-0.0002443604
96.001616478,0.01148157,0.0344144,-0.006355398
97.000399113,-0.01108116,0.03299358,-0.002385654
98.001654625,-0.02138379,0.02005972,-0.002215757
99.000437737,-0.01703776,0.01269445,0.005692125
100.001692772,-0.007306108,0.01077072,0.0004674308
101.000476360,-0.004798873,0.007750588,-0.001519701
102.001731396,0.00255781,0.005268121,-0.005858139
103.000514507,-0.003798618,0.001660916,-0.00277754
103.999298573,-0.02264073,0.00352933,-0.0004401798
105.000554085,-0.009373749,-0.03015769,0.004019689
105.999337196,0.0006609733,-0.02778969,0.01179494
