Time (s),Humidity (%)
0.000000000,24.71289
1.001310825,24.08887
2.000148773,23.65234
3.001459122,25.92676
4.000297070,24.26465
5.001606941,23.35645
6.000444889,25.69043
7.001754761,24.22852
8.000592709,24.3584
9.001902580,24.08789
10.000740051,23.52148
10.999577999,25.57227
12.000887871,25.26563
12.999724865,22.41211
14.001034737,23.98047
14.999872208,25.43066
16.001182079,25.26563
17.000019550,26.72656
18.001328468,25.37109
19.000165939,25.67773
20.001475811,25.83105
21.000312328,26.51367
22.001622200,25.83008
23.000458717,23.21387
24.001768112,25.9248
25.000605583,23.44922
25.999442101,22.70605
27.000751019,24.14453
27.999588490,23.39063
29.000897884,22.56445
29.999734879,23.73242
31.001043320,26.10156
31.999880791,26.01855
33.001189232,25.73535
34.000025749,24.68652
35.001335144,23.41309
36.000171661,24.29785
37.001480579,24.93457
38.000317097,25.8291
39.001625538,26.55957
40.000462055,25.42871
40.999298096,26.28906
42.000606537,25.13379
42.999443054,24.02637
44.000751972,23.38965
44.999587536,23.625
46.000896454,25.20508
46.999732018,26.88965
48.001040936,24.27344
48.999876499,23.80176
50.001185417,26.52344
51.000020981,23.55371
52.001328945,23.18848
53.000164986,25.34473
54.001472950,23.10547
55.000308037,24.68457
55.999144077,24.84961
57.000452042,23.54102
57.999287128,27.26465
59.000595093,24.4375
59.999431133,26.3584
61.000738144,26.33398
61.999574184,25.08594
63.000881672,27.88867
63.999717236,26.38184
65.001024723,24.73145
65.999859810,23.97656
67.001167297,24.30664
68.000002384,26.66309
69.001309872,26.07422
70.000144958,23.75293
70.998979568,26.69824
72.000286579,23.2334
72.999121189,25.06055
74.000428677,26.38086
74.999263287,22.58496
76.000570297,25.16602
76.999404907,23.08008
78.000712395,23.78711
78.999547005,24.2002
80.000853539,25.38965
80.999688148,26.27344
82.000994682,26.63867
82.999829292,25.03613
84.001135826,23.73926
84.999970436,23.92773
85.998804092,26.07227
87.000110626,23.17383
87.998944759,24.98828
89.000251293,24.57617
89.999085903,26.7793
91.000391960,25.05957
91.999226570,25.3418
93.000532150,23.06738
93.999366283,25.24707
95.000672817,25.89551
95.999505997,23.87988
97.000812531,23.63281
97.999645710,27.14355
99.000951767,24.55176
99.999785900,26.81348
100.998619080,26.36621
101.999925137,25.44727
102.998758316,23.57324
104.000063896,26.71875
104.998897552,25.11719
106.000202656,24.96387
106.999035835,23.36035
108.000340939,24.7041
108.999174595,25.59961
110.000479698,26.27148
110.999312878,24.02051
112.000617981,23.7959
112.999450684,24.67969
114.000755310,24.92676
114.999588013,24.65625
115.998420238,24.86816
116.999725819,23.98438
117.998558521,23.48926
118.999862671,25.8584
119.998695374,23.40723
121.000000000,24.87988
121.998831749,25.65723
123.000136375,25.20996
123.998968601,26.52832
125.000273228,24.82031
125.999104977,25.58594
127.000408649,25.49121
127.999240875,24.08887
129.000544548,23.88867
129.999376774,24.03027
130.998208046,23.02832
131.999511719,26.63281
132.998342991,26.99805
133.999647141,23.01563
134.998478413,24.32422
135.999782085,25.97266
136.998613358,24.54785
137.999916553,25.16016
138.998747826,24.91309
140.000051022,26.37402
140.998881817,24.93652
142.000185013,25.77246
142.999015331,25.66699
144.000318527,25.34863
144.999149323,25.71289
146.000452518,25.07715
146.999282360,23.43945
147.998113155,25.94824
148.999416351,26.30176
149.998246193,23.29688
150.999548912,25.67676
151.998379230,26.26563
152.999681950,26.04199
153.998511791,25.21777
154.999814510,25.46484
155.998644352,25.04102
156.999947071,23.48535
157.998776913,24.07422
159.000078678,25.38184
159.998908997,24.72168
161.000210762,26.07617
