Time (s),Gyroscope (deg/s),Accelerometer (g),Magnetometer (uT)
0.000000000,0.4226481,0.9948936,27.71571
1.001310825,1.271823,1.015313,27.83684
2.000148773,0.9508122,0.997117,27.83624
3.001459122,13.2919,0.9960381,29.44609
4.000297070,52.07331,0.9949555,34.16768
4.999135017,50.50818,1.034393,43.19359
6.000444889,1.432887,0.9937654,44.11802
6.999282837,0.5674862,0.9970734,43.55905
8.000592709,0.2828887,0.9858148,43.98991
8.999430180,0.3048761,0.9892913,44.11802
10.000740051,91.89574,1.001663,47.76759
10.999577999,80.50548,0.9971427,45.96166
12.000887871,25.30591,0.9899845,38.46636
12.999724865,0.4442244,0.9873838,37.86891
14.001034737,0.0716013,0.9929113,36.88926
14.999872208,0.2052164,0.988598,37.68731
16.001182079,0.3068802,0.9950401,36.82958
17.000019550,76.41231,0.9800736,34.42722
18.001328468,98.33679,1.017776,31.63586
19.000165939,25.15644,1.009005,41.05526
19.999002934,0.3124822,0.9906704,43.89156
21.000312328,1.547398,0.9685928,43.04927
21.999149799,0.2438194,1.000419,43.04927
23.000458717,0.7748612,0.9890545,43.76547
23.999296188,10.2661,1.073792,43.30925
25.000605583,103.64,1.014433,49.90792
25.999442101,32.84579,0.9948277,43.08937
27.000751019,6.710931,0.9882713,37.62873
27.999588490,0.5046357,0.9972739,37.80962
29.000897884,0.3126703,0.9917381,37.85818
29.999734879,0.2163408,0.9849687,38.08988
31.001043320,0.2691498,0.9905396,37.83259
31.999880791,93.71323,0.9717497,31.31243
33.001189232,78.24373,1.000487,33.80913
34.000025749,24.86394,1.008543,41.36615
34.998862743,0.8342447,0.9978427,42.25809
36.000171661,0.2617622,0.9905393,42.56262
36.999008179,0.1328914,0.9922022,42.38751
38.000317097,0.2449606,0.9951341,42.47121
38.999152660,44.04805,0.9953654,42.939
40.000462055,102.2559,0.9950827,50.15092
40.999298096,29.54633,0.9924833,41.5687
42.000606537,5.124863,0.9967117,38.17959
42.999443054,0.358399,0.9906905,38.85744
44.000751972,0.2137914,0.9956241,38.52037
44.999587536,0.09671002,0.9882094,38.52037
46.000896454,0.119211,0.9928489,37.94765
46.999732018,94.2935,0.9858741,32.64915
48.001040936,81.79105,0.9823355,32.94259
48.999876499,24.90635,0.9948919,41.17798
49.998712540,0.3335383,0.9958528,42.15947
51.000020981,0.1650294,0.9903674,42.00767
51.998856544,0.3111846,0.9934117,42.72819
53.000164986,0.226293,0.9904798,41.70381
53.999000072,43.31358,0.9934192,42.77233
55.000308037,101.5095,1.012552,49.67584
55.999144077,28.64373,0.9871853,42.85357
57.000452042,3.306963,0.9914337,39.48419
57.999287128,0.3212554,0.9937396,39.71139
59.000595093,0.1128197,0.9901159,39.38172
59.999431133,0.143797,0.9930762,38.85784
61.000738144,0.1832783,0.9942929,38.89466
61.999574184,94.35387,1.005287,33.54834
63.000881672,77.93999,0.9700696,32.53764
63.999717236,25.29297,0.9949343,40.47448
64.998551846,0.439196,0.9877912,41.64214
65.999859810,0.1221353,0.9939612,42.04482
66.998695374,0.1500865,0.9919255,42.04482
68.000002384,0.2896845,0.9973172,41.73845
68.998836994,42.91739,1.014057,42.8275
70.000144958,101.5748,0.9663046,50.07738
70.998979568,28.27642,0.9874282,43.83794
72.000286579,1.24086,0.9854738,40.15696
72.999121189,0.4846094,0.995674,39.8767
74.000428677,0.2546305,0.9941161,39.83102
74.999263287,0.1916353,0.9910071,40.37932
76.000570297,0.2156202,0.9934224,39.83102
76.999404907,102.4489,0.9840686,30.61911
78.000712395,50.54219,0.9710661,35.02541
78.999547005,15.40041,0.9972381,40.95761
79.998381615,0.1878677,0.9932999,41.01611
80.999688148,0.3174294,0.9944587,41.06605
81.998522758,0.2849106,0.9881594,41.37463
82.999829292,0.07155014,0.9903066,41.09372
83.998663902,77.97964,1.003956,42.69914
84.999970436,99.06678,0.9994369,49.38915
85.998804092,26.74035,0.9986238,42.77335
87.000110626,2.514843,0.9882929,40.95299
87.998944759,0.3357978,0.989696,40.59566
89.000251293,0.2032121,0.9893893,40.27081
89.999085903,0.6815688,0.9909621,41.46256
91.000391960,9.360911,0.9892781,40.29893
91.999226570,102.9769,0.9845854,27.27564
93.000532150,34.56304,1.002601,35.47399
93.999366283,7.200737,0.9907224,40.25692
94.998200417,0.2001447,0.9934962,40.60545
95.999505997,0.2118965,0.9945095,40.64586
96.998340130,0.2744244,0.9861733,40.56389
97.999645710,0.04123071,0.9923787,40.64586
98.998479843,94.34848,1.00642,44.83405
99.999785900,77.43441,0.9917196,48.16814
100.998619080,26.22728,0.983631,43.29427
101.999925137,0.3601627,0.9872276,41.32751
102.998758316,0.3497324,0.9967409,41.5508
104.000063896,0.308818,0.9911563,41.8185
104.998897552,0.2422291,0.9918022,42.11795
106.000202656,76.82475,0.9917482,38.94357
106.999035835,98.74125,0.9969702,27.978
108.000340939,26.92976,0.9957042,37.84946
108.999174595,0.7995758,0.9988976,40.0724
109.998007774,0.2642537,0.9947633,40.57657
110.999312878,0.1622593,0.9968371,40.42594
111.998145580,0.09799249,0.9937521,39.904
112.999450684,7.597483,0.9770387,40.25221
113.998283386,103.245,1.00545,49.26617
114.999588013,34.48531,0.9807701,46.28679
115.998420238,7.292158,0.995549,42.05876
116.999725819,0.6049454,0.9925672,42.26668
117.998558521,0.3382877,0.9874163,42.03484
118.999862671,0.3277669,0.9951463,41.74783
119.998695374,0.3209439,0.9926444,42.01311
121.000000000,94.48723,0.9971766,36.60501
121.998831749,77.00734,1.017958,29.71404
123.000136375,25.69647,1.006775,37.82383
123.998968601,0.3428822,0.9920495,39.43906
124.997800350,0.4069389,0.9939939,39.12011
125.999104977,0.2006146,0.9864464,38.89816
126.997936726,0.0620649,0.9956176,38.89816
127.999240875,41.19169,0.9792973,39.3619
128.998072624,101.9694,1.008768,50.20153
129.999376774,28.49986,0.9981269,45.70588
130.998208046,0.9722641,0.9917635,42.2006
131.999511719,0.1343237,0.988723,43.04462
132.998342991,0.1876158,0.9855175,42.77335
133.999647141,0.1909635,0.9916372,42.77335
134.998478413,0.09244565,0.9940245,42.50345
135.999782085,102.0177,1.009397,33.11194
136.998613358,52.44394,0.990895,32.06348
137.999916553,17.03772,0.9828535,37.92776
138.998747826,0.3970191,0.9886848,38.6608
140.000051022,0.2246176,0.9962875,38.5819
140.998881817,0.1706102,0.9935202,38.80311
141.997713089,0.2580474,0.9970126,38.66328
142.999015331,77.43111,1.003847,41.18018
143.997846127,98.93748,0.986402,49.91043
144.999149323,27.53388,0.9957682,45.6865
145.997980118,0.4721732,0.9876468,43.5467
146.999282360,0.419078,0.9926413,43.81945
