Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.000000000,37.212,31.496
1.001310825,37.174,31.498
2.000148773,37.236,31.496
3.001459122,37.2,31.496
4.000297070,37.162,31.496
5.001606941,37.2,31.494
6.000444889,37.192,31.494
7.001754761,37.204,31.494
8.000592709,37.194,31.494
9.001902580,37.208,31.492
10.000740051,37.202,31.492
10.999577999,37.196,31.492
12.000887871,37.182,31.492
12.999724865,37.192,31.492
14.001034737,37.148,31.492
14.999872208,37.196,31.49
16.001182079,37.13,31.49
17.000019550,37.204,31.49
18.001328468,37.14,31.49
19.000165939,37.152,31.49
20.001475811,37.166,31.49
21.000312328,37.196,31.488
22.001622200,37.116,31.488
23.000458717,37.17,31.488
23.999296188,37.172,31.488
25.000605583,37.166,31.488
25.999442101,37.144,31.488
27.000751019,37.1,31.488
27.999588490,37.158,31.488
29.000897884,37.2,31.488
29.999734879,37.146,31.488
31.001043320,37.176,31.488
31.999880791,37.16,31.488
33.001189232,37.138,31.486
34.000025749,37.18,31.486
35.001335144,37.174,31.486
36.000171661,37.158,31.486
37.001480579,37.12,31.486
38.000317097,37.154,31.484
38.999152660,37.106,31.484
40.000462055,37.174,31.484
40.999298096,37.142,31.484
42.000606537,37.108,31.484
42.999443054,37.146,31.484
44.000751972,37.164,31.484
44.999587536,37.106,31.484
46.000896454,37.158,31.482
46.999732018,37.134,31.484
48.001040936,37.136,31.482
48.999876499,37.112,31.482
50.001185417,37.08,31.482
51.000020981,37.128,31.482
52.001328945,37.146,31.482
53.000164986,37.15,31.48
53.999000072,37.132,31.48
55.000308037,37.108,31.48
55.999144077,37.128,31.48
57.000452042,37.094,31.48
57.999287128,37.116,31.48
59.000595093,37.134,31.478
59.999431133,37.112,31.478
61.000738144,37.142,31.478
61.999574184,37.114,31.478
63.000881672,37.13,31.478
63.999717236,37.118,31.478
65.001024723,37.112,31.478
65.999859810,37.086,31.476
67.001167297,37.15,31.476
68.000002384,37.126,31.476
68.998836994,37.106,31.476
70.000144958,37.1,31.474
70.998979568,37.098,31.474
72.000286579,37.066,31.474
72.999121189,37.07,31.474
74.000428677,37.08,31.474
74.999263287,37.08,31.474
76.000570297,37.114,31.472
76.999404907,37.056,31.472
78.000712395,37.088,31.472
78.999547005,37.054,31.472
80.000853539,37.09,31.472
80.999688148,37.052,31.472
82.000994682,37.066,31.472
82.999829292,37.048,31.47
84.001135826,37.064,31.47
84.999970436,37.048,31.47
85.998804092,37.074,31.47
87.000110626,37.02,31.47
87.998944759,37.032,31.47
89.000251293,37.08,31.468
89.999085903,37.05,31.468
91.000391960,37.062,31.468
91.999226570,37.052,31.468
93.000532150,37.012,31.468
93.999366283,37.09,31.468
95.000672817,37.074,31.466
95.999505997,37.022,31.466
97.000812531,37.024,31.466
97.999645710,37.04,31.466
98.998479843,37.06,31.466
99.999785900,37.034,31.466
100.998619080,37.074,31.466
101.999925137,37.052,31.466
102.998758316,37.074,31.466
104.000063896,37.062,31.464
104.998897552,37.056,31.464
106.000202656,37.004,31.464
106.999035835,37.034,31.464
108.000340939,37.024,31.464
108.999174595,37.024,31.464
110.000479698,37.018,31.462
110.999312878,37.032,31.462
112.000617981,37.034,31.462
112.999450684,37.034,31.462
114.000755310,36.97,31.46
114.999588013,36.952,31.46
115.998420238,37.006,31.46
116.999725819,37,31.46
117.998558521,37.04,31.458
118.999862671,37.02,31.458
119.998695374,37.034,31.458
121.000000000,36.968,31.458
121.998831749,36.99,31.458
123.000136375,36.976,31.458
123.998968601,36.984,31.456
125.000273228,36.966,31.456
125.999104977,36.998,31.456
127.000408649,36.976,31.456
127.999240875,37.06,31.456
129.000544548,36.946,31.454
129.999376774,36.958,31.454
130.998208046,36.966,31.454
131.999511719,36.95,31.454
132.998342991,36.96,31.454
133.999647141,36.976,31.452
134.998478413,36.932,31.452
135.999782085,36.984,31.452
136.998613358,36.928,31.452
137.999916553,36.976,31.45
138.998747826,36.91,31.45
140.000051022,36.926,31.45
140.998881817,36.942,31.45
142.000185013,36.908,31.45
142.999015331,36.938,31.45
144.000318527,36.928,31.448
144.999149323,36.906,31.448
145.997980118,36.91,31.448
146.999282360,36.91,31.448
147.998113155,36.904,31.448
148.999416351,36.948,31.446
149.998246193,36.914,31.446
150.999548912,36.958,31.446
151.998379230,36.906,31.446
152.999681950,36.888,31.446
153.998511791,36.906,31.444
154.999814510,36.898,31.444
155.998644352,36.928,31.444
156.999947071,36.912,31.442
157.998776913,36.922,31.442
159.000078678,36.906,31.442
159.998908997,36.93,31.442
161.000210762,36.884,31.44
