Time (s),Roll (deg),Pitch (deg),Yaw (deg)
0.000000000,-1.994697,3.386404,-79.13275
1.001088619,-1.983582,3.379346,-79.12462
1.999706268,-1.990983,3.422534,-79.13966
3.000796318,-2.027228,3.640453,-74.41064
3.999414921,-2.020617,5.143495,-62.42104
5.000505447,-1.39869,5.668989,-46.35312
5.999125481,-1.188649,5.256488,-38.41413
7.000216961,-1.110716,5.031153,-26.47796
7.998837471,-1.007414,5.052614,-14.87114
8.999929905,-2.135324,4.886076,-2.357373
10.001023293,-2.013667,4.523185,7.80309
10.999645233,-1.926388,4.060088,10.09546
12.000739098,-2.006807,3.694671,10.00699
12.999361515,-2.017453,3.515192,9.984456
14.000456810,-2.030623,3.426424,9.967803
14.999080181,-2.182096,3.498785,14.70282
16.000175953,-2.221706,3.760031,27.92671
16.998800755,-2.186041,3.943063,41.7156
17.999897003,-2.139545,4.045299,55.7919
19.000994205,-2.091703,4.087729,70.02882
19.999620438,-2.07151,4.130726,84.18825
21.000719070,-2.042973,4.123595,96.44592
21.999345303,-2.027222,3.840703,99.12732
23.000444889,-1.970115,3.727061,99.07027
23.999072552,-2.029648,3.613214,99.04941
25.000172615,-1.972988,3.604836,98.9755
25.998801231,-2.245751,3.713838,103.2906
26.999902248,-2.246749,3.865863,116.558
27.998531818,-2.196356,4.0737,130.7363
28.999633789,-2.128408,4.189985,145.1677
30.000735283,-2.065734,4.262924,159.5838
30.999366283,-2.029461,4.275453,173.2916
32.000469208,-1.950646,4.267316,-174.1777
32.999100685,-1.944061,3.967858,-173.2564
34.000204563,-1.995515,3.773168,-173.2265
34.998836517,-2.032279,3.640091,-173.2495
35.999940872,-2.047437,3.560752,-173.2615
36.998573780,-2.212288,3.734458,-165.7159
37.999678135,-2.186792,3.997585,-151.6039
39.000783443,-2.112814,4.171273,-136.8276
39.999417305,-2.036832,4.235259,-122.9467
41.000523090,-1.989636,4.27028,-108.5071
41.999156952,-1.919798,4.287586,-94.38291
43.000263691,-1.761742,4.232661,-83.16085
43.998898506,-1.869279,3.913302,-83.73666
45.000004768,-1.921199,3.714292,-83.85143
45.998640060,-1.949712,3.605886,-83.86089
46.999747276,-1.974693,3.555783,-83.85283
47.998382568,-2.119558,3.754432,-74.45164
48.999490738,-2.107031,4.001248,-60.31438
50.000598431,-2.062763,4.121985,-45.68472
50.999234200,-1.997708,4.181302,-31.56904
52.000342846,-1.97102,4.195168,-17.57418
52.998979568,-1.947201,4.189427,-3.577388
54.000088215,-1.877331,4.075898,5.196263
54.998724937,-1.931436,3.764242,4.480839
55.999834061,-1.977549,3.54649,4.414044
56.998471737,-2.012718,3.473044,4.394123
57.999581337,-2.04139,3.433032,4.402073
58.998219013,-2.216896,3.630929,13.98585
59.999329090,-2.225724,3.898252,27.99525
61.000438690,-2.160407,4.060996,42.72211
61.999077320,-2.122242,4.12259,56.65899
63.000187874,-2.099413,4.203055,70.96679
63.998827457,-2.039233,4.221867,85.00278
64.999938488,-1.893141,4.190421,95.05197
65.998577595,-1.983662,3.840804,94.37669
66.999689102,-2.044008,3.672087,94.30812
67.998329163,-2.070288,3.553922,94.27575
68.999440670,-2.076845,3.489484,94.26862
69.998081684,-2.260316,3.731084,104.1938
70.999194145,-2.229605,3.995308,118.7804
72.000306606,-2.177556,4.161992,133.28
72.998948097,-2.127454,4.258329,147.9151
74.000061035,-2.068318,4.29665,162.7125
74.998702526,-2.000508,4.309759,176.8416
75.999815464,-1.851846,4.09797,-177.821
76.998457432,-1.986333,3.827193,-177.7204
77.999571323,-2.027323,3.67395,-177.8015
78.998214245,-2.059432,3.583441,-177.8319
79.999328136,-2.183167,3.596061,-175.4129
81.000442505,-2.217903,3.900388,-162.306
81.999085903,-2.134468,4.097031,-147.8699
83.000200272,-2.092704,4.198997,-133.4722
83.998843670,-2.02135,4.262602,-118.8023
84.999958992,-1.963944,4.252354,-104.8987
85.998602390,-1.915056,4.237053,-91.95412
86.999718189,-1.825554,4.001966,-88.49609
87.998361111,-1.921763,3.779285,-88.68241
88.999477386,-1.966362,3.65096,-88.71019
89.998121738,-1.993435,3.573087,-88.74486
90.999237537,-2.117252,3.582666,-86.16016
91.997882366,-2.158603,3.854314,-73.32057
92.998998165,-2.103796,4.041482,-59.06581
94.000114918,-2.051017,4.127179,-44.66725
94.998760223,-2.000325,4.187314,-30.11389
95.999876499,-1.974389,4.197139,-15.37635
96.998521805,-1.925127,4.157536,-2.099418
97.999639034,-1.88826,3.866041,-0.2853613
98.998285294,-1.951043,3.658588,-0.2224233
99.999402523,-1.984904,3.520285,-0.2236466
100.998048306,-2.006196,3.463506,-0.2529418
101.999166012,-2.201854,3.533133,4.280862
102.997812271,-2.203244,3.810402,17.93319
103.998930454,-2.176981,4.011927,32.81918
105.000049114,-2.101677,4.119032,47.81042
105.998695850,-2.060724,4.185066,62.70358
106.999814987,-2.010478,4.218814,77.53067
107.998462200,-1.802676,4.166141,88.82511
108.999581337,-1.956634,3.857522,88.25987
109.998229504,-2.015543,3.674906,88.1987
110.999349594,-2.054416,3.545272,88.19018
111.997997284,-2.071262,3.485669,88.18999
112.999117374,-2.243451,3.683059,97.77242
113.997766018,-2.217962,3.947625,112.3509
114.998886585,-2.158143,4.106278,126.8137
116.000007629,-2.095557,4.174911,141.0107
116.998656750,-2.046522,4.220059,155.4301
117.999778271,-1.992953,4.217901,169.5988
118.998427868,-1.877946,4.059791,176.6299
119.999549389,-1.964897,3.815593,176.1928
120.998199940,-2.014066,3.673016,176.1772
121.999321938,-2.028907,3.56032,176.1428
122.997972488,-2.146646,3.544133,177.1069
123.999094963,-2.213891,3.820408,-171.0147
124.997745514,-2.17657,4.049082,-156.7558
125.998868942,-2.104245,4.181648,-142.3579
126.997519970,-2.033917,4.22159,-128.2274
127.998643398,-1.98655,4.223901,-113.8823
128.999766350,-1.930885,4.230736,-100.1692
129.998418331,-1.798665,4.049465,-94.37187
130.999541759,-1.905628,3.797526,-94.44815
131.998193741,-1.955758,3.657949,-94.4774
132.999317646,-1.97093,3.557501,-94.49949
133.997970104,-2.064326,3.553511,-92.4955
134.999094009,-2.140486,3.811295,-79.90888
135.997746468,-2.1015,4.006949,-65.33519
136.998871326,-2.04047,4.113656,-50.84692
137.997523785,-1.990567,4.149899,-36.91475
138.998649120,-1.957256,4.16568,-22.58267
139.997302532,-1.915106,4.140563,-9.800889
140.998426914,-1.815614,3.9342,-5.641106
141.999552250,-1.918946,3.700345,-5.641196
142.998205185,-1.946362,3.550386,-5.656578
143.999331474,-1.981804,3.460909,-5.67255
144.997985363,-2.103006,3.491378,-3.468086
145.999110699,-2.172263,3.733207,8.914349
146.997765064,-2.154102,3.941216,22.86514
147.998890877,-2.104477,4.049782,37.00841
148.997545719,-2.065522,4.131247,51.54184
149.998672009,-2.013713,4.178464,66.2386
150.997327328,-1.989796,4.171816,79.30791
151.998454094,-1.873013,3.959916,84.03761
152.999581337,-1.992143,3.72858,84.08415
153.998236656,-2.029191,3.587123,84.06924
154.999364376,-2.06132,3.501017,84.04427
155.998020172,-2.184297,3.505868,86.29774
156.999148369,-2.238056,3.792279,99.36667
157.997804642,-2.18638,4.013829,114.1974
158.998933315,-2.12603,4.124156,128.3297
159.997590065,-2.077214,4.197048,142.7863
160.998718739,-2.017332,4.24139,157.6097
161.997375965,-1.967693,4.210059,170.4406
162.998505116,-1.939077,3.936487,171.5432
163.997162819,-2.004547,3.736763,171.5274
164.998292923,-2.03914,3.613307,171.5237
165.999423027,-2.049756,3.54726,171.5045
166.998080730,-2.222096,3.613997,176.0531
167.999211311,-2.18664,3.917802,-170.0645
168.997869015,-2.112948,4.103078,-155.406
169.998999596,-2.053317,4.191724,-141.0314
170.997659206,-1.973199,4.245166,-126.0501
171.998789787,-1.919395,4.239533,-111.61
172.997448921,-1.856647,4.226792,-98.90574
173.998579979,-1.849701,3.906809,-99.03553
174.997239590,-1.902792,3.698711,-99.10519
175.998370647,-1.939324,3.606535,-99.10869
176.997029781,-1.96747,3.52629,-99.14481
177.998161793,-2.135562,3.674852,-91.78537
178.999293804,-2.123622,3.940145,-77.45484
179.997953415,-2.057433,4.083537,-62.51107
180.999085426,-1.994447,4.162215,-47.73534
181.997745991,-1.944703,4.181951,-33.10835
182.998878002,-1.912089,4.167104,-18.55676
183.997538567,-1.871294,4.031317,-10.18266
184.998671055,-1.897557,3.758715,-10.63629
185.997331619,-1.943999,3.591574,-10.80687
186.998465061,-1.982781,3.49327,-10.82996
187.997125626,-2.097939,3.420974,-10.12548
188.998259068,-2.197827,3.706475,1.590543
189.996920109,-2.173139,3.924158,16.28956
190.998053551,-2.111415,4.066458,31.17638
191.999187469,-2.087312,4.130334,45.37908
192.997848988,-2.03945,4.179814,60.45057
193.998982906,-1.971965,4.200114,74.3505
194.997644901,-1.918219,3.90639,77.23141
195.998779774,-1.988727,3.714427,77.34048
196.997442245,-2.039645,3.570189,77.33669
197.998576641,-2.054173,3.499511,77.32264
198.997239590,-2.214388,3.574776,81.94913
199.998374462,-2.221168,3.87614,96.11284
200.997037888,-2.151767,4.065601,110.9
201.998173237,-2.070803,4.158507,125.6696
202.996837139,-2.036761,4.214582,140.2899
203.997972965,-1.990266,4.234328,154.8588
204.996636868,-1.819479,4.162954,165.4751
205.997773647,-1.906462,3.845843,164.6674
206.998909473,-1.969974,3.658727,164.5743
207.997573853,-2.02224,3.55093,164.5379
208.998710632,-2.072888,3.491119,164.5354
209.997375965,-2.215976,3.712404,174.4099
210.998513222,-2.167646,3.993908,-170.8891
211.997178078,-2.088265,4.129117,-156.5521
212.998315334,-2.029406,4.196959,-142.0766
213.996981621,-1.941386,4.220896,-127.4908
214.998118877,-1.888578,4.229147,-113.767
215.996784687,-1.799037,4.074277,-106.5397
216.997922421,-1.86693,3.815224,-106.8872
217.996589184,-1.910665,3.656334,-107.0158
218.997726917,-1.933289,3.586004,-107.036
219.998865604,-1.93441,3.516531,-107.0618
220.997532368,-1.968191,3.48418,-107.0788
221.998670578,-1.9805,3.458089,-107.1097
222.997337341,-1.984001,3.448963,-107.1283
223.998476028,-2.011634,3.445804,-107.1049
224.997143269,-1.80766,4.259862,-107.3066
225.998282433,-1.92887,4.999662,-107.8747
226.996949673,-2.303509,5.081904,-107.9218
227.998088837,-1.753523,5.04697,-108.168
228.996757030,-1.992707,5.291038,-107.2982
229.997896194,-1.937188,5.233878,-107.1821
230.996563911,-1.933516,5.199595,-107.2234
231.997704029,-1.939558,5.191019,-107.177
