Time (s),Gyroscope (deg/s),Accelerometer (g),Magnetometer (uT),,,,,,
0,0.241404,0.9931434,35.21431,,,,,,
0.998616695,0.2128064,0.9974933,35.45326,,,,,,
1.999706268,0.8043807,0.9945415,34.94154,,0.1436254,,0.689361,,0.1187924
3.000796318,12.70351,0.9932609,36.08593,,2.182468,,13.305,,13.04161
3.999414921,15.35284,0.9856282,37.33043,,12.06402,,14.53263,,14.77
5.000505447,14.43481,0.9764208,40.44363,,13.92267,,14.60148,,14.78068
5.999125481,15.83969,1.011525,41.77108,,14.33081,,13.74035,,13.83005
7.000216961,14.74673,0.9971527,43.63057,,14.51774,,14.2131,,14.77463
7.998837471,7.190576,0.9934278,46.17374,,13.92395,,12.51004,,12.9889
8.999929905,18.90719,0.9885395,47.7485,,14.30341,,0.6838221,,2.504624
9.998551369,10.16579,0.9841889,48.86971,,10.7858,,0.1522889,,0.1089863
10.99964523,0.9475036,0.9927317,49.77825,,12.02181168,,10.553509,,10.86478409
12.0007391,1.262412,0.9904079,49.8389,,,,,,
12.99936152,0.1857313,0.988501,49.39856,,AVE =,11.14670159,,,
14.00045681,0.4261086,0.9904638,49.94339,,,,,,
14.99908018,11.83229,0.9949826,49.65465,,,,,,
16.00017595,13.65098,0.9931533,51.06989,,,,,,
16.99880076,13.97084,0.9870722,51.76955,,,,,,
17.999897,14.22648,0.9879064,52.17218,,,,,,
18.99852228,13.8928,0.9928368,51.53268,,,,,,
19.99962044,14.02732,0.9784375,51.24409,,,,,,
21.00071907,10.28216,0.9920881,50.09904,,,,,,
21.9993453,1.13077,0.9909337,49.78731,,,,,,
23.00044489,0.3414562,0.9918647,49.57567,,,,,,
23.99907255,0.1436254,0.9844858,50.0935,,,,,,
25.00017262,2.182468,0.9928327,49.28741,,,,,,
25.99880123,12.06402,0.984551,49.22194,,,,,,
26.99990225,13.92267,0.9971775,47.79194,,,,,,
27.99853182,14.33081,0.9832595,45.71862,,,,,,
28.99963379,14.51774,0.9823093,43.03839,,,,,,
30.00073528,13.92395,0.9961785,40.32106,,,,,,
30.99936628,14.30341,0.9918578,37.74035,,,,,,
32.00046921,10.7858,0.9952142,34.62955,,,,,,
32.99910069,0.4096362,0.9920677,34.3981,,,,,,
34.00020456,0.1797404,0.9909362,34.06485,,,,,,
34.99883652,0.1160458,0.9912956,34.95578,,,,,,
35.99994087,0.1187924,0.9910707,33.95974,,,,,,
36.99857378,13.04161,0.9862152,33.53983,,,,,,
37.99967814,14.77,0.9923431,31.41428,,,,,,
38.998312,14.78068,0.9834636,29.51167,,,,,,
39.99941731,13.83005,0.990202,29.29824,,,,,,
41.00052309,14.77463,0.9997707,30.561,,,,,,
41.99915695,12.9889,0.9880528,32.01538,,,,,,
43.00026369,2.504624,0.9874167,34.02164,,,,,,
43.99889851,0.1089863,1.000499,34.25242,,,,,,
45.00000477,0.2141147,0.9919773,33.51755,,,,,,
45.99864006,0.1325011,0.9934121,34.35566,,,,,,
46.99974728,0.689361,0.9901714,34.40269,,,,,,
47.99838257,13.305,0.9916168,35.7445,,,,,,
48.99949074,14.53263,0.9862717,38.71371,,,,,,
49.99812651,14.60148,0.9916404,41.42936,,,,,,
50.9992342,13.74035,0.9950074,43.27157,,,,,,
52.00034285,14.2131,0.9875388,46.13482,,,,,,
52.99897957,12.51004,0.9941467,47.42667,,,,,,
54.00008822,0.6838221,0.9943565,49.23398,,,,,,
54.99872494,0.1522889,0.9868779,48.79424,,,,,,
