Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,0.0540635,-0.157618,-0.4425061,-0.09905256,-0.04000868,0.9876689,-2.374723,-2.197788,-28.10793,996.9973
1.001219749,0.4250347,-0.2168542,-0.6254476,-0.09381524,-0.02736421,0.9907606,-3.481161,-2.574965,-28.10029,996.9997
1.999967575,-0.007765027,0.1385628,0.3502404,-0.09562147,-0.03851172,0.9891139,-2.73881,-2.569129,-28.4827,996.9918
3.001187801,-1.367993,-0.3353266,4.740836,-0.08966969,-0.1361748,0.9923814,-2.740398,-2.568546,-28.92525,996.9865
3.999935627,-4.273933,0.4939798,38.95089,-0.08158716,-0.0504595,1.001697,-1.087168,-9.142518,-28.05557,996.9906
5.001155376,-1.615307,0.197799,38.21913,-0.06305636,-0.005674222,1.004887,-4.522816,-18.27341,-29.16705,996.9976
5.999903202,-1.862621,1.26405,12.79026,-0.08330878,-0.03975212,0.985684,-11.41964,-22.69162,-29.54484,996.9883
7.001123428,-0.06959355,-1.993939,-0.2595646,-0.05253032,-0.05525002,0.9876051,-13.26225,-23.44272,-29.97365,996.994
7.999871254,0.0540635,-0.03914569,-0.3205451,-0.06607451,-0.03710935,0.9937674,-13.63411,-23.44539,-29.97212,996.9923
9.001091957,-0.1932506,-0.157618,-0.1376036,-0.06803595,-0.03857535,0.9908829,-13.63252,-23.44597,-29.52956,997.0012
9.999839783,-0.06959355,-0.2168542,0.04533787,-0.07002284,-0.03620877,0.9947605,-14.01351,-23.07947,-29.53105,996.998
11.001059532,-3.346505,-0.2168542,40.17051,-0.05569759,-0.03746578,0.9999155,-17.62739,-24.95049,-30.32269,997.009
11.999807358,-3.222848,-0.3353266,39.43874,-0.05735363,-0.02825682,0.9924678,-30.20454,-22.82413,-31.17417,996.9967
13.001028061,-1.182507,0.02009048,13.27811,-0.07116304,-0.03224943,0.9757442,-36.59023,-17.76226,-31.12691,997.0095
13.999775887,-0.007765027,0.07932665,-0.3205451,-0.06517529,-0.03414715,0.9857041,-37.66072,-17.03197,-30.74927,997.0099
15.000996590,-0.1314221,-0.03914569,-0.01564263,-0.06409278,-0.03851911,0.991819,-37.35084,-17.02975,-30.75056,997.0034
15.999745369,0.115892,-0.09838186,-0.07662313,-0.06314983,-0.03655585,0.9894658,-36.97739,-17.02766,-30.30954,997
17.000965595,-0.3169076,-0.2760904,-0.01564263,-0.06807759,-0.03662748,0.9885343,-36.22614,-17.39092,-30.75214,997.0183
17.999714375,-3.099191,0.07932665,36.26775,-0.05448404,-0.05815128,0.9818265,-38.08426,-14.88172,-30.32283,997.0206
19.000935555,-3.222848,-0.2760904,41.57306,-0.0632713,-0.0269112,0.9949124,-39.42525,-5.722464,-30.01401,997.0175
19.999684334,-1.677135,-0.09838186,15.29046,-0.06702012,-0.01569563,0.9688916,-34.4501,1.205074,-29.64919,997.0089
21.000905514,0.1777205,-0.3353266,-0.8083891,-0.06750391,-0.04194027,0.988425,-32.99007,2.323263,-29.66442,997.015
21.999654770,-0.007765027,-0.09838186,-0.01564263,-0.06853066,-0.03858041,0.9904077,-33.37106,2.689767,-29.66591,997.0193
23.000876427,0.0540635,-0.09838186,-0.07662313,-0.06508683,-0.03899975,0.9884716,-32.98094,1.954092,-29.66139,997.0256
23.999625683,-0.007765027,-0.3353266,-0.01564263,-0.06413958,-0.0356144,0.9913998,-32.99007,2.323263,-29.66442,997.023
25.000847816,-1.120678,-0.3353266,26.87676,-0.04446164,-0.07340947,0.9695318,-31.95474,3.069167,-29.67483,997.0165
25.999597549,-3.222848,-0.2168542,41.57306,-0.0518181,-0.03448641,0.9970902,-21.36036,5.73045,-30.18264,997.0262
