Time (s),X (g),Y (g),Z (g)
0.000000000,0.007114112,-0.001326177,-0.01074588
0.998673439,0.00090985,0.02744337,-0.01937622
1.999820232,0.02545819,-0.002532851,-0.0112868
2.998496056,-0.08666454,0.005088616,-0.02910173
3.999645233,0.002966225,0.02720108,0.004310071
5.000794888,0.00615482,0.005132601,-0.02148241
5.999475002,0.001014575,-0.002131384,0.009405136
7.000627518,0.005531825,0.001481354,-0.003025174
7.999309063,-0.003304072,0.002263717,-0.01708978
9.000463963,-0.003086992,0.007073171,-0.007983744
9.999147892,0.04534254,-0.0004279874,0.01140893
11.000305176,0.03230286,-0.02607116,0.003608882
11.998991013,-0.02917182,-0.02337887,-0.003451228
13.000150204,0.007076412,0.001669046,0.0002746582
13.998838902,0.01058016,-0.001443308,-0.001340747
15.000000477,0.00747586,-0.0008666478,-0.003385246
15.998691082,0.02302659,0.00524969,-0.003126204
16.999854088,0.04074029,0.05858111,-0.0003929138
17.998546600,0.01926077,0.007311724,-0.007214189
18.999712467,0.01698227,-0.005968351,-0.000413537
19.998407364,0.005771972,-0.00960099,-0.00361985
20.999574661,0.003718954,-0.0008480474,-0.0002874732
21.998271465,0.004158091,0.001905989,-0.0008165836
22.999441624,0.03114561,-0.01223599,-0.004403949
24.000612259,0.03425663,0.03854171,-0.01102996
24.999311924,0.02754925,-0.0007948354,0.01024592
26.000484467,0.01161155,-0.004035816,0.001074553
26.999186516,0.01298332,-0.004058603,0.00220108
28.000361919,-0.00129826,-0.0005332604,0.002185047
28.999064922,0.003312565,0.00271643,-0.006487429
30.000242233,0.03667354,0.02232249,0.005274713
30.998948097,0.02808037,0.001402192,0.009223104
32.000126839,0.01865862,-0.01275832,-0.0006604195
32.998834610,0.01200899,-0.004567746,-0.005219162
34.000016212,0.006976534,-0.0006708652,-0.003469825
34.998725891,0.004082162,-0.00122083,0.001651287
35.999908447,0.01895504,-0.04447275,-0.01310802
36.998619556,0.04702355,0.01588129,-0.002612531
37.999804497,0.01586302,-0.001633093,-0.005741179
38.998518467,0.01498011,-0.01120309,-0.001286149
39.999704838,0.008031525,-0.005287029,0.0003670454
40.998420238,0.005400289,0.001021445,-0.004465759
41.999608040,0.006859899,-0.003408335,0.001531541
42.998325348,0.01948821,-0.005771071,0.001640618
43.999515057,0.0371732,0.02983311,0.0005118251
44.998234272,0.02326164,0.0012719,0.004539847
45.999426365,0.008647677,-0.004867934,-0.0004207492
46.998147011,0.009987004,0.002643384,0.0008254647
47.999340057,0.005335696,0.001564238,-0.003645003
48.998062611,0.00638701,0.0020211,-0.006125689
49.999258041,0.03898256,0.005207833,1.370907E-06
50.997982502,0.03790914,0.001054391,-0.01248902
51.999179363,0.01897879,-0.002616184,0.004272044
52.997905731,0.0126432,-0.003759339,0.002851486
53.999104500,0.007843748,-0.002383359,0.003138244
55.000304222,-5.308911E-05,-0.001156576,-0.004594266
55.999032974,0.01048765,0.006146528,0.006397128
57.000234604,0.03975206,0.01837575,0.004884958
57.998964787,0.03630421,-0.005479246,-0.002552629
59.000168800,0.01641871,-0.01487262,0.001567483
59.998900414,0.01025231,-0.003978044,-0.001938999
61.000105858,0.007976223,-0.005137175,0.001143157
61.998838902,0.004531294,0.000206098,0.001616299
63.000046253,0.02659541,-0.01772543,-0.00241667
63.998781681,0.02355736,0.05048561,0.01107383
64.999989986,0.02287499,-0.00559867,0.002088904
65.998726845,0.009971134,-0.00593625,-0.002279878
66.999936581,0.009857349,-0.003192231,-0.002088606
67.998675823,0.007004384,0.0007866248,0.0002087951
68.999886990,0.0007769838,-0.002859984,0.003887892
69.998627186,0.0273546,-0.002160594,0.004837394
70.999840260,0.0222476,0.02816649,-0.001866996
71.998582363,0.01845286,-0.003496513,0.005233884
72.999797344,0.01377185,-0.01037407,0.005077243
73.998540878,0.01298403,-0.001691196,0.0006604195
74.999756813,0.001829375,-0.005297948,-0.002371728
75.998501778,0.001367819,0.0003955774,-0.003304243
76.999719620,0.001291595,-0.0025195,-0.001985013
77.998466492,-0.001277208,0.0002358519,0.003787339
78.999685764,-0.0008283928,-0.001724329,0.003236949
79.998433590,-0.000703305,-0.0008748882,-0.001057148
80.999654770,0.002297845,-0.003767367,-9.471178E-05
81.998404503,-0.01062059,-0.03251973,-0.02163428
82.999627113,0.02568553,0.01540586,-0.008853912
83.998377800,0.01497605,0.0001309514,0.01453584
84.999602318,0.007727008,0.00693192,0.0007554889
85.998354912,-0.01199743,-0.004599344,0.007744551
86.999580383,-0.005407065,-0.001069669,9.131432E-05
87.998334408,-0.003322966,0.0007870421,-0.007070839
88.999560833,-0.00767976,-0.004938904,0.005718946
89.998316765,-0.006596148,0.001415607,0.0005689859
90.999544621,-0.005084008,-0.005246781,0.0004253983
91.998301983,0.003337819,8.673221E-05,-0.001413524
