Time (s),Gyroscope (deg/s),Accelerometer (g),Magnetometer (uT),,,,,,,,
0,0.3646397,0.9859521,29.70639,,,,,,,,
1.00132513,0.8210963,0.9965958,30.00604,,0.390599,,0.1479623,,0.231889,,
2.000178337,4.783879,0.9879627,29.51798,,76.49628,,45.84469,,78.33089,,
3.001503944,37.32965,0.9892682,27.80648,,24.20636,,28.94302,,26.18395,,
4.000357151,36.02988,1.001208,27.54683,,33.69774633,,24.97855743,,34.91557633,,
5.001681328,21.99131,0.9992571,32.55466,,,,,,,,
6.000534058,1.45769,0.9973921,32.88813,,AVE =,31.19729337,,,,,
7.001858711,0.5099918,1.001748,33.60532,,,,,,,,
8.000711441,0.2253785,0.9849046,33.15971,,,,,,,,
9.002036095,0.2253785,0.9908642,33.52024,,,,,,,,
10.00088787,48.47211,0.987143,34.69365,,,,,,,,
11.00221157,29.35718,0.9921067,44.93754,,,,,,,,
12.00106382,2.875825,0.98579,47.59799,,,,,,,,
12.99991512,2.180424,0.9959483,47.70486,,,,,,,,
14.00123882,2.295223,0.9934419,47.53347,,,,,,,,
15.00009012,0.2584115,0.9898949,47.76616,,,,,,,,
16.00141335,0.390599,0.9938266,47.70475,,,,,,,,
17.00026465,76.49628,0.9913343,49.81176,,,,,,,,
18.00158787,24.20636,0.9954293,48.01345,,,,,,,,
19.00043821,0.4067535,0.9923851,47.04908,,,,,,,,
20.00176144,0.641359,0.9943618,47.07175,,,,,,,,
21.00061226,0.1146755,0.9861981,47.59016,,,,,,,,
22.00193548,0.1479623,0.9889433,47.60962,,,,,,,,
23.00078535,45.84469,0.9683763,46.39129,,,,,,,,
23.99963617,28.94302,0.9818667,35.86175,,,,,,,,
25.00095844,4.174827,0.9875968,30.59408,,,,,,,,
25.99980927,0.3661554,0.9881206,30.86739,,,,,,,,
27.00113154,0.1521065,0.9893754,31.75796,,,,,,,,
27.99998188,0.3470421,0.9908857,32.09819,,,,,,,,
29.00130367,0.231889,0.9953741,31.65792,,,,,,,,
30.00015354,78.33089,1.009535,26.77576,,,,,,,,
