Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.944934368,100.0117,15372286728.0913,4.164375,-1.5625,1
1.999709129,100.0117,15372286728.0913,4.165,0.625,1
2.878727436,100.0117,15372286728.0913,4.1625,0.625,1
3.933528900,100.0117,15372286728.0913,4.16375,0.9375,1
4.988450050,100.0117,15372286728.0913,4.165625,-1.5625,1
5.867288113,100.0117,15372286728.0913,4.164375,-0.625,1
6.922118664,100.0117,15372286728.0913,4.16375,0.625,1
7.976868629,100.0117,15372286728.0913,4.165625,-1.25,1
8.855854034,100.0117,15372286728.0913,4.165,-0.3125,1
9.910783768,100.0117,15372286728.0913,4.165,0.625,1
10.965405941,100.0117,15372286728.0913,4.165,-0.3125,1
11.844525337,100.0117,15372286728.0913,4.164375,0,1
12.899250507,100.0117,15372286728.0913,4.16625,0.9375,1
13.953981876,100.0117,15372286728.0913,4.16375,0,1
14.833088398,100.0117,15372286728.0913,4.165,-1.875,1
15.887765884,100.0117,15372286728.0913,4.165625,-0.9375,1
16.942585468,100.0117,15372286728.0913,4.165,-0.3125,1
17.997497559,100.0117,15372286728.0913,4.164375,-0.625,1
18.876332283,100.0117,15372286728.0913,4.16375,-0.3125,1
19.931225777,100.0117,15372286728.0913,4.165,0.625,1
20.985910892,100.0117,15372286728.0913,4.165,-1.5625,1
21.864989281,100.0117,15372286728.0913,4.165,0,1
22.919722080,100.0117,15372286728.0913,4.165,0,1
23.974488735,100.0117,15372286728.0913,4.165625,0,1
24.853632450,100.0117,15372286728.0913,4.165625,0.625,1
25.908253193,100.0117,15372286728.0913,4.16375,0.3125,1
26.963039875,100.0117,15372286728.0913,4.165625,-1.25,1
27.842034340,100.0117,15372286728.0913,4.165,-1.25,1
28.896869183,100.0117,15372286728.0913,4.16625,0,1
29.951736450,100.0117,15372286728.0913,4.165625,0,1
30.830600262,100.0117,15372286728.0913,4.165625,0.9375,1
31.885414600,100.0117,15372286728.0913,4.164375,1.875,1
32.940306187,100.0117,15372286728.0913,4.163125,0.625,1
33.994994164,100.0117,15372286728.0913,4.164375,-0.625,1
34.874115467,100.0117,15372286728.0913,4.16375,-0.3125,1
35.928754807,100.0117,15372286728.0913,4.165625,1.5625,1
36.983522415,100.0117,15372286728.0913,4.165,-0.3125,1
37.862525463,100.0117,15372286728.0913,4.165625,0,1
38.917356014,100.0117,15372286728.0913,4.164375,-0.3125,1
39.972270966,100.0117,15372286728.0913,4.16375,-0.625,1
40.851143837,100.0117,15372286728.0913,4.165,0,1
41.905909538,100.0117,15372286728.0913,4.165,0.625,1
42.960810184,100.0117,15372286728.0913,4.1625,0.625,1
43.839701176,100.0117,15372286728.0913,4.165625,-1.25,1
44.894556046,100.0117,15372286728.0913,4.164375,-0.3125,1
45.949237347,100.0117,15372286728.0913,4.164375,-1.25,1
46.828238964,100.0117,15372286728.0913,4.165,0,1
47.883185863,100.0117,15372286728.0913,4.16375,0.625,1
48.937817574,100.0117,15372286728.0913,4.165625,0.3125,1
49.992710590,100.0117,15372286728.0913,4.16625,-0.3125,1
50.871605396,100.0117,15372286728.0913,4.165,0.625,1
51.926367760,100.0117,15372286728.0913,4.163125,0.3125,1
52.981264114,100.0117,15372286728.0913,4.16375,0.625,1
53.860157013,100.0117,15372286728.0913,4.16375,0.9375,1
54.915051460,100.0117,15372286728.0913,4.164375,0.3125,1
55.969736099,100.0117,15372286728.0913,4.165625,1.875,1
56.848730564,100.0117,15372286728.0913,4.165,0.9375,1
57.903605461,100.0117,15372286728.0913,4.165,-1.5625,1
58.958305836,100.0117,15372286728.0913,4.165,-0.3125,1
59.837415218,100.0117,15372286728.0913,4.16375,0.9375,1
60.892071724,100.0117,15372286728.0913,4.164375,-0.3125,1
61.946894646,100.0117,15372286728.0913,4.164375,0.9375,1
63.001787186,100.0117,15372286728.0913,4.166875,0.625,1
63.880657196,100.0117,15372286728.0913,4.165,-0.3125,1
64.935597897,100.0117,15372286728.0913,4.1625,0.3125,1
65.990246296,100.0117,15372286728.0913,4.165625,-0.625,1
66.869211674,100.0117,15372286728.0913,4.163125,1.875,1
67.924105644,100.0117,15372286728.0913,4.165,0.9375,1
68.978828430,100.0117,15372286728.0913,4.165625,-0.625,1
69.857906342,100.0117,15372286728.0913,4.16375,-0.3125,1
70.912584782,100.0117,15372286728.0913,4.16375,0,1
71.967347622,100.0117,15372286728.0913,4.165625,-0.3125,1
72.846462727,100.0117,15372286728.0913,4.165625,-0.625,1
73.901134491,100.0117,15372286728.0913,4.165625,-0.3125,1
74.956066608,100.0117,15372286728.0913,4.16375,0.3125,1
75.834952354,100.0117,15372286728.0913,4.164375,-0.625,1
76.889693737,100.0117,15372286728.0913,4.163125,-0.625,1
77.944614410,100.0117,15372286728.0913,4.164375,0.625,1
78.999284744,100.0117,15372286728.0913,4.165,1.5625,1
79.878383636,100.0117,15372286728.0913,4.164375,0,1
80.933060646,100.0117,15372286728.0913,4.164375,-1.25,1
81.987886429,100.0117,15372286728.0913,4.165,-0.9375,1
82.866982937,100.0117,15372286728.0913,4.16375,-0.3125,1
83.921662331,100.0117,15372286728.0913,4.164375,-1.5625,1
84.976495743,100.0117,15372286728.0913,4.165,-0.625,1
85.855414391,100.0117,15372286728.0913,4.165,1.5625,1
86.910192013,100.0117,15372286728.0913,4.164375,0,1
87.965087414,100.0117,15372286728.0913,4.164375,0.9375,1
88.843996525,100.0117,15372286728.0913,4.165625,-0.625,1
89.898921967,100.0117,15372286728.0913,4.16375,0,1
90.953571320,100.0117,15372286728.0913,4.165,0,1
91.832565308,100.0117,15372286728.0913,4.16375,-0.625,1
92.887446403,100.0117,15372286728.0913,4.165,0.3125,1
93.942134380,100.0117,15372286728.0913,4.164375,0.3125,1
94.996923447,100.0117,15372286728.0913,4.164375,0.625,1
95.875941753,100.0117,15372286728.0913,4.165625,0,1
