Time (s),X (g),Y (g),Z (g)
0.000000000,-0.003825964,-0.001553966,-0.002059788
0.998825550,-0.002564928,0.003367669,-0.002125158
2.000123024,-0.001968795,0.000882068,0.004312926
2.998949051,-0.01410209,0.005153825,-0.01119086
4.000247002,0.004319758,0.005828294,-0.003636159
4.999072075,-0.006841125,-0.001483049,-0.004640603
6.000370026,0.01469189,-0.02037169,-0.001025261
6.999195099,0.03059605,-0.0007917946,0.00303328
8.000493050,0.01279696,-0.004649427,-0.009570973
8.999318600,0.01435885,-0.002014296,-0.0003490764
10.000616074,0.008877442,0.0004034775,0.002521656
10.999441624,0.003183577,-0.005148469,-0.005964583
12.000739574,0.004566674,0.001222392,-0.008525534
12.999565601,-0.001150898,-0.002450951,0.002488852
14.000863075,-0.0002912393,0.00272222,0.001623642
14.999688625,-0.004009476,-0.004529134,-0.001977332
15.998514652,-0.007178679,0.003944263,-0.0190482
16.999812603,-4.894266E-05,-0.003529594,-0.004858177
17.998638153,0.008533183,0.002940577,-0.006693811
18.999936104,0.004008131,0.02661434,0.003638359
19.998762131,-0.01788909,0.01285143,-0.003243398
21.000060558,0.006098569,0.007151142,-0.005478846
21.998886585,-0.003480727,0.005131239,-0.000851711
23.000185013,0.007342016,-0.008727054,-0.002313227
23.999011040,-0.02090603,-0.02259585,-0.004809059
25.000309944,-0.009574167,-0.01669148,0.0003438417
25.999135494,-0.01073905,-0.004932964,-0.005783433
27.000434875,-0.001156763,0.001526773,-0.003505192
27.999260902,-8.95524E-05,-0.002097765,-0.006162797
29.000560284,0.0001946453,0.000847071,0.001475721
29.999386787,-0.003247919,0.0009470299,-0.004377888
31.000685215,-0.003123153,0.001894421,0.002778711
31.999511719,0.01804167,0.02039487,-0.008371
32.998338223,-0.02368601,0.03472084,1.983065E-05
33.999637604,-0.01712998,0.02259506,-0.01967737
34.998465061,0.001196032,0.009071238,0.002655846
35.999763966,0.005336589,0.005792352,-0.007292137
36.998590946,0.004366652,0.005338731,-0.004584574
37.999890804,0.002498508,-0.006251726,0.0006030865
38.998717308,0.002973422,-0.03188544,-0.006272956
40.000017166,-0.01466645,-0.0191465,0.003569328
40.998844624,-0.0115762,-0.001523513,0.0002034281
42.000144482,-0.002125531,0.003879908,-0.00132194
42.998971462,0.001082461,-0.01017516,0.003436452
44.000271320,0.002411881,0.01392706,0.003290218
44.999098778,-0.02629385,-0.005662767,0.002402505
46.000398636,-0.01379494,0.01475644,0.0002767486
46.999226570,-0.01246208,0.004951763,0.01010883
48.000526428,-0.009932944,0.003959376,-0.004741765
48.999353886,-0.002484708,-0.0002087048,-0.0006944994
49.998181820,-0.001509476,0.006829844,0.00468402
50.999481678,-0.003634313,-0.005823608,-0.005327022
51.998308659,-0.02022979,0.01238776,0.0004616933
52.999608517,-0.002396872,0.01045996,-0.002064659
53.998436451,0.00330974,0.004895839,0.0001603194
54.999736786,0.0002145859,0.002715404,-0.004204561
55.998564720,0.004173042,0.001351038,0.002209384
56.999864578,0.009541904,0.002638839,0.0003961671
57.998692513,0.00217162,0.006581753,-0.00444902
58.999992371,-0.001375502,0.004527655,0.0002166112
59.998820305,0.003452821,0.002266611,-0.003077704
61.000120163,-0.00184742,-0.0009006453,0.0070518
61.998948097,-0.00468856,0.008647686,0.0001025915
63.000247955,0.005738911,0.003429608,0.01203823
63.999075890,0.004685673,-0.000354456,7.440165E-05
65.000375748,0.004615474,-0.0005984805,-0.001781537
65.999203682,0.001158648,0.002689932,0.008844232
66.998031139,-0.001819102,0.004673429,-0.003024998
67.999331474,-0.0130208,0.01031712,0.008053962
68.998158932,0.03212661,0.03323346,0.004880174
69.999458790,0.02542875,0.007245993,-0.002237831
70.998286724,0.0120938,-0.005265733,-0.004222598
71.999587059,0.0124145,-0.002644473,-0.005288238
72.998414516,0.007230061,-0.008643381,-0.004614092
73.999714375,0.002539412,-0.007022737,-0.004692527
74.998542309,-0.01528208,0.00230809,0.0004406538
75.999842644,-0.02211681,-0.006860044,0.005642146
76.998670101,-0.00232708,-0.02990339,-0.001723145
77.999969959,-0.01347068,-0.006952595,0.002711628
78.998797894,-0.006706809,-0.008632352,0.003633516
80.000097752,-0.008120015,-0.003813505,-0.0009979843
80.998925209,-0.001362566,-0.00237129,8.132466E-05
82.000225067,0.007182634,-0.02617687,-0.003309659
82.999053001,0.02042519,-0.01388949,-0.006022306
83.997879982,0.001203738,-0.0215866,-0.002887223
84.999179840,0.006105725,-0.009641549,-0.001516487
85.998007298,0.002021182,-0.004116572,-0.002283332
86.999307156,0.00414983,-0.001931929,0.0002425098
87.998134613,0.001354832,-0.001694484,-0.004788292
88.999434471,-0.01277737,-0.008171549,-0.002190122
89.998262405,-0.02388782,0.006484338,0.01592628
90.999561787,0.004489081,0.01671111,-0.0002834564
91.998389721,-0.01098385,0.01287482,-0.001035173
92.999689579,-0.0006332448,0.005780176,-0.00486065
93.998516560,-0.002707303,0.0007299357,-0.002246698
94.999816418,0.03517608,-0.005021143,-0.0005545242
95.998643875,-0.002331566,0.01218763,-0.005208842
96.999943733,0.007588195,0.006584555,0.00118369
97.998771191,0.002404692,0.004485687,-0.001349455
98.997598171,-0.008810558,-0.02228359,0.001239177
99.998898029,0.00976337,-0.02009771,0.0013233
100.997725487,-0.003288135,-0.02222068,-0.002437904
101.999025345,0.001442208,-0.007708074,-0.006078835
102.997852802,0.0009616955,-0.004905148,-0.0009188068
103.999152660,-0.001732303,-0.004417626,0.001004029
104.997979641,0.005956028,0.005267845,-0.000463269
105.999279499,0.0009564513,0.002843791,-0.004119706
106.998106956,-0.008596078,-0.00825558,-0.004220167
107.999406815,0.02037158,-0.004651911,0.008391036
108.998234272,0.005264618,-0.004811291,-0.004158399
109.999534130,0.004333856,-0.003368232,0.005178037
110.998361111,0.01046353,0.004467231,-0.002037446
111.999660969,0.00571803,-0.003400546,0.0009866864
112.998488426,0.01413587,0.01221094,0.004327061
113.999788761,-0.01076933,-0.01120403,0.001151421
114.998616219,-0.04659895,0.01180672,0.004663655
115.997443676,-0.008127842,0.01206403,0.004331178
116.998743534,-0.002217417,0.008667774,-0.005136373
117.997570515,0.00479722,0.007773906,-0.006160702
118.998870373,0.004386152,0.006339619,-0.0035968
119.997698307,-0.0003781412,0.000923498,0.0002530551
120.998998165,0.003935639,0.003038815,0.006777192
121.997825623,0.00700084,-0.02377657,0.00230843
122.999125481,0.04188311,0.001196324,0.002326585
123.997952938,0.02706648,0.012214,-0.002417446
124.999252796,0.007506602,-0.01026056,6.24751E-05
125.998079777,0.006768318,-0.006868096,0.001401705
126.999380112,0.004428182,-0.00634641,0.003463473
127.998208046,-0.007422938,0.01028028,0.00892607
128.999507904,0.009651762,0.01088226,-0.004322158
129.998334885,-0.001333392,0.006468369,0.008304069
130.999634743,0.002008362,0.004679435,-0.0007115785
131.998462200,0.001953851,0.006526364,-0.0003823586
132.997289181,0.0009920138,-0.00241844,0.0004356711
133.998588562,-0.004965756,0.003531681,0.001365336
134.997416496,0.004874656,0.002301644,0.004359598
135.998715878,0.003029085,-0.002448283,-0.001148957
136.997542858,-0.0008027487,-2.0338E-05,0.0005918168
137.998843193,0.001358801,0.001637033,0.003715284
138.997669697,0.001932851,0.001693127,0.006578857
139.998969555,0.007301471,-0.01096586,0.00625818
140.997796535,0.03271202,-0.03070241,0.006976292
141.999095917,0.0141352,-0.01419393,-0.005217278
142.997923374,0.008314929,-0.027548,0.003022834
143.999222279,0.005757925,-0.009130811,-0.004683308
144.998049736,0.0002801668,-0.007483809,-0.003416921
145.999349117,0.003859449,-0.002936395,-0.006160075
146.998176098,-0.001851118,0.004247705,-0.009462295
147.999475479,0.002471732,-0.001129952,-0.003760746
148.998302937,0.02373215,0.04026946,-0.005415509
149.997129917,-0.0414893,-0.0083914,0.004090633
150.998429298,-0.006950594,0.02585394,0.007629709
151.997256279,0.001475675,0.01721635,-0.00252069
152.998555660,-0.00464361,0.0103343,0.001223003
153.997383118,0.001498794,0.002361845,0.002868068
154.998682022,-0.001125249,0.002906003,-0.004070908
155.997509480,-0.008190366,-0.01507192,0.003795167
156.998808861,0.01455282,-0.02442085,-6.295042E-06
157.997635365,0.01207565,-0.01932652,-0.002194608
158.998934746,0.01175892,-0.01790959,0.001392324
159.997761726,0.008545729,-0.003570338,-0.0004521272
160.999061108,0.009103524,-0.001159309,0.003994342
161.997888088,-0.0008966654,-0.01239922,-0.005737286
162.999187469,-6.28792E-05,-0.0005700074,-0.0001706955
163.998013973,0.008433051,0.003408702,0.005501274
164.999313831,-0.006327164,0.01026472,0.007183361
165.998140812,-0.01261166,0.01535611,-0.002125257
166.996967793,-0.007074362,0.008586524,-0.005416903
167.998267174,-0.003726615,0.004522995,0.001597462
168.997093678,0.009656198,0.01120904,-0.00160948
169.998393536,-0.004511965,-0.0005233882,-0.005090584
170.997220039,-0.00496901,0.008839017,-0.00199619
171.998519421,0.001928782,0.0001759266,0.001735944
172.997345924,0.00501439,0.006902827,-0.0004955844
173.998645306,-0.001537377,0.002581896,-0.002966193
174.997471809,-0.003544412,0.0002112762,-0.001913082
175.998771191,0.03498543,0.009523004,0.002095819
176.997597694,0.0272114,0.009578791,0.0005828424
177.998897076,0.002823333,0.007898955,-0.005119494
178.997723579,0.002094343,0.001616245,0.005657758
179.999022961,0.001789118,-0.008618922,-0.01283996
180.997849464,-0.004725145,0.009616412,-0.007609412
181.996675968,-0.0008057065,0.01063018,-1.543737E-05
182.997974396,-7.913393E-05,0.004870988,0.002633599
183.996801376,0.00321772,-0.01611148,0.004923763
184.998099804,0.0298858,-0.01287835,-0.002296868
185.996926308,0.01954109,0.01545329,0.002478186
186.998224735,0.008266347,-0.005540922,-0.00496621
187.997051239,0.005899849,-0.00509859,-0.001263637
188.998350620,0.0008328088,0.0001726671,-0.00292885
189.997177124,0.001791864,-0.001726897,-0.0002808507
190.998476028,-0.0006163829,-0.001966055,-0.003440126
191.997302532,0.000295745,-0.003667397,-0.001234586
192.998600960,0.008032233,-0.007312855,0.002635137
193.997427464,-0.04904794,0.00716378,0.02220506
194.998726845,-0.0247512,0.0214409,-0.002964091
195.997553349,-0.009567428,0.0151837,-0.005853313
196.998852253,-0.01302996,0.01018301,-0.00380906
197.997678757,-0.002619701,0.003643597,-0.001250981
198.996505260,0.003774084,0.005992724,0.002350336
199.997803688,0.004574228,0.0007505598,-0.005614908
200.996630192,0.002123621,-0.02805997,-9.287847E-05
201.997929096,0.01953457,-0.007899293,0.0008719871
202.996755600,0.01876907,0.02573221,0.00113771
203.998054028,0.01147651,-0.007262234,0.006473701
204.996880531,0.0069102,-0.008538445,0.003263024
205.998179436,0.008752394,-0.001014621,-0.0008257284
206.997005939,0.005183484,-0.02448459,-0.004808115
207.998305321,-0.02578272,0.02068369,-0.01100971
208.997130871,0.008587281,0.01514411,0.006883981
209.998430252,-0.009667214,0.01506267,-0.005776007
210.997256279,0.002060171,0.008875296,-0.001093367
211.998555660,0.0271447,-0.02737368,-0.001405171
212.997381210,0.02533729,0.001008044,-0.007325237
213.998680592,0.01505879,-0.03031555,0.003681936
214.997506618,0.001717905,-0.01104784,-0.01042983
215.996332645,0.004951146,-0.006248898,-0.0008961122
216.997631550,0.007359137,0.0003480482,-0.006967461
217.996457577,0.004350665,-0.0009427164,0.000700571
