Time (s),Roll (deg),Pitch (deg),Yaw (deg)
0.000000000,-1.865175,6.065126,-66.6851
0.998825550,-1.882114,6.063718,-66.69784
2.000123024,-1.872847,6.081507,-66.66232
2.998949051,-1.882574,6.13288,-67.29037
4.000247002,-1.964311,5.842006,-67.80679
4.999072075,-2.071225,5.83811,-67.50073
6.000370026,-2.297875,6.197914,-38.36482
6.999195099,-2.126538,6.319246,2.057517
8.000493050,-1.88313,5.932571,21.76836
8.999318600,-1.994406,5.569604,24.23981
10.000616074,-2.163249,5.323116,24.41388
10.999441624,-2.279002,5.162633,24.35137
12.000739574,-2.330398,5.035373,24.36141
12.999565601,-2.369238,4.954773,24.39144
13.998390675,-2.397403,4.933352,24.4056
14.999688625,-2.424389,4.919046,24.46957
15.998514652,-1.907998,4.889916,24.30324
16.999812603,-1.505717,4.696984,24.33815
17.998638153,-2.154706,4.957407,29.73247
18.999936104,-2.69927,6.049292,71.4908
19.998762131,-1.823443,5.155463,88.12952
21.000060558,-2.228279,5.285623,87.82794
21.998886585,-2.099447,4.850489,80.88792
23.000185013,-1.680477,3.800857,39.66534
23.999011040,-1.683003,3.494645,8.113778
25.000309944,-2.031132,3.705316,-1.777728
25.999135494,-2.214492,4.070256,-0.5481203
27.000434875,-2.333421,4.246005,-0.5580652
27.999260902,-2.409937,4.375029,-0.5605815
29.000560284,-2.454791,4.440079,-0.5555342
29.999386787,-2.475277,4.467834,-0.545224
30.998213291,-2.487507,4.497011,-0.5509439
31.999511719,-2.837652,5.273393,27.76487
32.998338223,-2.161996,5.83672,69.5673
33.999637604,-1.76293,5.676022,88.12413
34.998465061,-2.057384,5.205165,87.13683
35.999763966,-2.216894,4.963767,87.05877
36.998590946,-2.349345,4.805349,87.02928
37.999890804,-1.754543,4.008536,58.57252
38.998717308,-1.626496,3.444128,21.67006
40.000017166,-1.845357,3.620238,9.815123
40.998844624,-2.17321,3.963838,8.640491
42.000144482,-2.285225,4.134329,8.752546
42.998971462,-2.364519,4.299455,8.752472
44.000271320,-1.732176,3.856883,-13.3808
44.999098778,-1.259681,3.291453,-55.31053
46.000398636,-1.543294,3.444635,-75.26511
46.999226570,-1.970662,3.740072,-80.73141
47.998054028,-2.135907,4.048584,-80.44742
48.999353886,-2.261977,4.229541,-80.41903
49.998181820,-2.32796,4.296658,-80.37814
50.999481678,-2.221563,4.290885,-84.11794
51.998308659,-2.115861,3.820751,-105.6531
52.999608517,-2.328882,4.049282,-107.0198
53.998436451,-2.370574,4.226401,-107.0435
54.999736786,-2.354962,4.303628,-107.0788
55.998564720,-2.170228,4.205398,-114.7428
56.999864578,-2.311146,4.020383,-126.8124
57.998692513,-2.383767,4.217572,-125.7639
58.999992371,-2.41577,4.323205,-125.5662
59.998820305,-2.42012,4.37264,-125.5677
61.000120163,-2.419147,4.420413,-125.5652
61.998948097,-2.430269,4.411267,-126.0256
63.000247955,-2.313294,4.182452,-135.0623
63.999075890,-2.445993,4.317469,-135.5846
64.997902870,-2.430195,4.367892,-135.5024
65.999203682,-2.440583,4.407086,-135.4751
66.998031139,-2.4299,4.417826,-135.4593
67.999331474,-1.677967,3.83503,-160.6917
68.998158932,-1.287407,3.187102,152.5732
69.999458790,-1.598495,3.458762,136.8637
70.998286724,-2.037207,3.813863,133.7147
71.999587059,-2.179698,4.079758,134.0005
72.998414516,-2.304934,4.239901,134.0769
73.999714375,-2.350756,4.440171,134.1542
74.998542309,-2.852399,4.900471,147.1462
75.999842644,-2.444714,5.547154,-171.009
76.998670101,-1.790087,5.711468,-130.9625
77.999969959,-1.575383,5.460653,-115.8199
78.998797894,-1.944232,5.009262,-116.78
80.000097752,-2.116908,4.789967,-116.8105
80.998925209,-2.232964,4.651894,-116.8294
81.997753143,-2.563397,5.188718,-86.80331
82.999053001,-2.039141,5.590256,-46.16612
83.997879982,-1.67956,5.409015,-28.23517
84.999179840,-2.064344,4.965932,-29.08626
85.998007298,-2.23397,4.694339,-29.26656
86.999307156,-2.312557,4.530276,-29.19354
87.998134613,-2.369531,4.490612,-29.25862
88.999434471,-1.573868,3.600024,-63.26841
89.998262405,-1.327923,3.171732,-104.5716
90.999561787,-1.813578,3.41333,-116.6632
91.998389721,-2.042716,3.868294,-115.5718
92.999689579,-2.182128,4.061635,-115.5411
93.998516560,-2.303596,4.163748,-115.5956
94.999816418,-2.33706,4.252215,-115.6334
95.998643875,-2.159387,3.929354,-131.0336
96.997470856,-2.395729,4.025998,-134.9742
97.998771191,-2.382152,4.162151,-135.0027
98.997598171,-2.837128,4.626264,-119.9418
99.998898029,-2.170343,5.532047,-73.66309
100.997725487,-1.833494,5.395423,-55.69042
101.999025345,-2.103729,4.943494,-56.57762
102.997852802,-2.244764,4.708511,-56.76608
103.999152660,-2.320853,4.559139,-56.75402
104.997979641,-2.364849,4.466362,-56.64298
