Time (s),Humidity (%)
0.000000000,25.12598
0.998825550,23.61816
2.000123024,25.39746
2.998949051,26.45703
4.000247002,26.32715
4.999072075,24.125
6.000370026,24.61914
6.999195099,25.17285
8.000493050,26.03223
8.999318600,25.79785
10.000616074,25.11426
10.999441624,26.98633
12.000739574,27.49219
12.999565601,23.46582
14.000863075,25.00879
14.999688625,26.84473
16.000986576,25.34961
16.999812603,24.62012
17.998638153,25.58594
18.999936104,26.37402
19.998762131,25.04395
21.000060558,26.28027
21.998886585,24.99707
23.000185013,24.53711
23.999011040,27.19922
25.000309944,24.57324
25.999135494,27.05762
27.000434875,25.2334
27.999260902,25.61035
29.000560284,25.5625
29.999386787,25.20996
31.000685215,24.79785
31.999511719,23.7959
32.998338223,25.86914
33.999637604,25.15137
34.998465061,24.25684
35.999763966,25.24609
36.998590946,25.58789
37.999890804,24.65723
38.998717308,24.70508
40.000017166,24.15137
40.998844624,24.83398
42.000144482,26.10645
42.998971462,26.09473
44.000271320,25.91797
44.999098778,26.30664
46.000398636,25.75391
46.999226570,24.98828
48.000526428,25.57715
48.999353886,24.42285
49.998181820,23.77441
50.999481678,23.95117
51.998308659,25.35352
52.999608517,24.68262
53.998436451,25.56543
54.999736786,24.26953
55.998564720,24.69434
56.999864578,24.56445
57.998692513,25.84863
58.999992371,25.25977
59.998820305,24.19922
61.000120163,26.00098
61.998948097,24.91797
63.000247955,26.69629
63.999075890,26.9082
65.000375748,26.94336
65.999203682,24.92969
66.998031139,24.22266
67.999331474,25.02344
68.998158932,25.42383
69.999458790,23.35059
70.998286724,27.21387
71.999587059,26.1543
72.998414516,26.71973
73.999714375,24.74121
74.998542309,23.43359
75.999842644,23.71582
76.998670101,24.30469
77.999969959,26.31836
78.998797894,23.78613
80.000097752,26.09473
80.998925209,25.24707
82.000225067,25.65918
82.999053001,24.88184
83.997879982,24.19824
84.999179840,26.51855
85.998007298,25.88281
86.999307156,25.72949
87.998134613,26.00098
88.999434471,25.12891
89.998262405,25.08203
90.999561787,25.07031
91.998389721,25.16504
92.999689579,26.35352
93.998516560,23.98633
94.999816418,23.45605
95.998643875,25.22363
96.999943733,25.01172
97.998771191,26.0127
99.000071049,25.60059
99.998898029,25.59961
100.997725487,25.44629
101.999025345,25.02344
102.997852802,24.74023
103.999152660,26.05957
104.997979641,24.35156
105.999279499,25.07031
106.998106956,23.91602
107.999406815,25.34082
108.998234272,25.23438
109.999534130,23.80957
110.998361111,27.08398
111.999660969,26.3418
112.998488426,26.17773
113.999788761,23.77441
114.998616219,25.84766
115.997443676,25.07031
116.998743534,26.05957
117.997570515,24.16309
118.998870373,25.50586
119.997698307,24.06934
120.998998165,23.72754
121.997825623,23.78613
122.999125481,25.51758
123.997952938,26.29492
124.999252796,26.11816
125.998079777,25.76563
126.999380112,25.37695
127.998208046,26.41309
128.999507904,25.16504
129.998334885,26.12988
130.999634743,25.45898
131.998462200,25.09375
132.997289181,24.85742
133.998588562,25.34082
134.997416496,24.7168
135.998715878,26.12988
136.997542858,24.5752
137.998843193,24.11621
138.997669697,25.4707
139.998969555,23.86816
140.997796535,24.7168
141.999095917,24.94043
142.997923374,25.42285
143.999222279,22.70117
144.998049736,26.44727
145.999349117,25.21094
146.998176098,25.06934
147.999475479,25.08105
148.998302937,25.64648
149.997129917,23.27832
150.998429298,24.82227
151.997256279,26.45898
152.998555660,26.03516
153.997383118,25.41113
154.998682022,24.38672
155.997509480,23.87988
156.998808861,25.39941
157.997635365,23.14941
158.998934746,25.09277
159.997761726,25.39941
160.999061108,23.93848
161.997888088,24.75098
162.999187469,25.32813
163.998013973,25.45801
164.999313831,26.82422
165.998140812,25.68164
166.996967793,25.69336
167.998267174,25.22266
168.997093678,23.25488
169.998393536,25.17578
170.997220039,25.95215
171.998519421,24.0332
172.997345924,25.5166
173.998645306,26.46973
174.997471809,24.80957
175.998771191,24.2793
176.997597694,25.79883
177.998897076,25.66895
178.997723579,25.95117
179.999022961,27.01074
180.997849464,24.79785
181.999147892,26.43457
182.997974396,23.54883
183.996801376,26.30469
184.998099804,25.48047
185.996926308,23.41895
186.998224735,25.65723
187.997051239,24.37305
188.998350620,26.01074
189.997177124,26.5166
190.998476028,25.58691
191.997302532,26.32813
192.998600960,25.35059
193.997427464,25.32715
194.998726845,25.35059
195.997553349,25.42188
196.998852253,26.03418
197.997678757,25.65723
198.998977184,26.05762
199.997803688,26.32813
200.996630192,26.26953
201.997929096,25.04492
202.996755600,25.375
203.998054028,25.93945
204.996880531,23.74902
205.998179436,25.43359
206.997005939,26.38672
207.998305321,26.36328
208.997130871,24.43262
209.998430252,24.57324
210.997256279,24.52637
211.998555660,24.66699
212.997381210,25.06738
213.998680592,24.26758
214.997506618,24.62109
215.998805046,24.60938
216.997631550,24.24414
217.996457577,25.38574
218.997756004,26.00977
219.996582985,25.98633
