Time (s),X (g),Y (g),Z (g)
0.000000000,0.0001328066,-0.004077964,-0.002205253
0.998825550,-0.003876805,-0.0009428523,-0.002598763
2.000123024,-0.002050027,-0.001601044,0.004096985
2.998949051,-0.008978985,-0.01065744,-0.01266068
4.000247002,-0.003388494,0.006365679,-0.003813267
4.999072075,-0.0007701144,-0.006741922,-0.005022943
6.000370026,0.02427772,-0.006955225,0.001338422
6.999195099,0.03022682,-0.002140265,0.006367981
8.000493050,0.01117395,-0.008839339,-0.008814514
8.999318600,0.0123207,-0.00780696,0.0005851984
10.000616074,0.008030362,-0.003445122,0.003175437
10.999441624,0.001323573,-0.005803101,-0.006145
12.000739574,0.005434841,-0.0004448444,-0.008159697
12.999565601,-0.002283745,-0.001862213,0.002240837
14.000863075,0.0007202923,0.002542861,0.001811326
14.999688625,-0.005368367,-0.002371434,-0.00256598
15.998514652,-0.00328669,0.007235799,-0.01930118
16.999812603,-0.001100458,-0.00308463,-0.005081654
17.998638153,0.009476937,-0.001465783,-0.005996525
18.999936104,0.02608916,0.004362021,0.00668031
19.998762131,0.01254736,0.01842097,-0.001553655
21.000060558,0.007881902,-0.005654495,-0.005029321
21.998886585,0.004589267,0.004280221,-0.0003119111
23.000185013,0.0002371818,-0.01140035,-0.002653718
23.999011040,-0.02370447,-0.01935666,-0.006879747
25.000309944,-0.009116225,-0.01707619,-0.0008532405
25.999135494,-0.01032022,-0.004811715,-0.006767929
27.000434875,-0.0009132102,0.001671322,-0.003541946
27.999260902,0.0004072487,-0.001850553,-0.006274939
29.000560284,7.130951E-05,0.0007898249,0.001531065
29.999386787,-0.002923109,0.001122322,-0.004606962
30.998213291,-0.0009488687,0.003268503,-0.0007066727
31.999511719,0.02629773,0.00998893,-0.005532444
32.998338223,0.0242467,0.03435561,0.003814399
33.999637604,0.02395695,0.01844554,-0.01695275
34.998465061,0.008870013,-0.0008676983,0.003469706
35.999763966,0.006695531,-0.004786916,-0.006974459
36.998590946,0.00594651,-0.003927689,-0.004293442
37.999890804,-0.004085183,-0.005426763,0.000154376
38.998717308,-0.008670747,-0.03072477,-0.007727683
40.000017166,-0.01802722,-0.01654669,0.00192064
40.998844624,-0.01173817,0.0002575666,-0.0006042719
42.000144482,-0.001419976,0.004240166,-0.001269698
42.998971462,-0.0007413775,-0.01042229,0.002986073
