Time (s),Gyroscope (deg/s),Accelerometer (g),Magnetometer (uT)
0,0.1171683,0.9912114,45.5453
0.99882555,0.4443772,0.9911461,45.1641
2.000123024,0.3512322,0.9976209,45.5453
2.998949051,0.8173798,0.9821262,44.56252
4.000247002,1.029444,0.9896415,45.06863
4.999072075,2.086482,0.988628,44.86555
6.000370026,39.10973,0.9925675,48.63766
6.999195099,29.81233,0.9968084,50.18501
8.00049305,7.320198,0.983735,49.51589
8.9993186,0.7386472,0.9930296,49.31398
10.00061607,0.7239481,0.9958513,49.0506
10.99944162,0.6002963,0.9872861,49.71719
11.9982667,0.1994584,0.9866349,49.10546
12.9995656,0.1208438,0.9957803,48.82691
13.99839068,0.1959559,0.9917188,49.07779
14.99968863,0.4227518,0.9912992,49.0506
15.99851465,4.347983,0.9741272,49.31398
16.9998126,0.1815675,0.9883828,49.16304
17.99863815,32.02211,0.9865731,48.53288
18.9999361,42.8774,0.9973074,43.46807
19.99876213,6.330989,0.9902518,40.17815
21.00006056,0.9575217,0.9878011,39.89229
21.99888659,31.16666,0.9924317,40.65805
23.00018501,42.68135,0.9910017,46.953
23.99901104,13.82002,0.9889072,50.23198
25.00030994,1.915408,0.9937994,50.97104
25.99913549,0.4125472,0.9875154,50.81332
26.99796248,0.144535,0.9846458,50.52901
27.9992609,0.188731,0.9870659,50.84941
28.99808741,0.0573504,0.996784,50.5653
29.99938679,0.1412987,0.988867,50.41687
30.99821329,0.2357473,0.9925046,50.24075
31.99951172,43.56139,0.9852269,49.26064
32.99833822,36.96096,0.9941924,43.73538
33.9996376,2.590572,0.9738785,40.40099
34.99846506,0.6924819,0.9959879,40.44664
35.99976397,0.7730201,0.9859608,40.65805
36.99859095,0.3565958,0.9886788,40.91687
37.9998908,43.22705,0.9938952,45.1088
38.99871731,19.45898,0.9874734,48.96936
40.00001717,10.42652,0.9971533,50.50234
40.99884462,1.848092,0.9935402,50.21598
42.00014448,0.2124846,0.9919458,50.53452
42.99897146,0.2634395,0.996781,50.40592
43.99779892,41.5269,0.9882513,50.37236
44.99909878,38.95607,0.9960476,47.55113
45.99792671,12.26586,0.9915464,45.19729
46.99922657,2.615353,1.003532,43.04379
47.99805403,0.3235542,0.9888903,43.34397
48.99935389,0.540639,0.9925711,44.45325
49.99818182,0.3003105,0.9980084,43.35756
50.99948168,18.78044,0.9879283,43.31041
51.99830866,9.080601,0.9940144,39.57063
52.99960852,0.4707447,0.9912466,38.68433
53.99843645,0.1391432,0.9934466,39.11234
54.99973679,0.1716985,0.9890382,38.29729
55.99856472,18.98619,0.9955011,37.34154
56.99986458,1.231055,0.9937146,35.46232
57.99869251,0.8510461,0.988813,35.61177
58.99999237,0.310321,0.9934978,35.05295
59.99882031,0.1303445,0.9901787,35.27375
60.99764824,0.2989495,0.9979218,35.09931
61.9989481,0.5488297,0.9934208,35.05295
62.99777603,10.75329,0.9924049,33.83752
63.99907589,1.608143,0.9933545,33.71671
64.99790287,0.07680824,0.9929865,32.63726
65.99920368,0.1391432,1.002177,32.58287
66.99803114,0.1854614,0.990236,33.20916
67.99933147,49.17745,1.001511,29.09389
68.99815893,31.75019,0.999245,27.29358
69.99945879,11.13532,0.9913632,29.87957
70.99828672,2.326579,0.9891019,31.05904
71.99958706,0.5172534,0.9880241,30.36043
72.99841452,0.4076785,0.9886864,30.90403
73.99971438,0.4498176,0.9885722,30.31642
74.99854231,38.08824,0.9938359,28.38103
75.99984264,42.41806,0.999223,27.65829
76.9986701,31.16114,0.9919938,34.12636
77.99749804,0.8921206,0.9958033,36.92114
78.99879789,0.5645005,0.9969889,37.17245
79.99762535,0.1219066,0.9869832,37.84946
80.99892521,0.1845015,0.9933545,37.53243
81.99775314,42.82708,0.9926071,42.44533
82.999053,36.28147,0.9875231,48.57578
83.99787998,1.028219,0.990604,49.73382
84.99917984,1.361046,0.9918097,49.88607
85.9980073,0.5002989,0.9909815,49.88607
86.99930716,0.6773138,0.9935237,50.24586
87.99813461,0.5345312,0.9884502,50.25038
88.99943447,51.31912,0.9911754,46.67274
89.99826241,23.32048,1.009601,39.6906
90.99956179,0.7508584,0.9931293,37.20227
91.99838972,0.8023915,0.9923679,37.31081
92.99968958,0.5791981,0.9883901,37.72329
93.99851656,0.2258781,0.9910092,37.94108
94.99734402,1.318559,0.9917676,37.61948
95.99864388,16.07875,0.9881,34.74017
96.99747086,2.038539,0.9902738,33.71202
97.99877119,0.4681265,0.9919218,33.6234
98.99759817,45.24962,0.9948077,36.12261
99.99889803,28.50477,0.9948592,44.58968
100.9977255,1.253677,0.991075,47.15444
101.9990253,0.2982949,0.9871816,47.3883
102.9978528,0.1709087,0.9923571,46.88267
103.9991527,0.1106846,0.9942909,46.99386
104.9979796,0.345189,0.9928343,47.3883
105.9992795,1.005056,0.9891254,47.60384
106.998107,1.184697,0.9890919,47.26177
107.9994068,27.30177,1.00194,49.46657
108.9982343,0.9000149,0.9891101,50.09753
109.9995341,0.2849573,0.9984978,50.09753
110.9983611,0.4483879,0.9912837,50.10204
111.997189,0.8452773,0.9937154,50.50405
112.9984884,13.54461,0.9978017,50.40099
113.9973164,42.32592,0.9902698,46.74127
114.9986162,22.03571,0.9991202,40.82985
115.9974437,8.13574,0.9977299,37.8244
116.9987435,0.9739223,0.9881343,37.84946
117.9975705,0.3144267,0.9871061,38.14912
118.9988704,0.22229,0.9896764,37.72024
119.9976983,0.1741574,0.9935225,37.72329
120.9989982,0.2080586,1.000103,38.04586
121.9978256,42.2899,0.9959062,41.45319
122.9991255,35.05841,0.9965066,47.19868
123.9979529,1.31159,0.9912885,49.55356
124.9992528,0.22229,0.9934154,49.60946
125.9980798,0.5212804,0.9947274,49.3636
126.9969077,41.21177,0.9900331,47.11565
127.998208,10.51154,1.002331,43.06197
128.997035,1.730812,0.9921958,41.59083
129.9983349,0.3998655,1.001648,40.69775
130.9971623,0.2330523,0.9956936,40.92308
131.9984622,0.0540831,0.9929058,41.28872
132.9972892,0.2609529,0.9937097,41.34287
133.9985886,15.94104,0.994659,38.88671
134.9974165,2.886696,0.9976702,37.38008
135.9987159,0.3717372,0.9921175,38.37383
136.9975429,0.2268317,0.9938635,37.43199
137.9988432,0.1477412,0.9970106,37.90865
138.9976697,0.2094818,0.9998944,37.60108
139.9989696,35.65845,0.9996573,39.32172
140.9977965,48.61343,1.001313,46.54588
141.9990959,18.02642,0.9882254,50.14784
142.9979234,1.052525,0.9967342,49.95148
143.9967504,0.4693129,0.9888431,50.35652
144.9980497,0.2986792,0.9898568,50.06833
145.9968772,0.3153774,0.9890713,50.47247
146.9981761,0.3608367,0.9837525,50.06833
147.9970036,0.6191548,0.9941016,50.59368
148.9983029,37.8831,0.9889335,50.55385
149.9971299,52.17055,0.9982838,43.72622
150.9984293,17.44742,1.001302,38.07335
151.9972563,0.8881482,0.9908774,37.65628
152.9985557,0.2773879,0.9945612,38.23263
153.9973831,0.04995868,0.9961578,38.45546
154.998682,0.1199881,0.9891734,37.41867
155.9975095,38.94476,0.9972388,39.62997
156.9988089,42.18769,0.9936773,46.88267
157.9976354,15.55502,0.9913279,50.09731
158.9989347,3.667081,0.9949059,50.30474
159.9977617,0.2992872,0.9928575,50.21379
160.9965882,0.9026222,0.9926278,50.30474
161.9978881,0.6231279,0.9875712,50.1813
162.9967151,0.141487,0.9936929,50.54914
163.998014,31.23711,0.9988468,50.68842
164.9968414,26.55623,0.9923843,47.17471
165.9981408,11.08639,0.9913245,45.05128
166.9969678,1.775949,0.9878749,44.73987
167.9982672,0.5789282,0.9948919,44.86372
168.9970937,0.1718365,0.9917577,44.81045
169.9983935,16.43924,0.9881509,43.51007
170.99722,3.187855,0.9913084,41.62741
171.9985194,0.8632413,0.9950163,41.99625
172.9973459,0.3937436,0.992805,41.62741
173.9986453,0.1859363,0.9902856,41.92321
174.9974718,21.24487,0.991349,42.07526
175.9987712,7.238595,0.9960468,45.61848
176.9975977,1.603495,0.9942779,45.61848
177.9964242,1.150444,0.9899106,45.69424
178.9977236,0.7098619,0.9989686,45.85646
179.9965501,28.6598,0.9580235,43.86388
180.9978495,8.273705,0.9856618,40.06907
181.996676,0.1168447,0.9933074,39.58885
182.9979744,0.4118416,0.9959302,39.465
183.9968014,45.00648,0.9983627,41.74822
184.9980998,44.73013,0.9915007,48.09241
185.9969263,9.128808,0.9960824,50.06836
186.9982247,0.3367428,0.9883208,50.41507
187.9970512,0.2877564,0.9920272,50.83366
188.9983506,0.03992328,0.99032,50.28916
189.9971771,0.3671045,0.992988,51.23154
190.998476,0.8256893,0.9898067,50.83366
191.9973025,0.957072,0.9920316,50.83163
192.998601,49.91549,0.9959773,49.83997
193.9974275,26.40909,1.016835,43.72622
194.9962544,15.62485,0.992287,39.62997
195.9975533,0.4932671,0.9875352,39.904
196.9963794,0.6908018,0.9816131,39.62997
197.9976788,1.00491,0.9920172,39.50281
198.9965053,0.2524743,0.9956585,40.12703
199.9978037,0.4702795,0.9876248,39.3662
200.9966302,50.19931,0.9935781,41.42781
201.9979291,30.26733,0.9943767,49.38508
202.9967556,0.2780276,0.9949332,49.92406
203.998054,0.3558059,0.9998804,50.55883
204.9968805,0.2144982,0.9966149,50.4306
205.9981794,0.1249895,0.9924759,50.83366
206.9970059,55.58724,0.9887437,49.54963
207.9983053,24.57123,0.9827364,42.60642
208.9971309,2.303237,1.000345,38.8036
209.9984303,0.8120162,0.9876119,39.3662
210.9972563,0.2042789,0.9922067,40.17604
211.9960828,57.10598,0.9928387,45.30194
212.9973812,23.05978,0.9862275,50.21127
213.9962082,2.127809,0.9929801,50.19484
214.9975066,0.1802596,0.9828327,49.92181
215.9963326,0.1523302,0.9923981,50.68596
216.9976316,0.1928374,0.9862807,50.67437
217.9964576,1.501201,0.9939823,50.41507
218.997756,1.462231,0.9900052,50.06628
219.996583,0.5179206,0.9951372,50.2745
