Time (s),XX,XY,XZ,YX,YY,YZ,ZX,ZY,ZZ
0.000000000,0.3916965,0.9121623,0.07174669,-0.9088585,0.3968696,-0.08396149,-0.1056588,-0.03214544,0.9871175
0.998825550,0.3914957,0.9122304,0.07198709,-0.9089487,0.3966911,-0.08383715,-0.1056344,-0.03243735,0.9871106
2.000123024,0.3920452,0.91199,0.0720151,-0.9086737,0.3972515,-0.08414008,-0.1059431,-0.03227662,0.9870828
2.998949051,0.3820374,0.9162976,0.07159133,-0.9128597,0.3872856,-0.08567818,-0.1068347,-0.03244105,0.9869818
4.000247002,0.3740056,0.9197416,0.07020398,-0.916784,0.3789832,-0.08110927,-0.1017857,-0.03386725,0.9874658
4.999072075,0.3788937,0.9175563,0.07231608,-0.9147637,0.3840315,-0.07995091,-0.101718,-0.03571004,0.9874075
6.000370026,0.774757,0.6130404,0.109376,-0.6132907,0.7814085,-0.03549993,-0.1079632,-0.03958926,0.9865991
6.999195099,0.9865243,-0.03970326,0.1086038,0.03544176,0.9917901,0.04076761,-0.1100682,-0.03663015,0.986481
8.000493050,0.9176588,-0.3713838,0.0839184,0.3664496,0.920904,0.06851573,-0.103358,-0.03246274,0.9873495
8.999318600,0.9016362,-0.4107293,0.07435275,0.4059646,0.9040335,0.071238,-0.09705492,-0.03440242,0.9879219
10.000616074,0.9007753,-0.4135452,0.06902257,0.4088729,0.9026374,0.0723605,-0.09277231,-0.037329,0.9882256
10.999441624,0.9014538,-0.4125977,0.06572968,0.4079954,0.9029849,0.07296477,-0.08998308,-0.03933565,0.9884055
11.998266697,0.9015594,-0.4127389,0.06333821,0.4082407,0.9028808,0.07287829,-0.08777618,-0.04022831,0.988567
12.999565601,0.901461,-0.4131966,0.06173961,0.4087585,0.902642,0.07294621,-0.08636937,-0.04090551,0.9886628
13.998390675,0.90139,-0.413436,0.06117997,0.4089949,0.9025109,0.07325195,-0.0859969,-0.04139289,0.9886752
14.999688625,0.9009539,-0.4144632,0.06067748,0.4100107,0.9020201,0.07364237,-0.08574813,-0.04185945,0.9886773
15.998514652,0.9021761,-0.4112623,0.06412535,0.4074097,0.9038456,0.06511278,-0.08524156,-0.0329486,0.9890565
16.999812603,0.9021854,-0.4112749,0.06390756,0.4080758,0.904065,0.05742576,-0.08188605,-0.02601094,0.9895446
17.998638153,0.8596188,-0.4952881,0.05659192,0.4909638,0.8606718,0.07515992,-0.08641516,-0.03720323,0.9888046
18.999936104,0.3142709,-0.9445939,-0.01056771,0.9387563,0.3110246,0.1147065,-0.105384,-0.04651314,0.9865757
19.998762131,0.03239378,-0.995582,-0.02834785,0.9919237,0.02967428,0.09089377,-0.08985844,-0.03147599,0.9886966
21.000060558,0.03760579,-0.995177,-0.0347842,0.9915145,0.03418453,0.09356773,-0.09212074,-0.03845296,0.9882431
21.998886585,0.1571774,-0.9833593,-0.02224637,0.9799697,0.1546044,0.0892707,-0.08455592,-0.03625543,0.9889997
23.000185013,0.7634907,-0.6357105,0.03255414,0.6330824,0.7636309,0.064646,-0.06628883,-0.02906319,0.9906235
23.999011040,0.9814988,-0.1418976,0.0562199,0.1399288,0.9826723,0.03745206,-0.06095525,-0.02911687,0.9909633
25.000309944,0.9906823,0.02851198,0.06564208,-0.03074798,0.9922277,0.03318971,-0.0646249,-0.03512921,0.9905371
25.999135494,0.9906793,0.006761435,0.07128968,-0.009477627,0.9924968,0.03770175,-0.07097965,-0.03828225,0.9899871
27.000434875,0.9904546,0.006662065,0.07436705,-0.009647407,0.9924168,0.03971975,-0.07403897,-0.040328,0.9896829
27.999260902,0.9902843,0.006512563,0.07662109,-0.009689244,0.9923637,0.04101989,-0.07628448,-0.04164252,0.9894586
28.998087406,0.9901972,0.00631218,0.07775498,-0.009596674,0.992332,0.04179666,-0.07741825,-0.04241714,0.9893378
29.999386787,0.9901614,0.006089986,0.07823054,-0.009422613,0.9923186,0.04215669,-0.07789943,-0.04276545,0.9892853
30.998213291,0.9901208,0.006150452,0.07874322,-0.009521082,0.9923095,0.04235586,-0.07840709,-0.0429749,0.9892366
31.999511719,0.8754828,-0.4663285,0.05845761,0.460904,0.8760629,0.08618071,-0.09190819,-0.04896215,0.9877994
32.998338223,0.3457008,-0.9334958,0.0007096864,0.9279402,0.3437057,0.1083075,-0.1016939,-0.03727441,0.9873526
33.999637604,0.03245884,-0.9956183,-0.02696439,0.9910606,0.02958932,0.09989628,-0.09890331,-0.03040528,0.9878695
34.998465061,0.04956703,-0.994745,-0.03077107,0.9910771,0.04651241,0.09243719,-0.09072237,-0.03550981,0.9884823
35.999763966,0.0509362,-0.9945784,-0.0336343,0.9913782,0.04777084,0.08843359,-0.08652575,-0.03827608,0.9887542
36.998590946,0.05145855,-0.9944657,-0.03603209,0.991586,0.04819024,0.08582126,-0.08377089,-0.04057139,0.9888994
37.999890804,0.5174615,-0.8496375,0.01070154,0.8468245,0.5166875,0.07544854,-0.0699051,-0.03033615,0.9903375
38.998717308,0.9215941,-0.3682896,0.04545725,0.3661892,0.9222828,0.04831754,-0.06007519,-0.02814106,0.9910448
40.000017166,0.9767928,-0.1712369,0.05675878,0.168987,0.9779158,0.04224212,-0.06314304,-0.0319204,0.990741
40.998844624,0.979647,-0.1517017,0.06265922,0.1488659,0.9809251,0.047583,-0.06912686,-0.0375739,0.9901448
42.000144482,0.9791465,-0.1538581,0.06519848,0.1507496,0.9805147,0.05007192,-0.07209505,-0.03950118,0.9898589
42.998971462,0.9789369,-0.1540633,0.06782483,0.1507161,0.9804274,0.05186432,-0.07496925,-0.0408623,0.9895914
44.000271320,0.9641698,0.2278045,0.07234615,-0.2293563,0.9664083,0.01370585,-0.06726448,-0.02995505,0.9905315
44.999098778,0.5651725,0.8169767,0.05071957,-0.8165335,0.5670139,-0.03462978,-0.0574151,-0.02179916,0.9913613
45.997926712,0.25332,0.9621152,0.04135524,-0.9611273,0.2552539,-0.05112393,-0.06008528,-0.02671462,0.9910838
46.999226570,0.1600867,0.9821282,0.04440636,-0.9809652,0.1625469,-0.05869131,-0.06523024,-0.03408241,0.9905341
47.998054028,0.1648836,0.9811277,0.04842556,-0.9797816,0.1677756,-0.06327037,-0.07060234,-0.03692538,0.9900654
48.999353886,0.1653305,0.9809131,0.05114234,-0.9794726,0.1685224,-0.06597178,-0.0737524,-0.03909473,0.9897534
49.998181820,0.1660146,0.9807229,0.05251397,-0.979266,0.1693445,-0.06688727,-0.07492056,-0.040231,0.9896209
50.999481678,0.1018111,0.9899843,0.04619881,-0.9882333,0.1049043,-0.07026932,-0.07482009,-0.0383935,0.989701
51.998308659,-0.2685447,0.960542,0.01758589,-0.9583892,-0.2665963,-0.07395782,-0.06663528,-0.03658909,0.9903517
52.999608517,-0.2912695,0.953966,0.01819848,-0.9515229,-0.2890209,-0.07922164,-0.07061449,-0.04025973,0.9899353
53.998436451,-0.2915979,0.9538711,0.01796406,-0.9511895,-0.2892361,-0.08238481,-0.07369775,-0.04097081,0.989682
54.999736786,-0.2921545,0.9537156,0.01726407,-0.9509155,-0.2897932,-0.08360311,-0.07504188,-0.04069699,0.9895923
55.998564720,-0.4165922,0.906919,0.00374246,-0.9039571,-0.4149032,-0.08228409,-0.07333216,-0.03751095,0.9898458
56.999864578,-0.5969051,0.8005571,-0.009691766,-0.7975399,-0.5956381,-0.08011276,-0.07011137,-0.03995471,0.9899828
57.998692513,-0.5820373,0.8113749,-0.009193245,-0.8080872,-0.580642,-0.08379491,-0.07354407,-0.04119918,0.9896842
58.999992371,-0.5791602,0.8134155,-0.009515021,-0.8099708,-0.5777237,-0.08564311,-0.07538259,-0.04174616,0.9895236
59.998820305,-0.5791437,0.8134218,-0.009953797,-0.809902,-0.5777093,-0.08638686,-0.0762429,-0.04181851,0.9894548
61.000120163,-0.5790707,0.8134673,-0.01044501,-0.8098751,-0.5776463,-0.08705457,-0.07707426,-0.041799,0.9893913
61.998948097,-0.5855801,0.8088154,-0.01089594,-0.8052236,-0.584166,-0.08695117,-0.0769151,-0.04199158,0.9893955
62.997776031,-0.7049566,0.7074714,-0.02303637,-0.7040793,-0.704195,-0.07991743,-0.07292964,-0.03998423,0.9897792
63.999075890,-0.7115604,0.7008332,-0.0238611,-0.6971865,-0.7107005,-0.08297446,-0.07528276,-0.04226844,0.989509
64.997902870,-0.7105092,0.7018697,-0.02455848,-0.6981574,-0.7096883,-0.08343057,-0.07616027,-0.04199275,0.9894534
65.999203682,-0.7101386,0.7022316,-0.02487649,-0.6984578,-0.7093179,-0.08404884,-0.07684234,-0.04216991,0.9893934
66.998031139,-0.7099346,0.7024285,-0.02511648,-0.6986437,-0.7091332,-0.08405589,-0.07702924,-0.04198485,0.989387
67.999331474,-0.9414532,0.3322907,-0.05342275,-0.3298449,-0.9425249,-0.04961403,-0.06688394,-0.02901861,0.9905846
68.998158932,-0.8858853,-0.4592219,-0.05960524,0.4597244,-0.8876152,0.005887643,-0.05559674,-0.0222812,0.9914538
69.999458790,-0.7277288,-0.6816286,-0.06290312,0.6818612,-0.7299288,0.02116109,-0.06033013,-0.02765629,0.9910431
70.998286724,-0.6888105,-0.7199606,-0.07140023,0.7204283,-0.6916181,0.0238209,-0.06651533,-0.03522979,0.9904089
71.999587059,-0.6921808,-0.7162105,-0.07649969,0.7167622,-0.6953907,0.02508472,-0.07114506,-0.03768059,0.9899984
72.998414516,-0.6929966,-0.7150393,-0.08002382,0.7156947,-0.6964802,0.02547866,-0.07393271,-0.03983626,0.9897107
73.999714375,-0.6937789,-0.7139389,-0.08304702,0.7145712,-0.6975685,0.02732175,-0.07741806,-0.04061687,0.9894133
74.998542309,-0.8365223,-0.5379868,-0.09847886,0.5402133,-0.8408757,0.004945591,-0.08542512,-0.04924524,0.9883657
