Time (s),W,X,Y,Z
0.000000000,-0.8340306,0.01553182,0.05317717,-0.5458496
0.998825550,-0.8339727,0.01540812,0.05324559,-0.5459349
2.000123024,-0.8341349,0.01554409,0.05333617,-0.5456743
2.998949051,-0.8311211,0.01601365,0.05367028,-0.5502078
4.000247002,-0.8287338,0.01425126,0.05188326,-0.5540155
4.999072075,-0.8302225,0.01332199,0.05240586,-0.5517557
6.000370026,-0.9420071,-0.001085272,0.05767981,-0.325457
6.999195099,-0.9964362,-0.01941864,0.05486352,0.01885345
8.000493050,-0.9788586,-0.02578985,0.04783029,0.1884423
8.999318600,-0.9747225,-0.027095,0.0439632,0.2094683
10.000616074,-0.974472,-0.02814075,0.04150834,0.2109907
10.999441624,-0.9746267,-0.02880601,0.03994164,0.2104891
11.998266697,-0.9746476,-0.02901218,0.03876129,0.2105837
12.999565601,-0.9746166,-0.02920423,0.0379916,0.2108406
13.998390675,-0.9745923,-0.02940841,0.03775344,0.2109679
14.999688625,-0.9744737,-0.02963185,0.03756531,0.2115178
15.998514652,-0.9749132,-0.02514618,0.03830262,0.2099346
16.999812603,-0.9750051,-0.02139391,0.03738278,0.2100888
17.998638153,-0.9638257,-0.02914509,0.0370936,0.255817
18.999936104,-0.8091069,-0.04981408,0.0292966,0.5819225
19.998762131,-0.7172011,-0.04265532,0.02144119,0.6927993
21.000060558,-0.7188147,-0.04591611,0.01994135,0.6909609
21.998886585,-0.7595272,-0.04131719,0.02050932,0.6462339
23.000185013,-0.9386812,-0.02495767,0.02632495,0.337919
23.999011040,-0.9952235,-0.01672211,0.02943438,0.07079475
25.000309944,-0.9975209,-0.01712218,0.03264768,-0.01485181
25.999135494,-0.9974853,-0.01904389,0.035657,-0.00407
27.000434875,-0.997409,-0.02006392,0.03719788,-0.00408796
27.999260902,-0.9973529,-0.02072045,0.03832785,-0.004061202
28.998087406,-0.9973229,-0.02110996,0.03889744,-0.003987889
29.999386787,-0.9973102,-0.0212878,0.03913777,-0.00388861
30.998213291,-0.9972978,-0.02139049,0.03939403,-0.003928499
31.999511719,-0.967741,-0.03491194,0.03884454,0.2395353
32.998338223,-0.8190702,-0.04443512,0.03125604,0.5681552
33.999637604,-0.7170534,-0.04542952,0.02508144,0.6926537
34.998465061,-0.7230675,-0.04423757,0.02072811,0.6865964
35.999763966,-0.7235686,-0.04377943,0.01827451,0.6861674
36.998590946,-0.7237563,-0.04365857,0.01648994,0.6860222
37.999890804,-0.8705216,-0.03037968,0.02314895,0.487197
38.998717308,-0.9800085,-0.01950458,0.02692131,0.1873654
40.000017166,-0.9940063,-0.01865243,0.0301562,0.08556885
40.998844624,-0.9946685,-0.02140334,0.03312312,0.07554468
42.000144482,-0.9945181,-0.02251671,0.03451258,0.07657167
42.998971462,-0.9944471,-0.0233111,0.03589786,0.07662031
44.000271320,-0.9909407,-0.01101501,0.03522174,-0.115335
44.999098778,-0.8846316,0.003625978,0.03055924,-0.4616357
45.997926712,-0.791581,0.007709036,0.03203731,-0.6074054
46.999226570,-0.7615629,0.008078421,0.03599066,-0.6444291
47.998054028,-0.7631299,0.008630573,0.03899333,-0.6423904
48.999353886,-0.7632744,0.008803205,0.04090755,-0.6420973
49.998181820,-0.7634993,0.008728324,0.04172713,-0.6417783
50.999481678,-0.7421525,0.01073762,0.04076619,-0.6663784
51.998308659,-0.6045567,0.01545294,0.03482765,-0.7935282
52.999608517,-0.5950608,0.01636888,0.03731256,-0.8005438
53.998436451,-0.5948934,0.01740396,0.03852027,-0.8005891
54.999736786,-0.5946406,0.01803868,0.03880746,-0.8007489
55.998564720,-0.5396978,0.02073991,0.03570268,-0.838838
56.999864578,-0.4483817,0.02239055,0.0336876,-0.8910361
57.998692513,-0.4565493,0.02332482,0.03523761,-0.8867947
58.999992371,-0.4580895,0.02395653,0.03594689,-0.8859547
59.998820305,-0.4580792,0.0243235,0.03617775,-0.8859407
61.000120163,-0.4580989,0.02469749,0.03636182,-0.8859125
61.998948097,-0.454531,0.02472855,0.03631169,-0.8877496
62.997776031,-0.383201,0.02605239,0.03255033,-0.9208944
63.999075890,-0.3788114,0.02686431,0.03393618,-0.9226356
64.997902870,-0.3794735,0.02729954,0.03399565,-0.9223484
65.999203682,-0.3796977,0.02757385,0.03421527,-0.9222398
66.998031139,-0.3798235,0.02769118,0.034169,-0.9221863
67.999331474,-0.1683387,0.03058629,0.01999124,-0.9833384
68.998158932,0.2370116,0.02971252,0.004228174,-0.9693051
69.999458790,0.3674678,0.03321202,0.001750491,-0.9276255
70.998286724,0.3926592,0.03759666,0.003110137,-0.9170732
71.999587059,0.3902472,0.04020869,0.003430283,-0.9179904
72.998414516,0.3895441,0.04191754,0.003909125,-0.9182106
73.999714375,0.3888479,0.04367943,0.003619002,-0.9184247
74.998542309,0.2818299,0.04807052,0.01157945,-0.9564281
75.999842644,-0.07942951,0.04664308,0.02494465,-0.9937408
76.998670101,-0.4155928,0.03891399,0.03488032,-0.9061895
77.997498035,-0.5315588,0.03313069,0.03696059,-0.8435693
78.998797894,-0.5245888,0.02837911,0.03734491,-0.8480769
79.997625351,-0.5244209,0.02597836,0.03760734,-0.848246
80.998925209,-0.5243095,0.02442161,0.03782642,-0.8483512
81.997753143,-0.7262544,0.01491261,0.04823566,-0.6831055
82.999053001,-0.917958,0.002818236,0.05186585,-0.388951
83.997879982,-0.9673347,-0.002638032,0.04938336,-0.2417548
84.999179840,-0.9656577,-0.006474763,0.04648954,-0.2488564
85.998007298,-0.9653412,-0.008424958,0.04457429,-0.2503724
86.999307156,-0.9655428,-0.009474211,0.04335315,-0.2497711
87.998134613,-0.9654078,-0.01001551,0.04314739,-0.2503066
88.999434471,-0.8504919,0.004821458,0.03395726,-0.5216463
89.998262405,-0.6119615,0.01483575,0.02609836,-0.7881812
90.999561787,-0.5255024,0.01708092,0.02908138,-0.8481377
91.998389721,-0.5335935,0.01909997,0.03304499,-0.8428813
92.999689579,-0.5338383,0.01987163,0.03497376,-0.8426307
93.998516560,-0.5334561,0.02007901,0.03633061,-0.8428103
94.997344017,-0.5332008,0.02056579,0.03701104,-0.8429305
95.998643875,-0.415157,0.02344315,0.03131121,-0.9070516
96.997470856,-0.3837073,0.02449924,0.03270097,-0.9207209
97.998771191,-0.3834814,0.02565111,0.03304168,-0.9207714
98.997598171,-0.5011654,0.02261478,0.0415664,-0.862103
99.998898029,-0.7994908,0.01382723,0.04998882,-0.5956107
100.997725487,-0.8826265,0.007890193,0.04912023,-0.4638135
101.999025345,-0.879156,0.004335654,0.046688,-0.4706526
102.997852802,-0.8784441,0.002360544,0.04545404,-0.4721144
103.999152660,-0.878529,0.001155175,0.0446186,-0.4720405
104.997979641,-0.8790058,0.0003917346,0.04408653,-0.4712034
105.999279499,-0.8790902,-0.0001327623,0.04406963,-0.4710476
106.998106956,-0.8785824,-0.0004694618,0.04365413,-0.4720325
107.999406815,-0.9510831,-0.008990809,0.04761183,-0.2995348
108.998234272,-0.9694589,-0.009914393,0.04628529,-0.2335304
109.999534130,-0.9691225,-0.01053763,0.04451101,-0.2352381
110.998361111,-0.9691162,-0.01097239,0.04341961,-0.2354482
111.997189045,-0.9693767,-0.01180725,0.04282806,-0.2344416
112.998488426,-0.9666048,-0.009494821,0.0422197,-0.2458255
113.997316360,-0.8378199,0.003369911,0.03305209,-0.5418318
114.998616219,-0.6239746,0.01354088,0.0265651,-0.7787133
115.997443676,-0.5376014,0.01686946,0.02825211,-0.8405532
116.998743534,-0.5422839,0.01764364,0.03298446,-0.8373509
117.997570515,-0.5419167,0.01864339,0.03514155,-0.8374793
118.998870373,-0.5417073,0.019578,0.03670272,-0.8375265
119.997698307,-0.5418474,0.01968976,0.03711804,-0.8374148
120.998998165,-0.5418186,0.02007158,0.03765925,-0.8374003
121.997825623,-0.6818244,0.01385285,0.04690111,-0.7275655
122.999125481,-0.8940685,0.003660416,0.05142051,-0.4411482
123.997952938,-0.9498128,-0.001008118,0.04904367,-0.3034422
124.999252796,-0.9471422,-0.003927035,0.04622635,-0.3120852
125.998079777,-0.9471773,-0.005647885,0.04456743,-0.3121933
126.999380112,-0.876763,0.002623826,0.03833906,-0.4758545
127.998208046,-0.7335211,0.007458132,0.03370159,-0.6763011
128.997035027,-0.6750611,0.01010773,0.0350407,-0.7345681
129.998334885,-0.679409,0.01127633,0.03750784,-0.7304088
130.997162342,-0.6792922,0.01162073,0.03876616,-0.7304463
131.998462200,-0.6791596,0.01211416,0.03977596,-0.7305074
132.997289181,-0.6792691,0.01247799,0.04015087,-0.730379
133.998588562,-0.5866494,0.01616368,0.03532888,-0.8068215
134.997416496,-0.5530448,0.01692853,0.03663128,-0.830145
135.998715878,-0.5542058,0.01773144,0.03681003,-0.8293456
136.997542858,-0.5551637,0.01842239,0.03752967,-0.8286574
137.998843193,-0.5549055,0.01889937,0.03804316,-0.8287962
138.997669697,-0.5547481,0.01892701,0.03800899,-0.8289025
139.998969555,-0.5989345,0.01539474,0.04250364,-0.7974094
140.997796535,-0.8681074,0.004442386,0.05127189,-0.4902742
141.999095917,-0.966606,-0.004284406,0.0495613,-0.2445937
142.997923374,-0.9727027,-0.00682667,0.04599674,-0.2198062
143.999222279,-0.9732836,-0.009624148,0.043745,-0.217579
144.998049736,-0.9734436,-0.01073346,0.04250023,-0.2170568
145.996877193,-0.9733086,-0.01186678,0.04155412,-0.2177853
146.998176098,-0.9734482,-0.01222746,0.04107914,-0.2172308
147.997003555,-0.9735366,-0.01231373,0.04074358,-0.2168929
148.998302937,-0.9605542,-0.007351519,0.03974198,-0.2689421
149.997129917,-0.7424848,0.00980554,0.02673267,-0.6667332
150.998429298,-0.5808808,0.0146022,0.02586201,-0.8113711
151.997256279,-0.5648661,0.01584139,0.03092701,-0.822403
152.998555660,-0.56262,0.01672013,0.03404638,-0.8238007
153.997383118,-0.5640728,0.01759753,0.03551998,-0.8227262
154.998682022,-0.5636643,0.01798468,0.03666284,-0.8229476
155.997509480,-0.6527575,0.01356089,0.04347422,-0.7539638
156.998808861,-0.8797067,0.002963204,0.050125,-0.4692787
157.997635365,-0.9795509,-0.006431621,0.04918008,-0.1861386
158.998934746,-0.9897946,-0.01042877,0.0455045,-0.1214708
159.997761726,-0.989572,-0.01297529,0.0429166,-0.1239545
160.999061108,-0.9896235,-0.01485991,0.04093581,-0.1240014
161.997888088,-0.9896588,-0.01572273,0.04008093,-0.123893
162.996715069,-0.9896898,-0.0160078,0.03963034,-0.1237545
163.998013973,-0.9821643,-0.01191252,0.03828037,-0.1742807
164.996841431,-0.8755549,-0.0005194367,0.03231534,-0.4785256
165.998140812,-0.8134716,0.002981916,0.0334332,-0.5777241
166.996967793,-0.8079055,0.003249194,0.03749796,-0.5852349
167.998267174,-0.807582,0.003455346,0.03918057,-0.5855699
168.997093678,-0.8083305,0.003905533,0.04076877,-0.5844246
169.998393536,-0.7451031,0.00773145,0.03734009,-0.6633213
170.997220039,-0.7026002,0.008576585,0.0380917,-0.7081357
171.998519421,-0.7051765,0.009501096,0.03919656,-0.7054979
172.997345924,-0.7058328,0.01032098,0.04001154,-0.7047839
173.998645306,-0.7058909,0.01040567,0.04062033,-0.7046896
174.997471809,-0.7309192,0.008038845,0.04279937,-0.678593
175.998771191,-0.8467394,0.004577696,0.04673839,-0.5267397
176.997597694,-0.8476331,0.003642142,0.04329598,-0.5256026
177.996424198,-0.8448734,0.006101311,0.04637101,-0.5297446
178.997723579,-0.8399733,0.00741585,0.04453041,-0.5376192
179.996550083,-0.7595086,0.009374515,0.03722538,-0.6467618
180.997849464,-0.6366132,0.01248795,0.03394934,-0.7681425
181.996675968,-0.6275005,0.01349292,0.03641516,-0.7754757
182.997974396,-0.627637,0.01448071,0.03744987,-0.7752984
183.996801376,-0.723328,0.008946637,0.04431347,-0.6865717
184.998099804,-0.9417107,-0.003232945,0.05072836,-0.3274517
185.996926308,-0.9892582,-0.008625151,0.04817892,-0.1249013
186.998224735,-0.9897714,-0.01143776,0.0445049,-0.1219383
187.997051239,-0.9898797,-0.01328748,0.04231192,-0.1216503
188.998350620,-0.9899482,-0.01427895,0.04086507,-0.1214769
189.997177124,-0.990019,-0.01497559,0.04002123,-0.1210955
190.998476028,-0.9900758,-0.01541087,0.03977423,-0.1206579
191.997302532,-0.9900672,-0.01567231,0.03911936,-0.1209077
192.998600960,-0.9641206,-0.006417135,0.03658061,-0.2563585
193.997427464,-0.7576648,0.007174485,0.02677918,-0.6494638
194.996254444,-0.6389053,0.01335063,0.02734431,-0.7664866
195.997553349,-0.6373105,0.01361396,0.03272152,-0.7675983
196.996379375,-0.6365429,0.01433826,0.03570282,-0.768089
197.997678757,-0.6358262,0.01476917,0.03714677,-0.7686058
198.996505260,-0.637055,0.01485671,0.03793452,-0.7675474
199.997803688,-0.637772,0.01493161,0.03837967,-0.766928
200.996630192,-0.734951,0.009059068,0.04564154,-0.6740248
201.997929096,-0.954931,-0.002374767,0.05079858,-0.2866151
202.996755600,-0.9901215,-0.008343813,0.04721817,-0.1182702
203.998054028,-0.9896197,-0.01134675,0.04354744,-0.1235133
204.996880531,-0.9896637,-0.01311641,0.04155281,-0.1236727
205.998179436,-0.9897099,-0.01431274,0.04038384,-0.1235562
206.997005939,-0.936437,-0.0009879615,0.03486919,-0.3442334
207.998305321,-0.7265081,0.010133,0.02680957,-0.6840996
208.997130871,-0.6261166,0.01192826,0.02958325,-0.7769094
209.998430252,-0.6338859,0.01363152,0.03338363,-0.7703999
210.997256279,-0.6353167,0.01419747,0.03586582,-0.7690985
211.996082783,-0.8503923,0.001655572,0.04850238,-0.5206779
212.997381210,-0.9791288,-0.00685488,0.0486546,-0.1884686
213.996208191,-0.9893974,-0.009715086,0.04506419,-0.1248809
214.997506618,-0.9897033,-0.01260424,0.04255742,-0.1230653
215.996332645,-0.9897853,-0.01392075,0.04106095,-0.1227711
216.997631550,-0.9898534,-0.01477369,0.03982259,-0.1225303
217.996457577,-0.9899973,-0.01529638,0.03846518,-0.1217347
