Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-0.07072559,0.007738493,0.0930936,-0.105526,-0.0362234,0.9849123,-23.5552,-25.73286,-29.28048,995.1738
0.998825550,0.178854,-0.2250327,0.3388845,-0.1095112,-0.0333802,0.9845119,-22.81149,-25.72752,-29.28356,995.1734
2.000123024,-0.191462,0.251382,-0.153341,-0.1079932,-0.03387766,0.9911798,-23.5552,-25.73286,-29.28048,995.1826
2.998949051,0.1705437,-0.6432655,0.4745884,-0.1158137,-0.04309849,0.9743211,-22.83889,-24.62001,-29.29263,995.1783
4.000247002,-0.9381563,0.1336318,0.4021937,-0.1051742,-0.02750158,0.9836525,-23.18176,-25.73077,-28.83946,995.1867
4.999072075,-0.3816996,-0.1033129,2.048667,-0.1024881,-0.04245196,0.9823846,-23.19089,-25.3616,-28.84249,995.1744
6.000370026,-4.709697,-0.6364384,38.8199,-0.08368544,-0.04654449,0.9879376,-30.25223,-23.25661,-30.15883,995.1708
6.999195099,-3.28764,-1.051092,29.61185,-0.07984138,-0.03877041,0.992849,-37.85258,-14.14235,-29.7609,995.1744
8.000493050,-0.6290137,-0.0440767,7.29299,-0.09218404,-0.04130208,0.978535,-39.08216,-9.413817,-28.91,995.1722
8.999318600,0.1129286,-0.2217852,-0.6954553,-0.08473422,-0.04220938,0.9885071,-38.73929,-8.303051,-29.36317,995.1871
9.998143673,-0.072557,-0.0440767,-0.5734943,-0.08574099,-0.04077371,0.9885409,-39.11869,-7.93713,-28.9221,995.1906
10.999441624,-0.01072848,0.1336318,0.5851352,-0.0886595,-0.04513875,0.9822605,-39.09288,-9.044063,-29.35558,995.1871
11.998266697,0.1129286,-0.162549,-0.02466983,-0.08335526,-0.03779897,0.9823806,-38.72857,-8.672806,-28.91759,995.1818
12.999565601,0.05110004,-0.1033129,0.03631067,-0.08865311,-0.04276773,0.9909036,-38.73634,-8.304133,-28.54128,995.1889
13.998390675,0.0511586,-0.1028112,0.1587809,-0.08676242,-0.03884647,0.9871522,-38.3583,-8.669554,-29.36168,995.1716
14.999688625,-0.2563521,-0.04160629,0.333574,-0.0911165,-0.04423089,0.9861113,-38.7377,-8.303634,-28.92061,995.1664
15.998514652,1.679757,0.02743561,-4.010314,-0.08852825,-0.0257128,0.9697554,-38.73929,-8.303051,-29.36317,995.172
16.999812603,0.01038679,0.1459079,-0.1075628,-0.0829865,-0.02909557,0.984463,-38.71944,-9.041977,-28.91456,995.1773
17.998638153,-3.88481,-0.1502729,31.78524,-0.07693822,-0.03866901,0.9828081,-38.36448,-8.301465,-28.54282,995.1725
18.999936104,-4.503096,-0.2095091,42.63976,-0.07929487,-0.04215112,0.993256,-31.95364,0.5457993,-29.46423,995.1796
19.998762131,1.061472,-1.394233,-6.083652,-0.07731108,-0.01305502,0.987143,-27.60653,2.791824,-29.05803,995.1712
21.000060558,0.07221533,-0.861107,-0.4124652,-0.08423883,-0.04410746,0.9832138,-27.22554,2.425322,-29.05654,995.1761
21.998886585,2.236214,0.2051441,-31.08566,-0.07996666,-0.03197521,0.9886878,-28.34111,2.417316,-29.05193,995.1716
23.000185013,4.029241,0.3828526,-42.48901,-0.06605165,-0.04046353,0.9879698,-36.96837,-4.599073,-28.57922,995.1623
23.999011040,1.1233,0.4420888,-13.76719,-0.08465973,-0.04847353,0.9840835,-38.59311,-14.14885,-28.87272,995.1706
25.000309944,0.1340438,-0.1502729,1.904794,-0.07374112,-0.0522054,0.9896839,-38.17878,-15.99088,-29.74424,995.1706
25.999135494,0.1958724,-0.09103674,-0.3514847,-0.08129987,-0.04309396,0.9832192,-38.93757,-15.25904,-28.8621,995.1708
26.997962475,0.1340438,0.02743561,-0.04658227,-0.07591888,-0.04154519,0.9808353,-38.56571,-15.25637,-28.86364,995.1711
27.999260902,-0.1132703,-0.1502729,0.01439823,-0.07587723,-0.04349307,0.9831837,-38.9378,-15.25895,-28.92533,995.1645
28.998087406,0.01038679,-0.03180056,-0.04658227,-0.07933427,-0.03973008,0.9928272,-38.56594,-15.25628,-28.92686,995.1518
29.999386787,0.01038679,-0.09103674,-0.1075628,-0.08082253,-0.04164313,0.9846783,-38.55522,-15.62604,-28.48128,995.1628
30.998213291,0.01319689,-0.2094103,-0.1074707,-0.07935596,-0.0397064,0.9885299,-38.17423,-15.99254,-28.4798,995.1614
31.999511719,-3.383583,-0.5057033,43.42684,-0.06561046,-0.03897322,0.982267,-38.71053,-9.411066,-28.97476,995.1544
32.998338223,-2.950783,-0.3872309,36.84095,-0.07744718,-0.002918792,0.9911669,-32.66859,-0.5675526,-29.07275,995.1547
33.999637604,-0.2921566,0.1458946,2.569907,-0.07494637,-0.01195974,0.9709167,-27.96926,2.419985,-29.05346,995.1711
34.998465061,-0.2303281,-0.2095224,0.618531,-0.08185235,-0.0363775,0.991952,-27.96949,2.420068,-29.11669,995.1786
35.999763966,-0.4158136,0.2051308,0.618531,-0.07983022,-0.043063,0.9817798,-28.34111,2.417316,-29.05193,995.1733
36.998590946,0.07881456,-0.1502862,0.3136285,-0.07782438,-0.04449908,0.984606,-28.71297,2.414648,-29.05039,995.1723
37.999890804,3.974011,0.2051308,-43.04351,-0.07399029,-0.03576291,0.9904919,-34.12085,-2.054414,-29.43383,995.1684
38.998717308,1.686356,0.3236032,-19.38307,-0.06874593,-0.05886582,0.9833171,-38.33868,-9.408397,-28.9763,995.1622
40.000017166,0.3879572,0.08665846,-10.41894,-0.08117027,-0.04846708,0.9926617,-38.99395,-13.04342,-29.32281,995.1661
