Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.000000000,36.754,31.412
0.998825550,36.786,31.412
2.000123024,36.748,31.412
2.998949051,36.774,31.41
4.000247002,36.724,31.41
4.999072075,36.772,31.41
6.000370026,36.754,31.41
6.999195099,36.714,31.41
8.000493050,36.732,31.41
8.999318600,36.776,31.41
10.000616074,36.7,31.41
10.999441624,36.728,31.41
12.000739574,36.73,31.41
12.999565601,36.776,31.41
14.000863075,36.758,31.412
14.999688625,36.784,31.412
15.998514652,36.714,31.412
16.999812603,36.79,31.412
17.998638153,36.764,31.412
18.999936104,36.802,31.412
19.998762131,36.77,31.414
21.000060558,36.788,31.412
21.998886585,36.776,31.414
23.000185013,36.798,31.414
23.999011040,36.78,31.414
25.000309944,36.796,31.414
25.999135494,36.776,31.416
27.000434875,36.806,31.416
27.999260902,36.808,31.416
29.000560284,36.786,31.416
29.999386787,36.774,31.416
31.000685215,36.8,31.416
31.999511719,36.78,31.416
32.998338223,36.788,31.418
33.999637604,36.79,31.418
34.998465061,36.808,31.418
35.999763966,36.804,31.418
36.998590946,36.806,31.42
37.999890804,36.822,31.42
38.998717308,36.82,31.42
40.000017166,36.854,31.422
40.998844624,36.838,31.42
42.000144482,36.8,31.422
42.998971462,36.836,31.422
44.000271320,36.814,31.424
44.999098778,36.804,31.424
46.000398636,36.816,31.424
46.999226570,36.866,31.424
48.000526428,36.812,31.424
48.999353886,36.814,31.424
49.998181820,36.836,31.424
50.999481678,36.842,31.424
51.998308659,36.87,31.424
52.999608517,36.868,31.424
53.998436451,36.844,31.424
54.999736786,36.84,31.424
55.998564720,36.878,31.424
56.999864578,36.822,31.424
57.998692513,36.858,31.424
58.999992371,36.828,31.424
59.998820305,36.882,31.424
61.000120163,36.86,31.424
61.998948097,36.796,31.424
63.000247955,36.838,31.426
63.999075890,36.832,31.424
65.000375748,36.854,31.424
65.999203682,36.842,31.424
66.998031139,36.844,31.424
67.999331474,36.852,31.424
68.998158932,36.812,31.424
69.999458790,36.844,31.424
70.998286724,36.792,31.424
71.999587059,36.844,31.424
72.998414516,36.906,31.426
73.999714375,36.842,31.424
74.998542309,36.84,31.424
75.999842644,36.85,31.424
